stock_index,stock_name,buy_num,buy_shou,sale_num,sale_shou,buy_sale_diff,buy_sale_diff_shou
601162,天风证券,30882,511815,20336.0,339490.0,10546.0,172325.0
21,深科技,20629,90194,10302.0,45189.0,10327.0,45005.0
603929,亚翔集成,10009,51076,2051.0,10471.0,7958.0,40605.0
831,五矿稀土,11355,91393,3922.0,31237.0,7433.0,60156.0
2409,雅克科技,13246,26740,7444.0,14863.0,5802.0,11877.0
2151,北斗星通,8428,25360,2786.0,8412.0,5642.0,16948.0
603393,新天然气,7724,20820,2220.0,5964.0,5504.0,14856.0
2415,海康威视,10503,34895,5319.0,17700.0,5184.0,17195.0
2714,牧原股份,16190,13790,11348.0,9717.0,4842.0,4073.0
600094,大名城,7655,104422,2826.0,38745.0,4829.0,65677.0
603823,百合花,4782,15359,0.0,0.0,4782.0,15359.0
600111,北方稀土,11481,113981,6819.0,68489.0,4662.0,45492.0
2297,博云新材,4573,67910,245.0,3679.0,4328.0,64231.0
676,智度股份,5611,63306,1532.0,16994.0,4079.0,46312.0
600988,赤峰黄金,6667,70818,2655.0,28379.0,4012.0,42439.0
600867,通化东宝,4596,30485,968.0,6454.0,3628.0,24031.0
601288,农业银行,6300,186096,2722.0,80495.0,3578.0,105601.0
600143,金发科技,9069,66492,5634.0,41528.0,3435.0,24964.0
735,罗 牛 山,4192,40692,764.0,7607.0,3428.0,33085.0
600624,复旦复华,4977,54374,1551.0,16999.0,3426.0,37375.0
2156,通富微电,7716,33284,4337.0,18735.0,3379.0,14549.0
2007,华兰生物,8705,20840,5334.0,12898.0,3371.0,7942.0
603948,建业股份,3661,14710,327.0,1311.0,3334.0,13399.0
600584,长电科技,32302,109819,29061.0,98941.0,3241.0,10878.0
600859,王府井,6742,34779,3503.0,18013.0,3239.0,16766.0
601609,金田铜业,8687,79649,5481.0,51599.0,3206.0,28050.0
2405,四维图新,3800,24727,663.0,4325.0,3137.0,20402.0
600804,鹏博士,3742,50918,645.0,8771.0,3097.0,42147.0
2434,万里扬,2835,33230,0.0,0.0,2835.0,33230.0
600418,江淮汽车,4371,66657,1590.0,24523.0,2781.0,42134.0
600487,亨通光电,4442,25325,1861.0,10621.0,2581.0,14704.0
661,长春高新,13375,2063,11025.0,1702.0,2350.0,361.0
600392,盛和资源,4914,61797,2683.0,33902.0,2231.0,27895.0
600699,均胜电子,3278,16276,1062.0,5324.0,2216.0,10952.0
600459,贵研铂业,5665,25866,3488.0,15898.0,2177.0,9968.0
603221,爱丽家居,3303,18212,1178.0,6465.0,2125.0,11747.0
2602,世纪华通,2056,15279,0.0,0.0,2056.0,15279.0
557,西部创业,5263,117034,3223.0,71464.0,2040.0,45570.0
603655,朗博科技,1944,9000,0.0,0.0,1944.0,9000.0
603160,汇顶科技,5716,2628,3773.0,1738.0,1943.0,890.0
603668,天马科技,2135,18144,218.0,1852.0,1917.0,16292.0
2046,轴研科技,4757,39293,2931.0,23868.0,1826.0,15425.0
2120,韵达股份,1822,5608,0.0,0.0,1822.0,5608.0
2864,盘龙药业,1809,6316,0.0,0.0,1809.0,6316.0
600523,贵航股份,2081,13757,281.0,1853.0,1800.0,11904.0
977,浪潮信息,5890,14528,4116.0,10153.0,1774.0,4375.0
987,越秀金控,3279,27287,1561.0,12888.0,1718.0,14399.0
2976,瑞玛工业,2402,5818,701.0,1696.0,1701.0,4122.0
601899,紫金矿业,5432,138444,3749.0,95735.0,1683.0,42709.0
2057,中钢天源,2522,32340,853.0,10777.0,1669.0,21563.0
603259,药明康德,7092,6672,5446.0,5115.0,1646.0,1557.0
2152,广电运通,3874,33199,2296.0,19704.0,1578.0,13495.0
2812,恩捷股份,2357,4177,798.0,1413.0,1559.0,2764.0
100,TCL科技,28337,574225,26850.0,543163.0,1487.0,31062.0
600498,烽火通信,2645,8062,1162.0,3606.0,1483.0,4456.0
600360,华微电子,3266,35628,1788.0,19473.0,1478.0,16155.0
2338,奥普光电,1395,7972,0.0,0.0,1395.0,7972.0
2691,冀凯股份,1352,20008,0.0,0.0,1352.0,20008.0
2307,北新路桥,3269,42471,1968.0,25863.0,1301.0,16608.0
786,北新建材,1228,5471,0.0,0.0,1228.0,5471.0
600775,南京熊猫,1220,14056,0.0,0.0,1220.0,14056.0
970,中科三环,1190,12551,0.0,0.0,1190.0,12551.0
600776,东方通信,1179,7329,0.0,0.0,1179.0,7329.0
2582,好想你,1401,13553,244.0,2398.0,1157.0,11155.0
601933,永辉超市,4275,46280,3148.0,34541.0,1127.0,11739.0
858,五 粮 液,94267,64771,93195.0,63987.0,1072.0,784.0
2985,北摩高科,6332,6209,5304.0,5253.0,1028.0,956.0
2100,天康生物,992,6722,0.0,0.0,992.0,6722.0
665,湖北广电,981,16968,0.0,0.0,981.0,16968.0
532,华金资本,953,8223,0.0,0.0,953.0,8223.0
2413,雷科防务,1444,17341,502.0,6049.0,942.0,11292.0
600606,绿地控股,1555,29055,652.0,12247.0,903.0,16808.0
541,佛山照明,4456,73883,3554.0,59348.0,902.0,14535.0
333,美的集团,7211,12634,6324.0,11091.0,887.0,1543.0
600728,佳都科技,1124,11758,258.0,2685.0,866.0,9073.0
600489,中金黄金,4193,46015,3346.0,36812.0,847.0,9203.0
603566,普莱柯,840,3362,0.0,0.0,840.0,3362.0
600893,航发动力,839,3457,0.0,0.0,839.0,3457.0
90,天健集团,826,12575,0.0,0.0,826.0,12575.0
600831,广电网络,4330,54078,3539.0,45150.0,791.0,8928.0
915,山大华特,786,2544,0.0,0.0,786.0,2544.0
2304,洋河股份,1721,1757,943.0,962.0,778.0,795.0
2019,亿帆医药,965,4651,211.0,1006.0,754.0,3645.0
2373,千方科技,956,4191,211.0,927.0,745.0,3264.0
933,神火股份,743,18996,0.0,0.0,743.0,18996.0
600782,新钢股份,1740,42324,1003.0,24302.0,737.0,18022.0
2596,海南瑞泽,2131,28179,1415.0,19376.0,716.0,8803.0
601952,苏垦农发,701,7016,0.0,0.0,701.0,7016.0
601888,中国国旅,6312,7309,5628.0,6520.0,684.0,789.0
600161,天坛生物,1262,3499,612.0,1723.0,650.0,1776.0
2240,威华股份,649,7217,0.0,0.0,649.0,7217.0
158,常山北明,1219,12880,571.0,6000.0,648.0,6880.0
425,徐工机械,4249,70208,3603.0,59680.0,646.0,10528.0
600206,有研新材,1399,10653,756.0,5771.0,643.0,4882.0
603713,密尔克卫,639,809,0.0,0.0,639.0,809.0
2320,海峡股份,2118,17470,1481.0,12282.0,637.0,5188.0
2056,横店东磁,637,6321,0.0,0.0,637.0,6321.0
2371,北方华创,13597,8738,12977.0,8343.0,620.0,395.0
625,长安汽车,610,6023,0.0,0.0,610.0,6023.0
603027,千禾味业,604,1685,0.0,0.0,604.0,1685.0
601698,中国卫通,1842,10412,1244.0,7127.0,598.0,3285.0
2055,得润电子,1384,9710,808.0,5665.0,576.0,4045.0
600037,歌华有线,1065,11258,490.0,5143.0,575.0,6115.0
601816,京沪高铁,1051,17242,482.0,7908.0,569.0,9334.0
600495,晋西车轴,568,13741,0.0,0.0,568.0,13741.0
603258,电魂网络,564,1506,0.0,0.0,564.0,1506.0
2822,中装建设,562,5246,0.0,0.0,562.0,5246.0
603920,世运电路,561,2257,0.0,0.0,561.0,2257.0
603127,昭衍新药,554,496,0.0,0.0,554.0,496.0
600089,特变电工,1105,15461,552.0,7798.0,553.0,7663.0
2707,众信旅游,548,9578,0.0,0.0,548.0,9578.0
600515,海航基础,546,10278,0.0,0.0,546.0,10278.0
603982,泉峰汽车,542,2931,0.0,0.0,542.0,2931.0
2567,唐人神,536,5782,0.0,0.0,536.0,5782.0
2382,蓝帆医疗,2261,12846,1728.0,9941.0,533.0,2905.0
600118,中国卫星,2346,7102,1817.0,5541.0,529.0,1561.0
603109,神驰机电,528,1717,0.0,0.0,528.0,1717.0
600476,湘邮科技,527,3878,0.0,0.0,527.0,3878.0
601872,招商轮船,777,13089,256.0,4266.0,521.0,8823.0
2352,顺丰控股,1986,4460,1468.0,3302.0,518.0,1158.0
596,古井贡酒,1025,675,508.0,336.0,517.0,339.0
603444,吉比特,1297,322,787.0,196.0,510.0,126.0
932,华菱钢铁,508,13307,0.0,0.0,508.0,13307.0
603530,神马电力,504,1696,0.0,0.0,504.0,1696.0
600237,铜峰电子,792,19238,312.0,7560.0,480.0,11678.0
2505,大康农业,786,29213,309.0,11735.0,477.0,17478.0
2905,金逸影视,470,4583,0.0,0.0,470.0,4583.0
999,华润三九,462,1694,0.0,0.0,462.0,1694.0
600880,博瑞传播,461,10220,0.0,0.0,461.0,10220.0
603085,天成自控,455,6655,0.0,0.0,455.0,6655.0
603078,江化微,454,1318,0.0,0.0,454.0,1318.0
600600,青岛啤酒,745,1261,291.0,498.0,454.0,763.0
603881,XD数据港,453,694,0.0,0.0,453.0,694.0
2043,兔 宝 宝,448,5151,0.0,0.0,448.0,5151.0
603369,今世缘,446,1239,0.0,0.0,446.0,1239.0
2480,新筑股份,716,12289,272.0,4740.0,444.0,7549.0
2410,广联达,1452,2715,1016.0,1927.0,436.0,788.0
600010,包钢股份,4287,400901,3853.0,360369.0,434.0,40532.0
799,酒鬼酒,2276,5396,1846.0,4460.0,430.0,936.0
600195,中牧股份,427,2978,0.0,0.0,427.0,2978.0
2458,益生股份,649,4204,228.0,1499.0,421.0,2705.0
600645,中源协和,420,2087,0.0,0.0,420.0,2087.0
601038,一拖股份,724,6573,306.0,2826.0,418.0,3747.0
2662,京威股份,416,10267,0.0,0.0,416.0,10267.0
603811,诚意药业,411,1441,0.0,0.0,411.0,1441.0
601658,邮储银行,690,13636,279.0,5499.0,411.0,8137.0
600312,平高电气,404,5054,0.0,0.0,404.0,5054.0
601117,中国化学,678,12298,276.0,5013.0,402.0,7285.0
601766,中国中车,1213,20245,815.0,13622.0,398.0,6623.0
601865,福莱特,397,2958,0.0,0.0,397.0,2958.0
2414,高德红外,939,2157,545.0,1251.0,394.0,906.0
600745,闻泰科技,13130,13171,12739.0,12755.0,391.0,416.0
600862,中航高科,1811,10786,1424.0,8477.0,387.0,2309.0
2623,亚玛顿,375,1016,0.0,0.0,375.0,1016.0
603949,雪龙集团,872,3816,504.0,2184.0,368.0,1632.0
2134,天津普林,364,3575,0.0,0.0,364.0,3575.0
600375,华菱星马,363,5197,0.0,0.0,363.0,5197.0
600198,大唐电信,359,3584,0.0,0.0,359.0,3584.0
603329,上海雅仕,355,2796,0.0,0.0,355.0,2796.0
612,焦作万方,350,8061,0.0,0.0,350.0,8061.0
600321,正源股份,348,19003,0.0,0.0,348.0,19003.0
901,航天科技,346,3494,0.0,0.0,346.0,3494.0
603118,共进股份,345,2727,0.0,0.0,345.0,2727.0
2970,锐明技术,343,651,0.0,0.0,343.0,651.0
601615,明阳智能,338,2812,0.0,0.0,338.0,2812.0
2640,跨境通,783,15659,452.0,9017.0,331.0,6642.0
600259,广晟有色,1171,3676,843.0,2647.0,328.0,1029.0
603000,人民网,1157,5741,829.0,4124.0,328.0,1617.0
2202,金风科技,321,3315,0.0,0.0,321.0,3315.0
2607,中公教育,785,2940,464.0,1740.0,321.0,1200.0
600329,中新药业,321,2000,0.0,0.0,321.0,2000.0
600330,天通股份,319,3683,0.0,0.0,319.0,3683.0
603879,永悦科技,318,1528,0.0,0.0,318.0,1528.0
768,中航飞机,839,4921,524.0,3078.0,315.0,1843.0
600486,扬农化工,315,385,0.0,0.0,315.0,385.0
902,新洋丰,314,3764,0.0,0.0,314.0,3764.0
600583,海油工程,313,6551,0.0,0.0,313.0,6551.0
2302,西部建设,549,4906,237.0,2162.0,312.0,2744.0
2847,盐津铺子,306,353,0.0,0.0,306.0,353.0
2397,梦洁股份,7956,88822,7655.0,86334.0,301.0,2488.0
603032,德新交运,299,1657,0.0,0.0,299.0,1657.0
2155,湖南黄金,297,3826,0.0,0.0,297.0,3826.0
2024,苏宁易购,295,3396,0.0,0.0,295.0,3396.0
603585,苏利股份,295,1679,0.0,0.0,295.0,1679.0
600366,宁波韵升,293,5211,0.0,0.0,293.0,5211.0
2838,道恩股份,491,1737,204.0,721.0,287.0,1016.0
603977,国泰集团,287,4054,0.0,0.0,287.0,4054.0
2647,仁东控股,571,1776,288.0,893.0,283.0,883.0
603703,盛洋科技,947,3956,665.0,2767.0,282.0,1189.0
600393,粤泰股份,282,10000,0.0,0.0,282.0,10000.0
2767,先锋电子,278,2018,0.0,0.0,278.0,2018.0
2913,奥士康,277,523,0.0,0.0,277.0,523.0
2594,比亚迪,741,1308,464.0,826.0,277.0,482.0
869,张  裕Ａ,273,1003,0.0,0.0,273.0,1003.0
2132,恒星科技,556,20083,283.0,10307.0,273.0,9776.0
603128,华贸物流,271,5157,0.0,0.0,271.0,5157.0
603317,天味食品,269,606,0.0,0.0,269.0,606.0
2252,上海莱士,512,6280,246.0,3010.0,266.0,3270.0
600153,建发股份,263,3024,0.0,0.0,263.0,3024.0
601808,中海油服,261,2012,0.0,0.0,261.0,2012.0
603233,大参林,256,335,0.0,0.0,256.0,335.0
750,国海证券,251,5976,0.0,0.0,251.0,5976.0
600529,山东药玻,250,580,0.0,0.0,250.0,580.0
2080,中材科技,248,2068,0.0,0.0,248.0,2068.0
2194,武汉凡谷,247,981,0.0,0.0,247.0,981.0
600742,一汽富维,246,2305,0.0,0.0,246.0,2305.0
603815,交建股份,246,985,0.0,0.0,246.0,985.0
2946,新乳业,246,1612,0.0,0.0,246.0,1612.0
603222,济民制药,448,937,203.0,425.0,245.0,512.0
2645,华宏科技,243,2461,0.0,0.0,243.0,2461.0
603883,老百姓,243,304,0.0,0.0,243.0,304.0
2539,云图控股,243,3991,0.0,0.0,243.0,3991.0
2052,*ST同洲,241,19146,0.0,0.0,241.0,19146.0
600490,鹏欣资源,241,7843,0.0,0.0,241.0,7843.0
2185,华天科技,28276,215594,28036.0,213482.0,240.0,2112.0
2665,首航高科,240,9238,0.0,0.0,240.0,9238.0
2791,坚朗五金,239,318,0.0,0.0,239.0,318.0
2739,万达电影,237,1457,0.0,0.0,237.0,1457.0
603069,海汽集团,234,1875,0.0,0.0,234.0,1875.0
2709,天赐材料,234,899,0.0,0.0,234.0,899.0
961,中南建设,233,3157,0.0,0.0,233.0,3157.0
2701,奥瑞金,230,5902,0.0,0.0,230.0,5902.0
2002,鸿达兴业,230,6490,0.0,0.0,230.0,6490.0
600361,华联综超,229,4996,0.0,0.0,229.0,4996.0
603859,能科股份,228,744,0.0,0.0,228.0,744.0
656,金科股份,228,2868,0.0,0.0,228.0,2868.0
603390,通达电气,228,1711,0.0,0.0,228.0,1711.0
603196,日播时尚,433,5939,207.0,2822.0,226.0,3117.0
2429,兆驰股份,590,11309,365.0,6962.0,225.0,4347.0
601908,京运通,545,16851,320.0,10000.0,225.0,6851.0
600552,凯盛科技,225,4358,0.0,0.0,225.0,4358.0
2310,东方园林,224,4486,0.0,0.0,224.0,4486.0
600228,ST昌九,224,2173,0.0,0.0,224.0,2173.0
967,盈峰环境,223,3005,0.0,0.0,223.0,3005.0
600468,百利电气,222,5236,0.0,0.0,222.0,5236.0
600889,南京化纤,222,3833,0.0,0.0,222.0,3833.0
2365,永安药业,221,2282,0.0,0.0,221.0,2282.0
603666,亿嘉和,221,202,0.0,0.0,221.0,202.0
938,紫光股份,2537,6492,2316.0,5873.0,221.0,619.0
600909,华安证券,220,3225,0.0,0.0,220.0,3225.0
601727,上海电气,218,4849,0.0,0.0,218.0,4849.0
738,航发控制,218,1634,0.0,0.0,218.0,1634.0
2655,共达电声,218,2019,0.0,0.0,218.0,2019.0
603158,腾龙股份,218,1190,0.0,0.0,218.0,1190.0
600869,智慧能源,217,5303,0.0,0.0,217.0,5303.0
2565,顺灏股份,217,5230,0.0,0.0,217.0,5230.0
600315,上海家化,216,576,0.0,0.0,216.0,576.0
600132,重庆啤酒,216,370,0.0,0.0,216.0,370.0
600882,妙可蓝多,215,644,0.0,0.0,215.0,644.0
760,*ST斯太,215,17206,0.0,0.0,215.0,17206.0
606,顺利办,214,5531,0.0,0.0,214.0,5531.0
989,九 芝 堂,211,2301,0.0,0.0,211.0,2301.0
600497,驰宏锌锗,208,6061,0.0,0.0,208.0,6061.0
600705,中航资本,208,5520,0.0,0.0,208.0,5520.0
600855,航天长峰,208,1262,0.0,0.0,208.0,1262.0
2851,麦格米特,208,764,0.0,0.0,208.0,764.0
600018,上港集团,207,5200,0.0,0.0,207.0,5200.0
600797,浙大网新,207,2500,0.0,0.0,207.0,2500.0
603868,飞科电器,206,530,0.0,0.0,206.0,530.0
603858,步长制药,205,924,0.0,0.0,205.0,924.0
600582,天地科技,204,7020,0.0,0.0,204.0,7020.0
2641,永高股份,204,3003,0.0,0.0,204.0,3003.0
2496,*ST辉丰,200,10001,0.0,0.0,200.0,10001.0
2041,登海种业,200,1617,0.0,0.0,200.0,1617.0
150,宜华健康,540,14128,340.0,8535.0,200.0,5593.0
2839,张家港行,200,3780,0.0,0.0,200.0,3780.0
681,视觉中国,450,2336,265.0,1398.0,185.0,938.0
601818,光大银行,3356,91844,3183.0,87288.0,173.0,4556.0
600201,生物股份,474,1895,306.0,1242.0,168.0,653.0
2576,通达动力,372,3685,211.0,2097.0,161.0,1588.0
601881,中国银河,458,4744,304.0,3155.0,154.0,1589.0
600221,海航控股,790,52594,643.0,43046.0,147.0,9548.0
903,云内动力,565,10279,432.0,7799.0,133.0,2480.0
603900,莱绅通灵,437,4942,320.0,3617.0,117.0,1325.0
2896,中大力德,365,1630,251.0,1120.0,114.0,510.0
2555,三七互娱,376,1106,274.0,808.0,102.0,298.0
936,华西股份,442,4810,353.0,3787.0,89.0,1023.0
600702,舍得酒业,302,1151,217.0,827.0,85.0,324.0
600641,万业企业,1103,5196,1020.0,4950.0,83.0,246.0
2075,沙钢股份,7432,52201,7362.0,51930.0,70.0,271.0
600107,美尔雅,347,4816,279.0,3971.0,68.0,845.0
600326,西藏天路,339,4807,286.0,4000.0,53.0,807.0
2233,塔牌集团,371,2989,319.0,2558.0,52.0,431.0
789,万年青,988,7310,938.0,6974.0,50.0,336.0
601878,浙商证券,280,2945,233.0,2471.0,47.0,474.0
2601,龙蟒佰利,247,1490,201.0,1207.0,46.0,283.0
878,云南铜业,274,2863,230.0,2395.0,44.0,468.0
2262,恩华药业,328,2306,288.0,2044.0,40.0,262.0
584,哈工智能,244,3834,207.0,3216.0,37.0,618.0
601231,环旭电子,258,1554,222.0,1342.0,36.0,212.0
795,英洛华,298,5642,262.0,4870.0,36.0,772.0
603696,安记食品,238,1431,203.0,1292.0,35.0,139.0
600556,天下秀,505,3026,471.0,2850.0,34.0,176.0
600271,航天信息,236,1439,212.0,1302.0,24.0,137.0
600879,航天电子,606,9388,582.0,8960.0,24.0,428.0
603939,益丰药房,260,378,238.0,347.0,22.0,31.0
601777,力帆股份,230,5580,210.0,5032.0,20.0,548.0
600635,大众公用,224,5365,206.0,4948.0,18.0,417.0
601595,上海电影,224,1467,208.0,1419.0,16.0,48.0
851,高鸿股份,260,3385,246.0,3210.0,14.0,175.0
601118,海南橡胶,332,6411,322.0,6180.0,10.0,231.0
505,京粮控股,247,3069,238.0,3001.0,9.0,68.0
2093,国脉科技,233,2595,224.0,2546.0,9.0,49.0
2299,圣农发展,783,3193,776.0,3142.0,7.0,51.0
2466,天齐锂业,204,1255,203.0,1252.0,1.0,3.0
2797,第一创业,254,3741,256.0,3754.0,-2.0,-13.0
975,银泰黄金,459,2897,468.0,2979.0,-9.0,-82.0
672,上峰水泥,201,806,214.0,843.0,-13.0,-37.0
