stock_index,stock_name,buy_num,buy_shou,sale_num,sale_shou,buy_sale_diff,buy_sale_diff_shou
63,中兴通讯,107874,258344,72203.0,172928.0,35671.0,85416.0
100,TCL科技,30522,502990,14540.0,239306.0,15982.0,263684.0
977,浪潮信息,15343,38228,3223.0,7999.0,12120.0,30229.0
2241,歌尔股份,25233,97777,15047.0,58589.0,10186.0,39188.0
2594,比亚迪,13318,20197,4204.0,6380.0,9114.0,13817.0
600030,中信证券,16336,70843,7985.0,34702.0,8351.0,36141.0
600588,用友网络,9296,23855,1066.0,2704.0,8230.0,21151.0
725,京东方Ａ,37483,827305,30013.0,661529.0,7470.0,165776.0
603986,兆易创新,16560,7546,10394.0,4733.0,6166.0,2813.0
2603,以岭药业,18579,52910,12422.0,35178.0,6157.0,17732.0
2714,牧原股份,13023,18012,6971.0,9668.0,6052.0,8344.0
2460,赣锋锂业,11735,21890,6266.0,11735.0,5469.0,10155.0
601555,东吴证券,6106,73997,730.0,8935.0,5376.0,65062.0
601162,天风证券,7893,127875,2552.0,41519.0,5341.0,86356.0
2384,东山精密,7393,26168,2529.0,8909.0,4864.0,17259.0
2415,海康威视,8617,28804,3910.0,13104.0,4707.0,15700.0
600703,三安光电,7374,31434,2901.0,12428.0,4473.0,19006.0
600745,闻泰科技,11254,10352,6965.0,6409.0,4289.0,3943.0
600498,烽火通信,5904,19527,1986.0,6602.0,3918.0,12925.0
601231,环旭电子,3899,19760,0.0,0.0,3899.0,19760.0
988,华工科技,6288,26885,2503.0,10815.0,3785.0,16070.0
600837,海通证券,4128,34694,487.0,4116.0,3641.0,30578.0
2157,正邦科技,3851,22355,427.0,2515.0,3424.0,19840.0
2075,沙钢股份,9645,66156,6228.0,42962.0,3417.0,23194.0
2281,光迅科技,3888,11741,579.0,1758.0,3309.0,9983.0
2385,大北农,5354,61348,2263.0,26039.0,3091.0,35309.0
600584,长电科技,18141,64618,15238.0,54025.0,2903.0,10593.0
851,高鸿股份,4100,50802,1241.0,15514.0,2859.0,35288.0
601179,中国西电,4035,79160,1253.0,24542.0,2782.0,54618.0
600010,包钢股份,6150,530606,3387.0,293143.0,2763.0,237463.0
2100,天康生物,2960,19610,210.0,1393.0,2750.0,18217.0
603222,济民制药,2565,7245,0.0,0.0,2565.0,7245.0
600019,宝钢股份,4449,92739,1890.0,39332.0,2559.0,53407.0
2635,安洁科技,3495,15356,1035.0,4602.0,2460.0,10754.0
2008,大族激光,3578,10534,1154.0,3410.0,2424.0,7124.0
2185,华天科技,6713,50073,4335.0,32266.0,2378.0,17807.0
2273,水晶光电,3309,19904,989.0,5997.0,2320.0,13907.0
1,平安银行,5691,44949,3373.0,26644.0,2318.0,18305.0
600662,强生控股,2931,35479,692.0,8245.0,2239.0,27234.0
876,新 希 望,3292,11341,1118.0,3853.0,2174.0,7488.0
2129,中环股份,2438,12534,482.0,2477.0,1956.0,10057.0
2142,宁波银行,3462,13812,1554.0,6186.0,1908.0,7626.0
600884,杉杉股份,6450,42530,4633.0,30810.0,1817.0,11720.0
603993,洛阳钼业,3561,93491,1762.0,46644.0,1799.0,46847.0
2601,龙蟒佰利,1790,10145,0.0,0.0,1790.0,10145.0
2600,领益智造,11774,113774,9998.0,96651.0,1776.0,17123.0
2007,华兰生物,6968,14567,5339.0,11300.0,1629.0,3267.0
603259,药明康德,2310,2752,723.0,864.0,1587.0,1888.0
600585,XD海螺水,3283,6093,1730.0,3221.0,1553.0,2872.0
2610,爱康科技,1512,112980,0.0,0.0,1512.0,112980.0
2003,伟星股份,1464,25078,0.0,0.0,1464.0,25078.0
603466,风语筑,1461,8098,0.0,0.0,1461.0,8098.0
600459,贵研铂业,6130,23325,4705.0,17519.0,1425.0,5806.0
600050,中国联通,2587,53012,1187.0,24323.0,1400.0,28689.0
2024,苏宁易购,1645,18246,249.0,2747.0,1396.0,15499.0
2409,雅克科技,1352,2950,0.0,0.0,1352.0,2950.0
601669,中国电建,1351,38115,0.0,0.0,1351.0,38115.0
600438,通威股份,1337,8946,0.0,0.0,1337.0,8946.0
600406,国电南瑞,1518,7487,202.0,999.0,1316.0,6488.0
2498,汉缆股份,1846,36091,560.0,10940.0,1286.0,25151.0
600795,国电电力,1268,68307,0.0,0.0,1268.0,68307.0
603608,天创时尚,1557,12765,296.0,2453.0,1261.0,10312.0
2236,大华股份,4639,24492,3378.0,17817.0,1261.0,6675.0
16,深康佳Ａ,1209,17390,0.0,0.0,1209.0,17390.0
933,神火股份,1199,28252,0.0,0.0,1199.0,28252.0
2467,二六三,1163,16378,0.0,0.0,1163.0,16378.0
961,中南建设,1156,13524,0.0,0.0,1156.0,13524.0
601658,邮储银行,2819,61431,1681.0,36657.0,1138.0,24774.0
2002,鸿达兴业,1137,30342,0.0,0.0,1137.0,30342.0
601225,陕西煤业,1545,21185,418.0,5828.0,1127.0,15357.0
776,广发证券,1418,10400,296.0,2182.0,1122.0,8218.0
603077,和邦生物,1804,134714,689.0,51204.0,1115.0,83510.0
601857,中国石油,1091,25527,0.0,0.0,1091.0,25527.0
601138,工业富联,1554,10819,469.0,3287.0,1085.0,7532.0
601088,中国神华,1497,10007,416.0,2773.0,1081.0,7234.0
601601,中国太保,1697,6154,622.0,2268.0,1075.0,3886.0
2351,漫步者,1060,5358,0.0,0.0,1060.0,5358.0
750,国海证券,1784,42209,733.0,17363.0,1051.0,24846.0
600157,永泰能源,1783,137137,734.0,56123.0,1049.0,81014.0
2466,天齐锂业,3960,15791,2930.0,11815.0,1030.0,3976.0
90,天健集团,1242,17950,226.0,3304.0,1016.0,14646.0
600968,海油发展,964,40657,0.0,0.0,964.0,40657.0
938,紫光股份,6754,16415,5824.0,14472.0,930.0,1943.0
600201,生物股份,922,3560,0.0,0.0,922.0,3560.0
895,双汇发展,904,2179,0.0,0.0,904.0,2179.0
2131,利欧股份,6958,165455,6063.0,143401.0,895.0,22054.0
813,德展健康,1399,21495,511.0,7716.0,888.0,13779.0
601066,中信建投,1928,5680,1043.0,3120.0,885.0,2560.0
2371,北方华创,2004,1325,1121.0,743.0,883.0,582.0
600221,海航控股,1178,75546,304.0,19369.0,874.0,56177.0
601878,浙商证券,863,8849,0.0,0.0,863.0,8849.0
600016,民生银行,1450,25730,601.0,10665.0,849.0,15065.0
601789,宁波建工,1063,21545,221.0,4402.0,842.0,17143.0
603288,海天味业,835,716,0.0,0.0,835.0,716.0
2352,顺丰控股,832,1491,0.0,0.0,832.0,1491.0
601872,招商轮船,831,14162,0.0,0.0,831.0,14162.0
601990,南京证券,1670,11845,843.0,6005.0,827.0,5840.0
28,国药一致,1304,2744,482.0,1012.0,822.0,1732.0
2183,怡 亚 通,2068,37840,1246.0,23218.0,822.0,14622.0
2123,梦网集团,2031,10075,1232.0,6175.0,799.0,3900.0
600127,金健米业,1716,16970,921.0,9329.0,795.0,7641.0
2507,涪陵榨菜,782,2280,0.0,0.0,782.0,2280.0
601099,太平洋,780,24868,0.0,0.0,780.0,24868.0
936,华西股份,2336,18132,1557.0,12178.0,779.0,5954.0
600861,北京城乡,1279,8821,503.0,3529.0,776.0,5292.0
2156,通富微电,1011,4337,244.0,1053.0,767.0,3284.0
158,常山北明,762,7596,0.0,0.0,762.0,7596.0
2827,高争民爆,748,6023,0.0,0.0,748.0,6023.0
603258,电魂网络,746,1563,0.0,0.0,746.0,1563.0
66,中国长城,1270,9651,525.0,3971.0,745.0,5680.0
600048,保利地产,1294,8882,555.0,3797.0,739.0,5085.0
2522,浙江众成,714,10000,0.0,0.0,714.0,10000.0
603693,江苏新能,699,5259,0.0,0.0,699.0,5259.0
2074,国轩高科,1611,5857,930.0,3380.0,681.0,2477.0
2065,东华软件,855,7607,201.0,1784.0,654.0,5823.0
2196,方正电机,646,12098,0.0,0.0,646.0,12098.0
2596,海南瑞泽,644,9390,0.0,0.0,644.0,9390.0
600068,葛洲坝,592,9833,0.0,0.0,592.0,9833.0
600110,诺德股份,591,12143,0.0,0.0,591.0,12143.0
21,深科技,1852,8087,1269.0,5551.0,583.0,2536.0
39,中集集团,569,7667,0.0,0.0,569.0,7667.0
88,盐 田 港,800,13829,234.0,4090.0,566.0,9739.0
600309,万华化学,1357,2812,795.0,1656.0,562.0,1156.0
603290,斯达半导,1211,698,655.0,380.0,556.0,318.0
600808,马钢股份,2022,70998,1469.0,49466.0,553.0,21532.0
2047,宝鹰股份,543,10468,0.0,0.0,543.0,10468.0
2739,万达电影,542,3467,0.0,0.0,542.0,3467.0
2171,楚江新材,541,6170,0.0,0.0,541.0,6170.0
600777,新潮能源,536,35305,0.0,0.0,536.0,35305.0
413,东旭光电,533,19272,0.0,0.0,533.0,19272.0
600516,方大炭素,921,13868,390.0,5945.0,531.0,7923.0
600352,浙江龙盛,525,4083,0.0,0.0,525.0,4083.0
913,钱江摩托,1268,11166,748.0,6584.0,520.0,4582.0
2240,威华股份,735,6392,216.0,1889.0,519.0,4503.0
6,深振业Ａ,959,15492,446.0,7537.0,513.0,7955.0
600219,南山铝业,714,33891,201.0,9611.0,513.0,24280.0
878,云南铜业,504,4853,0.0,0.0,504.0,4853.0
932,华菱钢铁,503,12334,0.0,0.0,503.0,12334.0
603559,中通国脉,501,2280,0.0,0.0,501.0,2280.0
