stock_index,stock_name,yeji_predict,_c3,stock_date
9,中国宝安,业绩大幅上升,净利润28000万元至34000万元_增长幅度为30.98%至59.04%,2020-01-18
20,深华发A,业绩大幅上升,净利润550万元至800万元,2020-02-12
23,深天地A,业绩大幅上升,净利润4900万元至6100万元_增长幅度为86%至132%,2020-01-21
25,特力A,业绩大幅上升,净利润18000万元至25000万元_增长幅度为107.09%至187.62%,2020-01-18
27,深圳能源,业绩大幅上升,净利润135000万元至185000万元_增长幅度为95%至168%,2020-01-15
42,中洲控股,业绩大幅上升,净利润68591.65万元至88692.71万元_增长幅度为53.56%至98.56%,2020-01-21
48,康达尔,业绩大幅上升,净利润95000万元至120000万元_增长幅度为117.19%至174.35%,2020-01-14
58,深赛格,业绩大幅上升,净利润6500万元左右_增长幅度为133.37%左右,2020-01-10
61,农产品,业绩大幅上升,净利润26000万元至35000万元_增长幅度为563.05%至792.57%,2020-01-18
90,天健集团,业绩大幅上升,净利润109420万元至125000万元_增长幅度为40%至60%,2020-01-10
157,中联重科,业绩大幅上升,净利润430000万元至450000万元_增长幅度为112.89%至122.79%,2020-01-16
301,东方盛虹,业绩大幅上升,净利润145000.00万元至175000.00万元_增长幅度为50.21%至81.29%,2020-01-21
400,许继电气,业绩大幅上升,净利润39000万元至44000万元_增长幅度为95.33%至120.37%,2020-01-18
403,双林生物,业绩大幅上升,净利润15196万元至17596万元_增长幅度为90%至120%,2020-01-16
425,徐工机械,业绩大幅上升,净利润360000万元至400000万元_增长幅度为75.98%至95.53%,2020-01-23
514,渝开发,业绩大幅上升,净利润22000万元至28600万元_增长幅度为773.71%至1035.82%,2020-01-18
523,广州浪奇,业绩大幅上升,净利润5000万元至7500万元_增长幅度为50.19%至125.28%,2020-01-23
531,穗恒运A,业绩大幅上升,净利润37700万元至42600万元_增长幅度为360%至420%,2020-01-18
531,穗恒运A,业绩大幅上升,净利润40300万元至44300万元_增长幅度为410%至460%,2020-03-31
534,万泽股份,业绩大幅上升,净利润4000万元至5200万元,2020-03-31
539,粤电力A,业绩大幅上升,净利润110000万元至140000万元_增长幅度为131.84%至195.07%,2020-01-18
546,金圆股份,业绩大幅上升,净利润54000万元至60000万元_增长幅度为44.15%至60.16%,2020-01-18
