stock_index,stock_name,yeji_predict,_c3,stock_date
9,中国宝安,业绩大幅上升,净利润48000.00万元至55000.00万元_增长幅度为139.18%至174.06%,2020-10-09
17,*ST中华A,业绩大幅上升,净利润450万元至600万元_增长幅度为1765.67%至2387.56%,2020-10-15
21,深科技,业绩大幅上升,净利润40863.23万元至54484.30万元_增长幅度为50%至100%,2020-10-15
27,深圳能源,业绩大幅上升,净利润366000万元至406000万元_增长幅度为113.68%至137.04%,2020-10-15
37,深南电A,业绩大幅上升,净利润12800万元左右_增长幅度为1401.73%左右,2020-10-13
38,深大通,业绩大幅上升,净利润9500万元左右_增长幅度为3167.86%左右,2020-10-15
61,农产品,业绩大幅上升,净利润25000万元至30000万元_增长幅度为53.41%至84.09%,2020-10-15
157,中联重科,业绩大幅上升,净利润550000万元至580000万元_增长幅度为58.05%至66.68%,2020-10-15
400,许继电气,业绩大幅上升,净利润49000万元至53000万元_增长幅度为60.92%至74.05%,2020-10-13
514,渝开发,业绩大幅上升,净利润2300万元至2900万元_增长幅度为105.17%至158.70%,2020-10-13
544,中原环保,业绩大幅上升,净利润42000万元至47000万元_增长幅度为63.60%至83.08%,2020-10-13
555,神州信息,业绩大幅上升,净利润43500万元至60000万元_增长幅度为15.81%至59.74%,2020-10-31
612,焦作万方,业绩大幅上升,净利润34000万元至39000万元_增长幅度为1157%至1342%,2020-10-13
619,海螺型材,业绩大幅上升,净利润4000万元至4300万元_增长幅度为86.00%至99.95%,2020-10-10
661,长春高新,业绩大幅上升,净利润217095.24万元至229500.68万元_增长幅度为75%至85%,2020-09-15
703,恒逸石化,业绩大幅上升,净利润300000万元至340000万元_增长幅度为35.52%至53.59%,2020-08-29
728,国元证券,业绩大幅上升,净利润105000万元至112000万元_增长幅度为50.06%至60.06%,2020-10-10
737,ST南风,业绩大幅上升,净利润9700万元至10300万元_增长幅度为4482.82%至4766.30%,2020-10-13
739,普洛药业,业绩大幅上升,净利润61000万元至65000万元_增长幅度为41.33%至50.60%,2020-09-28
876,新希望,业绩大幅上升,净利润480000万元至500000万元_增长幅度为56.27%至62.78%,2020-10-13
881,中广核技,业绩大幅上升,净利润24904.21万元至27404.21万元_增长幅度为229.37%至262.44%,2020-10-13
883,湖北能源,业绩大幅上升,净利润226250.96万元至261600.96万元_增长幅度为49.41%至72.75%,2020-10-13
976,华铁股份,业绩大幅上升,净利润28000万元至32500万元_增长幅度为30.09%至50.99%,2020-08-31
1896,豫能控股,业绩大幅上升,净利润36000.0万元至43500.0万元_增长幅度为78.52%至115.71%,2020-10-13
2030,达安基因,业绩大幅上升,净利润110000万元至140000万元_增长幅度为1272.06%至1646.26%,2020-08-29
2030,达安基因,业绩大幅上升,净利润200000万元至220000万元_增长幅度为2069.63%至2286.59%,2020-10-31
2039,黔源电力,业绩大幅上升,净利润42863.85万元至47150.24万元_增长幅度为50%至65%,2020-10-13
2124,天邦股份,业绩大幅上升,净利润280000万元至290000万元_增长幅度为23349.21%至24186.68%,2020-10-09
2134,天津普林,业绩大幅上升,净利润1700万元至1900万元_增长幅度为167.36%至198.82%,2020-10-13
2148,北纬科技,业绩大幅上升,净利润1100万元至1400万元_增长幅度为36.05%至73.15%,2020-10-13
2157,正邦科技,业绩大幅上升,净利润541721.70万元至561721.70万元_增长幅度为10679.87%至11077.85%,2020-10-13
2176,*ST江特,业绩大幅上升,净利润2000万元至2500万元_增长幅度为208.60%至285.75%,2020-09-26
2184,海得控制,业绩大幅上升,净利润10000万元至12000万元_增长幅度为90.69%至128.83%,2020-10-31
2204,大连重工,业绩大幅上升,净利润3200万元至4800万元_增长幅度为30.90%至96.35%,2020-09-30
2211,宏达新材,业绩大幅上升,净利润2800万元至3600万元_增长幅度为13788.89%至17757.14%,2020-10-09
2216,三全食品,业绩大幅上升,净利润54798.05万元至58295.80万元_增长幅度为370.00%至400.00%,2020-10-10
2258,利尔化学,业绩大幅上升,净利润41017.57万元至42189.50万元_增长幅度为75.00%至80.00%,2020-10-09
2263,大东南,业绩大幅上升,净利润6800万元至7500万元_增长幅度为120.81%至143.54%,2020-10-13
2266,浙富控股,业绩大幅上升,净利润66457.11万元至81457.11万元_增长幅度为87.11%至129.34%,2020-08-31
2310,东方园林,业绩大幅上升,净利润20000万元至30000万元_增长幅度为285.32%至477.98%,2020-10-31
2362,汉王科技,业绩大幅上升,净利润6616万元至7216万元_增长幅度为140.25%至162.04%,2020-10-09
2408,齐翔腾达,业绩大幅上升,净利润73307.92万元至83780.48万元_增长幅度为40%至60%,2020-10-12
2421,达实智能,业绩大幅上升,净利润19320.28万元至21896.32万元_增长幅度为50%至70%,2020-10-13
2452,长高集团,业绩大幅上升,净利润16800万元至19000万元_增长幅度为77.17%至100.37%,2020-10-13
2481,双塔食品,业绩大幅上升,净利润26555.76万元至29506.40万元_增长幅度为80%至100%,2020-10-10
2487,大金重工,业绩大幅上升,净利润27701.43万元至33241.77万元_增长幅度为150.00%至200.00%,2020-10-12
2511,中顺洁柔,业绩大幅上升,净利润65671.16万元至74427.31万元_增长幅度为50%至70%,2020-10-12
2515,金字火腿,业绩大幅上升,净利润8500万元至9500万元_增长幅度为78.94%至99.99%,2020-09-30
2539,云图控股,业绩大幅上升,净利润34805.25万元至36637.10万元_增长幅度为90%至100%,2020-10-13
2548,金新农,业绩大幅上升,净利润31000万元至36000万元_增长幅度为786.53%至929.52%,2020-10-13
2562,兄弟科技,业绩大幅上升,净利润9000.00万元至11700.00万元_增长幅度为368.17%至508.62%,2020-09-25
2568,百润股份,业绩大幅上升,净利润36567.20万元至38852.65万元_增长幅度为60%至70%,2020-09-25
2582,好想你,业绩大幅上升,净利润213492.59万元至222992.59万元_增长幅度为1008.35%至1057.67%,2020-10-31
2594,比亚迪,业绩大幅上升,净利润340000万元至360000万元_增长幅度为115.97%至128.67%,2020-10-13
2614,奥佳华,业绩大幅上升,净利润30925.01万元至32986.68万元_增长幅度为50%至60%,2020-10-09
2623,亚玛顿,业绩大幅上升,净利润7100万元至7600万元_增长幅度为3995.76%至4284.19%,2020-09-30
2641,永高股份,业绩大幅上升,净利润49130.37万元至58956.44万元_增长幅度为50%至80%,2020-10-12
2648,卫星石化,业绩预盈,净利润86000万元至97000万元_增长幅度为-6.73%至5.20%,2020-10-12
2714,牧原股份,业绩大幅上升,净利润2070000万元至2120000万元_增长幅度为1392.52%至1428.57%,2020-10-10
2772,众兴菌业,业绩大幅上升,净利润10649.93万元至12227.70万元_增长幅度为170.00%至210.00%,2020-09-25
2778,高科石化,业绩大幅上升,净利润3200万元至4100万元_增长幅度为142.01%至210.08%,2020-10-13
2791,坚朗五金,业绩大幅上升,净利润48520.25万元至54186.35万元_增长幅度为80.13%至101.17%,2020-10-10
2803,吉宏股份,业绩大幅上升,净利润42531.49万元至46027.93万元_增长幅度为83.68%至98.78%,2020-09-05
2838,道恩股份,业绩大幅上升,净利润76170.02万元至80380.02万元_增长幅度为500.12%至533.29%,2020-10-13
2855,捷荣技术,业绩大幅上升,净利润7597.89万元至9567.72万元_增长幅度为35.00%至70.00%,2020-10-31
2919,名臣健康,业绩大幅上升,净利润2905.59万元至3735.76万元_增长幅度为40.00%至80.00%,2020-08-31
2973,侨银环保,业绩大幅上升,净利润27391.67万元至29383.79万元_增长幅度为175%至195%,2020-10-12
2985,北摩高科,业绩大幅上升,净利润15972.86万元至16488.12万元_增长幅度为55.00%至60.00%,2020-09-23
2987,京北方,业绩大幅上升,净利润17794.47万元至18956.55万元_增长幅度为50.37%至60.19%,2020-10-10
3003,天元股份,业绩预盈,净利润5250万元至5550万元_增长幅度为-3.52%至1.99%,2020-09-01
3005,竞业达,业绩大幅上升,净利润13000万元至14500万元_增长幅度为50.41%至73.55%,2020-09-01
3006,百亚股份,业绩大幅上升,扣除非经常性损益前归属于母公司所有者的净利润12400万元至13300万元_增长幅度为45%至55%,2020-09-01
