bankuai,top_stock_name,cnt,rank
含GDR,华泰证券,106,1
基因测序,金健米业,50,1
超大盘,中远海控,49,1
氢燃料,复星医药,47,1
氢燃料,长安汽车,47,2
天津自贸,天汽模,42,1
氢燃料,中炬高新,40,3
未股改,北汽蓝谷,38,1
基因测序,达安基因,38,2
互联金融,腾邦国际,37,1
超大盘,紫金矿业,36,2
地热能,海鸥住工,35,1
草甘膦,扬农化工,35,1
食品安全,达安基因,34,1
高校背景,达安基因,34,1
水产品,国联水产,33,1
黄金概念,赤峰黄金,33,1
生物燃料,ST椰岛,33,1
地热能,雷科防务,32,2
水产品,天马科技,32,2
维生素,金达威,32,1
水利建设,利欧股份,31,1
甲型流感,华兰生物,31,1
三沙概念,京粮控股,31,1
油气改革,*ST飞马,31,1
奢侈品,亚光科技,30,1
未股改,*ST金洲,30,2
水产品,獐子岛,30,3
海上丝路,海航基础,30,1
电商概念,高鸿股份,30,1
水域改革,国联水产,30,1
甲型流感,天坛生物,30,2
超大盘,山东黄金,30,3
聚氨酯,联创股份,30,1
地热能,汉钟精机,29,3
未股改,*ST华塑,29,3
电商概念,宝信软件,29,2
水域改革,獐子岛,29,2
草甘膦,红 太 阳,29,2
维生素,华北制药,29,2
水域改革,创新医疗,28,3
送转潜力,天银机电,28,1
聚氨酯,雅克科技,28,2
天津自贸,*ST松江,27,2
天津自贸,海航科技,27,3
水产品,中水渔业,27,4
甲型流感,普洛药业,27,3
婴童概念,博晖创新,27,1
草甘膦,兴发集团,27,3
草甘膦,胜利股份,27,4
超级细菌,海正药业,27,1
生物燃料,万向德农,27,2
智能家居,天银机电,27,1
生物疫苗,天山生物,27,1
信息安全,立思辰,26,1
电商概念,焦点科技,26,3
前海概念,深康佳Ａ,26,1
可燃冰,西部矿业,26,1
可燃冰,吉艾科技,26,2
互联金融,君正集团,26,2
超级细菌,ST康美,26,2
超级细菌,华北制药,26,3
消费电子,和胜股份,26,1
三沙概念,海航基础,26,2
外资背景,万业企业,26,1
智能家居,英唐智控,26,2
氢燃料,长城电工,25,4
高校背景,津膜科技,25,2
水产品,大湖股份,25,5
沿海发展,奥特佳,25,1
海上丝路,片仔癀,25,2
信息安全,同有科技,25,2
水域改革,*ST晨鑫,25,4
海水淡化,全信股份,25,1
可燃冰,杰瑞股份,25,3
草甘膦,*ST瀚叶,25,5
超级细菌,天坛生物,25,4
赛马概念,中体产业,25,1
生物燃料,国风塑业,25,3
民营银行,朗姿股份,24,1
垃圾分类,雅本化学,24,1
信息安全,蓝盾股份,24,3
基因测序,中源协和,24,3
电商概念,小商品城,24,4
智能穿戴,福日电子,24,1
婴童概念,西部牧业,24,2
超级细菌,华兰生物,24,5
海南自贸,海汽集团,24,1
三沙概念,ST罗顿,24,3
宽带提速,大唐电信,24,1
日韩贸易,澳柯玛,24,1
氢燃料,金龙汽车,23,5
食品安全,新莱应材,23,2
超导概念,西部材料,23,1
天津自贸,*ST劝业,23,4
上海自贸,华贸物流,23,1
迪士尼,爱旭股份,23,1
迪士尼,百联股份,23,2
生物育种,西部牧业,23,1
智能穿戴,超华科技,23,2
智能电网,中能电气,23,1
猪肉,绿庭投资,23,1
东亚自贸,青岛中程,23,1
自贸区,青岛中程,23,1
赛马概念,*ST海创,23,2
卫星导航,乾照光电,23,1
生物燃料,北大荒,23,4
民营医院,模塑科技,23,1
日韩贸易,青岛中程,23,2
建筑节能,联创股份,22,1
奢侈品,友阿股份,22,2
国产软件,中国软件,22,1
基因概念,金健米业,22,1
可燃冰,神开股份,22,4
振兴沈阳,广汇汽车,22,1
维生素,花园生物,22,3
维生素,新 和 成,22,4
猪肉,大北农,22,2
石墨烯,珈伟新能,22,1
生物燃料,迪森股份,22,5
民营医院,复星医药,22,2
博彩概念,君正集团,22,1
免疫治疗,国际医学,21,1
智能机器,紫天科技,21,1
3D打印,银邦股份,21,1
超导概念,*ST湘电,21,2
奢侈品,创新医疗,21,3
黄金概念,*ST金贵,21,2
上海自贸,爱旭股份,21,2
迪士尼,锦江酒店,21,3
海上丝路,中昌数据,21,3
海上丝路,盐 田 港,21,4
文化振兴,强生控股,21,1
水域改革,大湖股份,21,5
海水淡化,津膜科技,21,2
海水淡化,南方汇通,21,3
股期概念,国金证券,21,1
维生素,尔康制药,21,5
5G概念,富春股份,21,1
摘帽概念,建设机械,21,1
三沙概念,亚太实业,21,4
民营医院,*ST恒康,21,3
智能家居,海鸥住工,21,3
电子支付,腾邦国际,20,1
建筑节能,天晟新材,20,2
建筑节能,智光电气,20,3
奢侈品,越秀金控,20,4
天津自贸,滨海能源,20,5
黄金概念,盛屯矿业,20,3
生态农业,西部牧业,20,1
生态农业,神农科技,20,2
碳纤维,金发科技,20,1
海上丝路,南宁百货,20,5
生物育种,顺鑫农业,20,2
生物育种,獐子岛,20,3
信息安全,旋极信息,20,4
前海概念,新宙邦,20,2
QFII重仓,省广集团,20,1
可燃冰,东华能源,20,5
婴童概念,德力股份,20,3
振兴沈阳,*ST节能,20,2
仿制药,复星医药,20,1
稀缺资源,青岛中程,20,1
赛马概念,平潭发展,20,3
民营医院,国际医学,20,4
宽带提速,深南股份,20,2
智能家居,长虹美菱,20,4
智能家居,邦讯技术,20,5
朝鲜改革,沈阳化工,19,1
内贸规划,供销大集,19,1
超导概念,百利电气,19,3
地热能,冰轮环境,19,4
建筑节能,金晶科技,19,4
高校背景,博云新材,19,3
奢侈品,中国中免,19,5
生态农业,金发科技,19,3
垃圾分类,惠而浦,19,2
体育概念,泰达股份,19,1
生物育种,神农科技,19,4
生物育种,正邦科技,19,5
基因测序,科华生物,19,4
绿色照明,珈伟新能,19,1
海工装备,东方电热,19,1
机器人概念,蓝英装备,19,1
前海概念,深天地Ａ,19,3
前海概念,深物业A,19,4
国企改革,格力地产,19,1
甲型流感,中牧股份,19,4
股期概念,新黄浦,19,2
振兴沈阳,曙光股份,19,3
武汉规划,人福医药,19,1
猪肉,顺鑫农业,19,3
互联金融,西水股份,19,3
循环经济,泰达股份,19,1
三沙概念,海南海药,19,5
宽带提速,*ST新海,19,3
日韩贸易,特锐德,19,3
日韩贸易,海联金汇,19,4
充电桩,阳光电源,19,1
免疫治疗,冠昊生物,18,2
内贸规划,王府井,18,2
乡村振兴,智慧农业,18,1
乡村振兴,獐子岛,18,2
央企50,中远海控,18,1
央企50,保变电气,18,2
超导概念,汉缆股份,18,4
超导概念,*ST梦舟,18,5
汽车电子,金龙机电,18,1
资产注入,金晶科技,18,1
碳纤维,华伍股份,18,2
迪士尼,华域汽车,18,4
体育概念,大湖股份,18,2
准ST股,金健米业,18,1
信息安全,美亚柏科,18,5
基因测序,利德曼,18,5
百度概念,力帆股份,18,1
水利建设,大禹节水,18,2
电商概念,国新健康,18,5
智能穿戴,九安医疗,18,3
海水淡化,宝钛股份,18,4
股期概念,美尔雅,18,3
