bankuai,stock_date,zhangdiee
国企改革,2021-01-08,0.182
股权激励,2021-01-08,-0.111
特斯拉,2020-12-21,1.085
上海自贸,2021-01-07,-0.195
含GDR,2020-12-30,0.11
国防军工,2020-12-30,0.284
深圳本地,2020-12-30,0.034
生物燃料,2020-12-31,0.163
生物育种,2021-01-04,0.757
网络游戏,2020-12-17,0.076
汽车电子,2020-12-22,-0.377
婴童概念,2020-12-22,-0.063
锂电池,2020-12-29,-0.862
智能家居,2020-12-25,0.01
垃圾分类,2021-01-08,0.09
长株潭,2020-12-30,0.256
聚氨酯,2020-12-31,0.27
博彩概念,2020-12-24,-0.36
黄金概念,2021-01-04,0.23
高校背景,2021-01-11,-0.02
电子支付,2020-12-28,-0.291
国企改革,2020-12-29,-0.036
食品安全,2020-12-25,0.09
国企改革,2021-01-05,0.164
本月解禁,2021-01-06,0.048
超大盘,2021-01-06,0.255
水产品,2020-12-18,-0.138
聚氨酯,2021-01-08,0.08
水产品,2021-01-13,-0.233
长株潭,2021-01-04,0.347
国企改革,2021-01-04,0.122
垃圾分类,2021-01-11,-0.142
信息安全,2021-01-11,-0.071
本月解禁,2020-12-22,-0.511
智能电网,2020-12-28,0.041
天津自贸,2020-12-29,0.021
皖江区域,2021-01-05,0.121
海水淡化,2020-12-18,-0.06
分拆上市,2020-12-18,0.108
网络游戏,2021-01-08,0.253
送转潜力,2021-01-08,-0.117
上海本地,2021-01-08,0.088
社保重仓,2020-12-21,0.316
百度概念,2020-12-23,0.013
消费电子,2021-01-11,0.035
5G概念,2021-01-11,-0.117
锂电池,2021-01-11,-0.763
3D打印,2021-01-11,-0.249
外资背景,2020-12-22,-0.106
甲型流感,2020-12-29,-0.09
摘帽概念,2021-01-05,0.637
深圳本地,2021-01-06,-0.04
出口退税,2020-12-18,0.079
无线耳机,2020-12-21,0.133
超导概念,2020-12-21,0.149
金融参股,2021-01-13,-0.005
军工航天,2021-01-07,0.079
婴童概念,2020-12-31,0.137
氢能源,2020-12-24,-0.19
三沙概念,2020-12-24,-0.008
5G概念,2020-12-23,0.031
军民融合,2020-12-17,0.03
地热能,2020-12-17,0.149
安防服务,2020-12-17,0.059
保险重仓,2020-12-17,0.554
民营医院,2021-01-05,1.027
智能电网,2020-12-21,0.354
券商重仓,2020-12-21,0.272
资产注入,2020-12-21,0.089
风能概念,2021-01-13,0.037
内贸规划,2020-12-30,-0.024
宽带提速,2020-12-31,0.096
消费电子,2020-12-24,-0.322
基因测序,2020-12-24,-0.716
振兴沈阳,2020-12-24,0.018
未股改,2020-12-24,0.02
电商概念,2020-12-23,0.139
信托重仓,2020-12-23,0.203
分拆上市,2021-01-04,0.531
电子支付,2020-12-17,0.138
雄安新区,2020-12-29,-0.032
地热能,2021-01-12,0.057
氢燃料,2021-01-12,0.124
海水淡化,2020-12-25,0.121
特斯拉,2020-12-25,0.62
