new_price,today_increase_ratio,stock_index,stock_name,zhuli_liuru,chaodadan_liuru,chaodadan_liuru_ratio,dadan_liuru,dadan_liuru_ratio,zhongdan_liuru,zhongdan_liuru_ratio,xiaodan_liuru,xiaodan_liuru_ratio,test1,zhuli_liuru_ratio,test2,test3,test4,stock_date,dt,update_time
66.85,2.26,002594,比亚迪,-6.3269936E7,1.0337808E7,0.69,-7.3607744E7,-4.93,4.164088E7,2.79,2.1629056E7,1.45,1583134263,-4.24,-,-,-,2020-03-02,2020-03-02,2021-01-26 11:15:23
67.87,1.53,002594,比亚迪,-1.34872864E8,-1.3675112E8,-7.27,1878256.0,0.1,7.007552E7,3.73,6.4797328E7,3.45,1583220663,-7.17,-,-,-,2020-03-03,2020-03-03,2021-01-26 11:15:23
67.87,1.53,002594,比亚迪,-1.34872864E8,-1.3675112E8,-7.27,1878256.0,0.1,7.007552E7,3.73,6.4797328E7,3.45,1583220663,-7.17,-,-,-,2020-03-04,2020-03-04,2021-01-26 11:15:23
67.87,1.53,002594,比亚迪,-1.34872864E8,-1.3675112E8,-7.27,1878256.0,0.1,7.007552E7,3.73,6.4797328E7,3.45,1583220663,-7.17,-,-,-,2020-03-05,2020-03-05,2021-01-26 11:15:23
67.87,1.53,002594,比亚迪,-1.34872864E8,-1.3675112E8,-7.27,1878256.0,0.1,7.007552E7,3.73,6.4797328E7,3.45,1583220663,-7.17,-,-,-,2020-03-06,2020-03-06,2021-01-26 11:15:23
67.87,1.53,002594,比亚迪,-1.34872864E8,-1.3675112E8,-7.27,1878256.0,0.1,7.007552E7,3.73,6.4797328E7,3.45,1583220663,-7.17,-,-,-,2020-03-09,2020-03-09,2021-01-26 11:15:23
60.17,1.21,002594,比亚迪,-1.15413152E8,-1.01965056E8,-6.46,-1.3448096E7,-0.85,4.8705184E7,3.09,6.6707968E7,4.23,1583825463,-7.31,-,-,-,2020-03-10,2020-03-10,2021-01-26 11:15:23
60.17,1.21,002594,比亚迪,-1.15413152E8,-1.01965056E8,-6.46,-1.3448096E7,-0.85,4.8705184E7,3.09,6.6707968E7,4.23,1583825463,-7.31,-,-,-,2020-03-11,2020-03-11,2021-01-26 11:15:23
60.17,1.21,002594,比亚迪,-1.15413152E8,-1.01965056E8,-6.46,-1.3448096E7,-0.85,4.8705184E7,3.09,6.6707968E7,4.23,1583825463,-7.31,-,-,-,2020-03-12,2020-03-12,2021-01-26 11:15:23
60.17,1.21,002594,比亚迪,-1.15413152E8,-1.01965056E8,-6.46,-1.3448096E7,-0.85,4.8705184E7,3.09,6.6707968E7,4.23,1583825463,-7.31,-,-,-,2020-03-13,2020-03-13,2021-01-26 11:15:23
