stock_index,dadan_cnt,dt_cnt,last_date,avg_daily_dadan_cnt
s000001,1878,44,2021-02-23,43.0
s000002,1480,44,2021-02-23,34.0
s000006,1,1,2020-12-23,1.0
s000007,18,5,2021-02-19,4.0
s000008,1,1,2021-01-20,1.0
s000009,238,31,2021-02-23,8.0
s000010,1,1,2020-12-25,1.0
s000012,72,23,2021-02-22,3.0
s000016,22,10,2021-02-05,2.0
s000020,13,5,2021-01-22,3.0
s000021,135,33,2021-02-23,4.0
s000026,3,3,2021-02-08,1.0
s000027,57,14,2021-02-01,4.0
s000029,3,2,2021-01-15,2.0
s000030,3,1,2021-01-20,3.0
s000032,3,2,2021-02-23,2.0
s000034,9,6,2021-01-22,2.0
s000039,108,34,2021-02-18,3.0
s000040,9,3,2021-02-01,3.0
s000048,2,2,2021-02-08,1.0
s000049,126,29,2021-02-22,4.0
s000050,48,20,2021-02-19,2.0
s000059,5,4,2021-02-22,1.0
s000060,61,13,2021-02-23,5.0
s000061,1,1,2021-01-04,1.0
s000063,2140,44,2021-02-23,49.0
s000066,756,44,2021-02-23,17.0
s000068,3,1,2020-12-31,3.0
s000069,163,33,2021-02-23,5.0
s000070,3,2,2020-12-21,2.0
s000078,1,1,2020-12-22,1.0
s000089,9,7,2021-01-21,1.0
s000090,5,3,2021-01-19,2.0
s000100,7238,44,2021-02-23,164.0
s000150,2,2,2021-01-13,1.0
s000153,1,1,2020-12-16,1.0
s000155,1205,43,2021-02-23,28.0
s000157,1366,44,2021-02-23,31.0
s000159,31,10,2021-01-26,3.0
s000166,107,28,2021-02-22,4.0
s000301,258,32,2021-02-23,8.0
s000333,2856,44,2021-02-23,65.0
s000338,1456,43,2021-02-23,34.0
s000400,18,12,2021-01-21,2.0
s000401,16,12,2021-02-22,1.0
s000403,6,2,2021-02-18,3.0
s000404,28,6,2021-02-23,5.0
s000408,32,10,2021-02-23,3.0
s000411,3,3,2020-12-28,1.0
s000413,14,5,2021-01-18,3.0
s000415,2,1,2021-01-25,2.0
s000416,1,1,2020-12-18,1.0
s000420,4,2,2021-02-23,2.0
s000421,7,3,2020-12-29,2.0
s000422,1,1,2021-02-23,1.0
s000423,31,18,2021-02-23,2.0
s000425,374,41,2021-02-23,9.0
s000426,25,9,2021-02-23,3.0
s000428,9,4,2021-02-10,2.0
s000488,351,40,2021-02-23,9.0
s000501,1,1,2021-01-19,1.0
s000503,1,1,2020-12-17,1.0
s000505,3,3,2021-01-06,1.0
s000507,1,1,2021-01-15,1.0
s000510,1,1,2021-02-22,1.0
s000513,17,10,2021-02-22,2.0
s000516,138,36,2021-02-23,4.0
s000518,15,11,2021-01-21,1.0
s000519,49,22,2021-01-27,2.0
s000521,178,26,2021-02-05,7.0
s000523,3,1,2020-12-31,3.0
s000524,1,1,2020-12-22,1.0
s000526,1,1,2021-01-08,1.0
s000528,53,15,2021-02-23,4.0
s000530,10,5,2021-01-04,2.0
s000531,1,1,2021-01-07,1.0
s000533,1,1,2021-01-28,1.0
s000534,5,3,2021-01-18,2.0
