stock_date,stock_index,kdjj
2020-08-03,603456,-5.282
2020-08-03,600258,-3.916
2020-08-03,600538,-3.895
2020-08-03,603895,-1.378
2020-08-03,603055,-0.701
2020-08-03,603889,-0.137
2020-08-03,603258,0.492
2020-08-03,600000,1.029
2020-08-03,600857,3.172
2020-08-03,600027,3.308
2020-08-03,600119,3.444
2020-08-03,603779,3.833
2020-08-03,600774,5.076
2020-08-03,600377,5.226
2020-08-03,601226,5.559
2020-08-03,603520,5.847
2020-08-03,601595,8.844
2020-08-03,600069,9.122
2020-08-03,600072,9.444
2020-08-03,603222,9.888
2020-08-03,600491,10.028
2020-08-03,603883,10.122
2020-08-03,603700,10.186
2020-08-03,601318,10.438
2020-08-03,603701,10.51
2020-08-03,603096,10.544
2020-08-03,603568,10.831
2020-08-03,600863,11.312
2020-08-03,601928,11.394
2020-08-03,603611,12.314
2020-08-03,600673,12.338
2020-08-03,600993,12.352
2020-08-03,601328,12.473
2020-08-03,603991,12.787
2020-08-03,601988,12.822
2020-08-03,600694,12.948
2020-08-03,600182,13.53
2020-08-03,603707,13.787
2020-08-03,600723,14.455
2020-08-03,603603,14.536
2020-08-03,603385,14.931
2020-08-03,601088,15.036
2020-08-03,603196,15.328
2020-08-03,600276,15.495
2020-08-03,601857,15.765
2020-08-03,603033,15.909
2020-08-03,603869,16.081
2020-08-03,600470,16.139
2020-08-03,600641,16.274
2020-08-03,601288,16.469
2020-08-03,600203,16.559
2020-08-03,601808,17.095
2020-08-03,600370,17.198
2020-08-03,600052,17.442
2020-08-03,600791,17.756
2020-08-03,600136,17.797
2020-08-03,601111,18.438
2020-08-03,600738,18.541
2020-08-03,600807,18.745
2020-08-03,600688,18.765
2020-08-03,601989,18.843
2020-08-03,600375,18.966
2020-08-03,603577,19.356
2020-08-03,603939,19.593
2020-08-03,603214,19.912
2020-08-03,600028,19.971
2020-08-03,601258,20.047
2020-08-03,600648,20.168
2020-08-03,601933,20.176
2020-08-03,601668,20.351
2020-08-03,600150,20.624
2020-08-03,603617,20.631
2020-08-03,601330,21.25
2020-08-03,600148,21.603
2020-08-03,601999,21.719
2020-08-03,603843,21.799
2020-08-03,600418,21.85
2020-08-03,600612,21.937
2020-08-03,603855,22.195
2020-08-03,601860,22.198
2020-08-03,603101,22.412
2020-08-03,603238,22.536
2020-08-03,601997,23.094
2020-08-03,601577,23.141
2020-08-03,603801,23.305
2020-08-03,600009,24.002
2020-08-03,600233,24.003
2020-08-03,600339,24.301
2020-08-03,601398,24.554
2020-08-03,600778,24.578
2020-08-03,600246,24.694
2020-08-03,600895,24.709
2020-08-03,601166,24.855
2020-08-03,600476,24.86
2020-08-03,600127,24.935
2020-08-03,601818,25.175
2020-08-03,603188,25.227
2020-08-03,603299,25.736
2020-08-03,600894,25.759
2020-08-03,603600,25.776
2020-08-03,600697,25.826
2020-08-03,600569,25.832
2020-08-03,600515,25.901
2020-08-03,600268,26.105
2020-08-03,600048,26.144
2020-08-03,600489,26.474
2020-08-03,601890,26.624
2020-08-03,600131,26.773
2020-08-03,600380,26.861
2020-08-03,600215,27.084
2020-08-03,600029,27.174
2020-08-03,601369,27.181
2020-08-03,600620,27.27
2020-08-03,600686,27.334
2020-08-03,601601,27.346
2020-08-03,600655,27.551
2020-08-03,600016,28.016
2020-08-03,600210,28.08
2020-08-03,603106,28.134
2020-08-03,601998,28.327
2020-08-03,600398,28.418
2020-08-03,600581,28.575
2020-08-03,600725,28.583
2020-08-03,600593,28.705
2020-08-03,600650,28.775
2020-08-03,600228,28.783
2020-08-03,600019,28.979
2020-08-03,601390,29.176
2020-08-03,603885,29.214
2020-08-03,600530,29.375
2020-08-03,600577,29.393
2020-08-03,600283,29.418
2020-08-03,600153,29.438
2020-08-03,603619,29.449
2020-08-03,601916,29.461
2020-08-03,603551,29.547
2020-08-03,601939,29.63
