stock_index,stock_date,rsi_6,macdh,macdh_mvavg5,macd,macds,macdh_abs
596,2021-01-25,65.509,-3.014,-5.819,-4.928,-1.914,3.014
2304,2021-01-25,56.421,-4.742,-6.67,-3.77,0.972,4.742
2938,2021-01-25,14.85,-0.579,-0.373,-1.645,-1.067,0.579
600600,2021-01-25,56.332,-1.143,-1.846,-1.538,-0.395,1.143
2773,2021-01-25,28.157,-0.361,-0.485,-1.1,-0.739,0.361
600196,2021-01-25,42.568,0.013,-0.136,-1.064,-1.077,0.013
600009,2021-01-25,45.238,-0.308,-0.388,-1.051,-0.742,0.308
625,2021-01-25,38.245,-0.2,-0.286,-0.721,-0.52,0.2
2384,2021-01-25,20.907,-0.337,-0.192,-0.715,-0.378,0.337
603156,2021-01-25,52.381,-0.014,-0.099,-0.713,-0.698,0.014
600340,2021-01-25,20.99,-0.059,-0.012,-0.671,-0.612,0.059
600066,2021-01-25,34.348,-0.021,-0.059,-0.646,-0.625,0.021
876,2021-01-25,26.029,-0.182,-0.13,-0.614,-0.432,0.182
300144,2021-01-25,45.973,-0.06,-0.092,-0.584,-0.524,0.06
651,2021-01-25,28.123,-0.351,-0.153,-0.502,-0.151,0.351
2456,2021-01-25,14.14,-0.202,-0.002,-0.499,-0.297,0.202
601231,2021-01-25,25.426,-0.155,-0.02,-0.46,-0.305,0.155
2841,2021-01-25,54.118,-0.455,-0.856,-0.459,-0.004,0.455
600547,2021-01-25,18.755,-0.12,-0.084,-0.376,-0.256,0.12
2624,2021-01-25,37.313,-0.195,-0.255,-0.367,-0.172,0.195
2600,2021-01-25,21.275,-0.04,-0.008,-0.353,-0.313,0.04
601238,2021-01-25,36.607,-0.059,-0.049,-0.345,-0.286,0.059
601236,2021-01-25,28.758,-0.172,-0.185,-0.331,-0.159,0.172
601878,2021-01-25,29.217,-0.044,-0.035,-0.33,-0.285,0.044
601108,2021-01-25,22.032,-0.068,-0.053,-0.33,-0.262,0.068
601066,2021-01-25,34.797,-0.204,-0.078,-0.304,-0.101,0.204
