stock_index,stock_date,rsi_6,macdh,macdh_mvavg5,macd,macds
2456,2021-01-25,14.14,-0.20199999999999999,-0.002,-0.499,-0.297
600498,2021-01-25,14.345,-0.24600000000000002,-0.043,-0.212,0.033
2938,2021-01-25,14.85,-0.579,-0.373,-1.645,-1.067
627,2021-01-25,15.876,-0.01,-0.01,-0.171,-0.161
166,2021-01-25,16.314,-0.028999999999999998,-0.012,-0.055999999999999994,-0.027000000000000003
2024,2021-01-25,17.351,0.016,0.040999999999999995,-0.23,-0.245
601198,2021-01-25,17.367,-0.149,-0.111,-0.265,-0.115
600795,2021-01-25,17.923,-0.013000000000000001,-0.012,-0.022000000000000002,-0.009000000000000001
600547,2021-01-25,18.755,-0.12,-0.084,-0.376,-0.256
601990,2021-01-25,20.2,-0.044000000000000004,-0.012,-0.265,-0.221
600487,2021-01-25,20.401,-0.05,0.003,-0.19899999999999998,-0.149
2384,2021-01-25,20.906999999999996,-0.337,-0.192,-0.715,-0.37799999999999995
600340,2021-01-25,20.99,-0.059000000000000004,-0.012,-0.6709999999999999,-0.612
2600,2021-01-25,21.275,-0.04,-0.008,-0.353,-0.313
601555,2021-01-25,21.739,-0.05,-0.037000000000000005,-0.185,-0.136
600489,2021-01-25,21.86,-0.015,-0.006,-0.21,-0.195
601108,2021-01-25,22.031999999999996,-0.068,-0.053,-0.33,-0.262
600183,2021-01-25,22.04,-0.387,-0.20800000000000002,-0.18100000000000002,0.20600000000000002
600918,2021-01-25,22.378,-0.23800000000000002,-0.191,-0.24600000000000002,-0.009000000000000001
601881,2021-01-25,22.925,-0.07400000000000001,-0.038,-0.136,-0.062
600705,2021-01-25,22.930999999999997,-0.042,-0.024,-0.031,0.011000000000000001
601162,2021-01-25,23.272,-0.024,-0.013999999999999999,-0.095,-0.07
600271,2021-01-25,23.482,-0.05,0.013999999999999999,-0.14400000000000002,-0.094
2958,2021-01-25,23.604,-0.015,-0.012,-0.107,-0.09300000000000001
600837,2021-01-25,23.948,-0.036000000000000004,-0.001,-0.11,-0.07400000000000001
600383,2021-01-25,24.122,-0.021,0.028999999999999998,-0.413,-0.392
601006,2021-01-25,24.315,-0.005,0.011000000000000001,-0.01,-0.005
601319,2021-01-25,24.642,-0.013999999999999999,0.0,-0.077,-0.063
600050,2021-01-25,24.673000000000002,-0.005,0.017,-0.055,-0.05
600886,2021-01-25,24.746,-0.016,0.006999999999999999,-0.06,-0.043
603160,2021-01-25,24.875,-0.748,0.31,-2.0869999999999997,-1.338
600048,2021-01-25,25.15,-0.028999999999999998,0.055,-0.217,-0.188
601231,2021-01-25,25.426,-0.155,-0.02,-0.46,-0.305
783,2021-01-25,25.948,-0.053,-0.037000000000000005,-0.07200000000000001,-0.019
876,2021-01-25,26.029,-0.182,-0.13,-0.614,-0.43200000000000005
600109,2021-01-25,26.344,-0.095,-0.047,-0.222,-0.127
600028,2021-01-25,26.348000000000003,-0.01,0.004,0.011000000000000001,0.022000000000000002
600150,2021-01-25,26.78,-0.084,0.005,-0.054000000000000006,0.03
2939,2021-01-25,26.851,-0.05,-0.033,-0.17,-0.12
300136,2021-01-25,26.913,0.023,0.414,-0.925,-0.9470000000000001
601857,2021-01-25,26.932,-0.011000000000000001,-0.0,0.003,0.013999999999999999
600637,2021-01-25,26.936,-0.002,0.023,-0.04,-0.038
300498,2021-01-25,27.519000000000002,-0.063,-0.048,-0.223,-0.16
601696,2021-01-25,27.555999999999997,-0.284,-0.212,-0.25,0.034
2602,2021-01-25,27.746,-0.022000000000000002,-0.004,-0.271,-0.249
600369,2021-01-25,27.955,-0.036000000000000004,-0.027000000000000003,-0.04,-0.005
651,2021-01-25,28.123,-0.35100000000000003,-0.153,-0.502,-0.151
600297,2021-01-25,28.144000000000002,0.012,0.015,-0.122,-0.134
2773,2021-01-25,28.156999999999996,-0.361,-0.485,-1.1,-0.7390000000000001
600029,2021-01-25,28.259,-0.005,0.005,-0.091,-0.086
600177,2021-01-25,28.291999999999998,-0.013000000000000001,0.011000000000000001,0.035,0.048
601933,2021-01-25,28.331,0.003,0.026000000000000002,-0.06,-0.062
1979,2021-01-25,28.41,0.003,0.062,-0.156,-0.158
600015,2021-01-25,28.480999999999998,-0.005,0.006999999999999999,-0.026000000000000002,-0.022000000000000002
600011,2021-01-25,28.561,0.004,0.018000000000000002,-0.079,-0.083
600068,2021-01-25,28.673000000000002,-0.008,0.005,-0.018000000000000002,-0.009000000000000001
600115,2021-01-25,28.674,0.002,0.013000000000000001,-0.049,-0.051
601236,2021-01-25,28.758000000000003,-0.172,-0.185,-0.331,-0.159
2736,2021-01-25,28.901,-0.06,-0.038,-0.10099999999999999,-0.040999999999999995
600018,2021-01-25,28.923000000000002,-0.027999999999999997,-0.006999999999999999,0.023,0.05
603019,2021-01-25,29.022,-0.177,0.037000000000000005,0.113,0.29100000000000004
601878,2021-01-25,29.217,-0.044000000000000004,-0.035,-0.33,-0.285
601872,2021-01-25,29.625999999999998,-0.02,0.001,-0.021,-0.001
2916,2021-01-25,29.717,-0.9640000000000001,0.204,3.819,4.783
601669,2021-01-25,29.872,-0.008,0.006999999999999999,-0.002,0.006999999999999999
601989,2021-01-25,29.878,-0.02,0.005,0.024,0.044000000000000004
600016,2021-01-25,29.89,-0.003,0.006,-0.009000000000000001,-0.006
601169,2021-01-25,30.701,-0.004,0.005,-0.003,0.001
603986,2021-01-25,30.969,-0.13699999999999998,1.848,3.529,3.6660000000000004
601077,2021-01-25,31.186,0.004,0.011000000000000001,-0.040999999999999995,-0.045
601668,2021-01-25,31.435,0.004,0.017,-0.03,-0.034
601800,2021-01-25,31.441999999999997,-0.006999999999999999,0.015,-0.049,-0.042
600161,2021-01-25,31.541999999999998,-0.536,-0.498,-0.284,0.252
2146,2021-01-25,31.609,0.019,0.042,-0.107,-0.126
728,2021-01-25,31.796999999999997,-0.033,-0.022000000000000002,-0.076,-0.043
600104,2021-01-25,31.87,-0.175,-0.09,-0.22,-0.045
601336,2021-01-25,32.21,-0.075,0.078,-1.239,-1.1640000000000001
601288,2021-01-25,32.211999999999996,0.001,0.006,-0.006,-0.006999999999999999
600208,2021-01-25,32.701,0.006,0.013000000000000001,-0.015,-0.021
3816,2021-01-25,32.779,-0.005,0.001,0.005,0.01
600027,2021-01-25,32.922,-0.001,0.003,-0.034,-0.032
601901,2021-01-25,32.931,-0.10400000000000001,-0.102,-0.08,0.024
601186,2021-01-25,33.016999999999996,-0.006999999999999999,0.021,-0.04,-0.033
2508,2021-01-25,33.08,-0.456,-0.273,0.19,0.6459999999999999
601117,2021-01-25,33.457,-0.009000000000000001,0.027999999999999997,0.036000000000000004,0.045
601211,2021-01-25,33.713,0.003,0.027999999999999997,-0.12,-0.122
600958,2021-01-25,33.779,-0.045,-0.037000000000000005,-0.09300000000000001,-0.048
2241,2021-01-25,33.845,-0.055999999999999994,0.27,0.757,0.812
601111,2021-01-25,33.911,-0.003,0.004,-0.11599999999999999,-0.113
600606,2021-01-25,34.046,0.021,0.046,-0.049,-0.07
600000,2021-01-25,34.048,-0.002,0.027999999999999997,0.042,0.044000000000000004
600848,2021-01-25,34.097,0.061,0.122,-0.237,-0.298
600066,2021-01-25,34.348,-0.021,-0.059000000000000004,-0.6459999999999999,-0.625
600926,2021-01-25,34.445,-0.055,0.04,0.139,0.195
2558,2021-01-25,34.69,0.011000000000000001,0.07400000000000001,0.106,0.095
601066,2021-01-25,34.797,-0.204,-0.078,-0.304,-0.10099999999999999
2463,2021-01-25,34.961999999999996,-0.08199999999999999,-0.022000000000000002,-0.063,0.019
601788,2021-01-25,35.302,-0.052000000000000005,-0.024,-0.228,-0.17600000000000002
601916,2021-01-25,35.332,-0.001,0.004,-0.011000000000000001,-0.01
600390,2021-01-25,35.343,-0.003,0.006,-0.063,-0.06
2739,2021-01-25,35.49,-0.07200000000000001,0.039,0.275,0.34700000000000003
601988,2021-01-25,35.695,-0.0,0.004,-0.004,-0.004
2475,2021-01-25,35.865,-0.44299999999999995,-0.303,0.623,1.0659999999999998
601328,2021-01-25,35.891999999999996,0.004,0.011000000000000001,-0.004,-0.008
600900,2021-01-25,35.919000000000004,-0.003,0.022000000000000002,-0.12300000000000001,-0.121
600061,2021-01-25,36.047,0.012,0.040999999999999995,-0.09,-0.102
600482,2021-01-25,36.109,-0.107,-0.021,0.331,0.43799999999999994
600585,2021-01-25,36.135999999999996,-0.278,-0.055,0.028999999999999998,0.308
601216,2021-01-25,36.163000000000004,0.024,0.032,-0.165,-0.18899999999999997
2714,2021-01-25,36.305,-1.123,-1.033,1.054,2.177
601238,2021-01-25,36.607,-0.059000000000000004,-0.049,-0.345,-0.28600000000000003
601088,2021-01-25,36.745,0.006,0.054000000000000006,0.12,0.113
600332,2021-01-25,36.77,0.042,0.062,-0.08800000000000001,-0.13
961,2021-01-25,36.964,0.054000000000000006,0.07,-0.217,-0.271
2624,2021-01-25,37.313,-0.195,-0.255,-0.36700000000000005,-0.172
601390,2021-01-25,37.44,-0.004,0.024,0.042,0.046
601229,2021-01-25,37.556,0.011000000000000001,0.042,0.08,0.069
600233,2021-01-25,38.076,0.032,0.057,-0.153,-0.185
625,2021-01-25,38.245,-0.2,-0.28600000000000003,-0.721,-0.52
600655,2021-01-25,38.251999999999995,-0.19399999999999998,-0.071,0.672,0.866
300433,2021-01-25,38.293,-0.102,0.353,1.575,1.6769999999999998
671,2021-01-25,39.021,0.036000000000000004,0.053,-0.069,-0.105
2,2021-01-25,39.024,0.011000000000000001,0.175,0.295,0.284
656,2021-01-25,39.218,0.040999999999999995,0.08,-0.006999999999999999,-0.048
601600,2021-01-25,39.246,-0.02,-0.023,-0.044000000000000004,-0.023
600570,2021-01-25,39.859,-0.281,-0.33399999999999996,0.154,0.435
600522,2021-01-25,40.059,-0.048,-0.013000000000000001,0.063,0.111
601628,2021-01-25,40.315,0.015,0.24600000000000002,-0.1,-0.115
2049,2021-01-25,40.534,-2.06,-2.199,2.33,4.39
601577,2021-01-25,40.607,0.015,0.045,0.006,-0.008
2157,2021-01-25,40.66,-0.091,-0.098,-0.201,-0.111
2050,2021-01-25,41.163000000000004,-0.17800000000000002,-0.18100000000000002,0.24,0.418
