low,boll_low_down,macdh,kdjk,kdjd,kdjj,rsi_6,rsi_12,slopes,slope_dir,low_boll_low_down,low_boll_low_down_dir,dt
1.22,1.064,0.014,65.519,70.758,55.041,75.972,66.204,0.23,1,0.156,1,2013-01-04
1.22,1.078,0.014,63.287,68.268,53.326,78.406,67.879,0.078,1,0.142,1,2013-01-07
1.23,1.081,0.014,63.76,66.765,57.75,80.747,69.527,0.039,1,0.149,1,2013-01-08
1.25,1.083,0.014,66.036,66.522,65.064,82.963,71.142,0.039,1,0.167,1,2013-01-09
1.27,1.079,0.015,72.596,68.547,80.693,87.955,75.408,0.078,1,0.191,1,2013-01-10
1.24,1.083,0.011,65.064,67.386,60.42,55.458,59.434,0.118,1,0.157,1,2013-01-11
1.24,1.089,0.01,67.185,67.319,66.918,64.817,64.374,0.158,1,0.151,1,2013-01-14
1.27,1.096,0.01,70.431,68.356,74.581,67.545,65.884,0.21,1,0.174,1,2013-01-15
1.28,1.108,0.009,71.197,69.303,74.984,70.308,67.393,0.277,1,0.172,1,2013-01-16
1.27,1.11,0.006,62.616,67.074,53.7,53.817,58.874,0.254,1,0.16,1,2013-01-17
1.27,1.116,0.01,72.855,69.001,80.563,76.172,71.825,0.142,1,0.154,1,2013-01-18
1.37,1.109,0.023,81.903,73.302,99.106,88.011,82.213,-0.168,0,0.261,1,2013-01-21
1.52,1.073,0.029,81.629,76.078,92.733,88.011,82.213,-0.176,0,0.447,1,2013-01-22
1.51,1.059,0.034,81.404,77.853,88.505,89.739,83.877,-0.145,0,0.451,1,2013-01-23
1.46,1.061,0.029,74.904,76.87,70.972,66.68,69.655,0.039,1,0.399,1,2013-01-24
1.43,1.073,0.021,65.321,73.02,49.921,55.906,62.437,-0.085,0,0.357,1,2013-01-25
1.46,1.079,0.017,62.351,69.464,48.124,61.827,65.553,-0.268,0,0.381,1,2013-01-28
1.47,1.09,0.013,60.37,66.433,48.246,61.827,65.553,-0.272,0,0.38,1,2013-01-29
1.47,1.104,0.009,59.05,63.972,49.207,61.827,65.553,-0.185,0,0.366,1,2013-01-30
1.4,1.123,0.001,45.114,57.686,19.97,43.971,55.159,0.048,1,0.277,1,2013-01-31
1.4,1.139,-0.004,33.922,49.765,2.237,46.614,56.24,0.095,1,0.261,1,2013-02-01
1.4,1.156,-0.009,23.897,41.142,-10.594,41.874,53.429,0.22,1,0.244,1,2013-02-04
1.38,1.173,-0.012,23.339,35.208,-0.399,45.217,54.665,0.235,1,0.207,1,2013-02-05
1.41,1.188,-0.013,27.464,32.626,17.139,48.753,55.941,0.039,1,0.222,1,2013-02-06
1.4,1.201,-0.013,30.214,31.822,26.998,48.753,55.941,-0.059,0,0.199,1,2013-02-07
1.43,1.223,-0.012,36.809,33.485,43.459,56.788,58.706,-0.198,0,0.207,1,2013-02-08
1.44,1.248,-0.01,49.54,38.836,70.946,63.63,61.353,-0.238,0,0.192,1,2013-02-18
1.41,1.268,-0.012,45.148,40.94,53.563,43.138,52.225,-0.23,0,0.142,1,2013-02-19
1.39,1.286,-0.012,46.765,42.882,54.532,47.218,53.727,-0.197,0,0.104,1,2013-02-20
1.37,1.308,-0.015,34.207,39.99,22.641,33.008,45.862,-0.238,0,0.062,1,2013-02-21
1.36,1.333,-0.018,25.582,35.188,6.372,30.785,44.443,0.065,1,0.027,1,2013-02-22
1.36,1.331,-0.018,22.611,30.995,5.841,35.961,46.257,0.032,1,0.029,1,2013-02-25
1.35,1.329,-0.019,17.638,26.543,-0.172,30.489,43.18,-0.149,0,0.021,1,2013-02-26
1.35,1.329,-0.018,14.323,22.469,-1.971,30.489,43.18,-0.213,0,0.021,1,2013-02-27
1.35,1.323,-0.016,19.805,21.581,16.252,47.685,49.211,-0.149,0,0.027,1,2013-02-28
1.36,1.319,-0.015,18.759,20.64,14.996,39.807,45.685,-0.033,0,0.041,1,2013-03-01
1.24,1.286,-0.021,14.26,18.514,5.753,18.181,31.098,0.16,1,-0.046,0,2013-03-04
1.25,1.266,-0.022,16.914,17.981,14.782,29.647,36.617,0.02,1,-0.016,0,2013-03-05
1.28,1.257,-0.019,30.026,21.996,46.087,45.049,44.675,-0.213,0,0.023,1,2013-03-06
1.3,1.25,-0.017,34.601,26.197,51.407,40.765,42.327,-0.239,0,0.05,1,2013-03-07
1.29,1.241,-0.015,35.567,29.321,48.06,38.565,41.147,-0.23,0,0.049,1,2013-03-08
1.28,1.233,-0.013,36.211,31.618,45.399,38.565,41.147,-0.18,0,0.047,1,2013-03-11
1.25,1.219,-0.013,30.391,31.209,28.755,31.273,37.424,-0.171,0,0.031,1,2013-03-12
1.24,1.206,-0.015,20.261,27.559,5.663,25.489,34.061,-0.032,0,0.034,1,2013-03-13
1.24,1.196,-0.013,19.063,24.727,7.734,35.092,38.106,0.098,1,0.044,1,2013-03-14
1.23,1.188,-0.012,18.264,22.573,9.646,32.574,36.872,0.23,1,0.042,1,2013-03-15
1.22,1.184,-0.012,14.74,19.962,4.297,27.787,34.439,0.247,1,0.036,1,2013-03-18
1.22,1.179,-0.009,18.918,19.614,17.525,38.612,38.841,0.23,1,0.041,1,2013-03-19
1.25,1.179,-0.005,35.945,25.058,57.72,54.855,46.655,0.19,1,0.071,1,2013-03-20
1.28,1.181,-0.001,47.297,32.471,76.949,54.855,46.655,0.048,1,0.099,1,2013-03-21
1.28,1.183,0.002,61.531,42.157,100.279,62.079,50.425,-0.213,0,0.097,1,2013-03-22
1.3,1.187,0.005,68.293,50.869,103.142,62.079,50.425,-0.279,0,0.113,1,2013-03-25
1.28,1.19,0.006,69.771,57.17,94.974,55.665,48.39,-0.216,0,0.09,1,2013-03-26
1.3,1.195,0.006,70.757,61.699,88.872,55.665,48.39,0.039,1,0.105,1,2013-03-27
1.25,1.198,0.003,56.262,59.887,49.013,31.921,39.022,0.137,1,0.052,1,2013-03-28
1.24,1.207,0.001,46.599,55.457,28.882,31.921,39.022,-0.02,0,0.033,1,2013-03-29
1.25,1.208,0.002,42.177,51.031,24.47,45.349,44.167,-0.098,0,0.042,1,2013-04-01
1.26,1.209,0.004,50.34,50.801,49.42,59.668,50.941,0.049,1,0.051,1,2013-04-02
1.25,1.208,0.003,40.968,47.523,27.857,42.043,43.3,0.262,1,0.042,1,2013-04-03
1.21,1.202,0.001,38.423,44.49,26.289,38.621,41.598,0.254,1,0.008,1,2013-04-08
1.24,1.202,0.002,42.282,43.754,39.338,48.652,46.211,0.02,1,0.038,1,2013-04-09
1.27,1.202,0.005,58.491,48.666,78.141,63.118,54.117,-0.157,0,0.068,1,2013-04-10
1.3,1.201,0.007,66.772,54.701,90.913,63.118,54.117,-0.059,0,0.099,1,2013-04-11
1.3,1.201,0.008,72.72,60.707,96.744,66.515,56.04,-0.0,0,0.099,1,2013-04-12
1.26,1.202,0.006,63.864,61.76,68.074,42.843,45.615,0.216,1,0.058,1,2013-04-15
1.23,1.202,0.005,63.089,62.203,64.862,51.183,49.698,0.209,1,0.028,1,2013-04-16
1.29,1.208,0.006,67.7,64.035,75.03,58.456,53.506,0.198,1,0.082,1,2013-04-17
1.29,1.214,0.006,68.211,65.427,73.777,53.659,51.384,0.221,1,0.076,1,2013-04-18
1.3,1.215,0.006,72.746,67.867,82.506,61.284,55.256,0.225,1,0.085,1,2013-04-19
1.3,1.214,0.011,79.748,71.827,95.589,75.686,64.506,0.086,1,0.086,1,2013-04-22
1.33,1.211,0.011,78.165,73.94,86.616,61.876,57.969,0.086,1,0.119,1,2013-04-23
1.34,1.207,0.015,79.888,75.922,87.819,75.93,67.539,-0.02,0,0.133,1,2013-04-24
1.4,1.192,0.017,79.647,77.164,84.614,71.951,65.505,0.098,1,0.208,1,2013-04-25
1.36,1.189,0.014,73.932,76.087,69.622,57.491,57.897,-0.016,0,0.171,1,2013-04-26
1.35,1.191,0.014,71.51,74.561,65.408,64.002,61.551,-0.225,0,0.159,1,2013-05-02
1.4,1.19,0.014,73.599,74.24,72.317,67.932,63.833,-0.264,0,0.21,1,2013-05-03
1.42,1.187,0.012,72.596,73.692,70.402,63.756,61.831,-0.21,0,0.233,1,2013-05-06
1.37,1.191,0.007,62.123,69.836,46.696,46.577,52.798,-0.161,0,0.179,1,2013-05-07
1.33,1.199,0.003,48.558,62.743,20.188,43.748,51.167,-0.048,0,0.131,1,2013-05-08
1.31,1.214,-0.001,38.622,54.703,6.46,38.182,47.937,-0.129,0,0.096,1,2013-05-09
1.32,1.225,-0.003,34.081,47.829,6.586,42.567,49.67,-0.161,0,0.095,1,2013-05-10
1.32,1.231,-0.005,31.054,42.237,8.688,42.567,49.67,0.059,1,0.089,1,2013-05-13
1.34,1.234,-0.006,29.036,37.837,11.435,42.567,49.67,0.183,1,0.106,1,2013-05-14
1.31,1.235,-0.008,21.441,32.372,-0.421,31.124,43.969,0.24,1,0.075,1,2013-05-15
1.29,1.24,-0.008,23.553,29.432,11.795,43.314,48.286,0.248,1,0.05,1,2013-05-16
1.33,1.258,-0.006,37.924,32.263,49.247,57.011,54.076,0.254,1,0.072,1,2013-05-17
1.35,1.264,-0.003,55.586,40.037,86.683,63.974,57.534,0.078,1,0.086,1,2013-05-20
1.4,1.268,0.002,66.469,48.848,101.712,75.756,64.769,-0.194,0,0.132,1,2013-05-21
1.41,1.271,0.005,71.764,56.486,102.318,70.242,62.448,-0.065,0,0.139,1,2013-05-22
1.41,1.275,0.006,72.842,61.938,94.65,72.632,63.86,-0.0,0,0.135,1,2013-05-23
1.37,1.278,0.005,68.562,64.146,77.393,56.342,56.859,-0.032,0,0.092,1,2013-05-24
1.4,1.279,0.004,67.374,65.222,71.679,59.936,58.513,-0.22,0,0.121,1,2013-05-27
1.4,1.279,0.004,68.25,66.231,72.286,63.538,60.178,-0.293,0,0.121,1,2013-05-28
1.42,1.278,0.004,66.333,66.265,66.469,63.538,60.178,-0.211,0,0.142,1,2013-05-29
1.39,1.279,0.001,56.127,62.886,42.609,45.763,52.634,-0.268,0,0.111,1,2013-05-30
1.38,1.279,-0.001,42.973,56.248,16.424,41.158,50.339,-0.255,0,0.101,1,2013-05-31
1.38,1.281,-0.003,34.205,48.9,4.813,41.158,50.339,-0.235,0,0.099,1,2013-06-03
1.35,1.28,-0.006,25.184,40.995,-6.438,28.686,43.559,-0.222,0,0.07,1,2013-06-04
1.35,1.282,-0.008,20.123,34.037,-7.707,28.686,43.559,-0.247,0,0.068,1,2013-06-05
1.33,1.285,-0.01,16.193,28.089,-7.6,22.222,39.353,-0.279,0,0.045,1,2013-06-06
1.32,1.285,-0.011,15.923,24.034,-0.298,22.222,39.353,-0.164,0,0.035,1,2013-06-07
1.27,1.274,-0.015,12.467,20.178,-2.955,11.26,29.266,-0.157,0,-0.004,0,2013-06-13
1.28,1.265,-0.016,12.478,17.612,2.211,19.229,32.416,-0.242,0,0.015,1,2013-06-14
1.28,1.259,-0.016,10.7,15.308,1.484,17.358,30.914,-0.267,0,0.021,1,2013-06-17
1.28,1.257,-0.015,11.895,14.17,7.345,25.997,34.237,-0.225,0,0.023,1,2013-06-18
1.23,1.237,-0.017,10.013,12.785,4.471,15.977,27.121,-0.27,0,-0.007,0,2013-06-19
1.2,1.211,-0.019,6.676,10.748,-1.47,11.662,22.956,-0.267,0,-0.011,0,2013-06-20
1.16,1.179,-0.021,9.212,10.236,7.164,10.787,22.033,-0.099,0,-0.019,0,2013-06-21
1.06,1.124,-0.026,10.586,10.353,11.052,5.962,15.799,0.242,1,-0.064,0,2013-06-24
1.0,1.063,-0.027,17.158,12.621,26.232,5.962,15.799,0.264,1,-0.063,0,2013-06-25
1.09,1.035,-0.026,23.661,16.301,38.381,12.243,18.836,0.234,1,0.055,1,2013-06-26
1.11,1.017,-0.022,31.33,21.311,51.367,29.255,27.405,0.21,1,0.093,1,2013-06-27
1.11,1.002,-0.014,42.726,28.449,71.279,49.02,39.096,0.129,1,0.108,1,2013-06-28
1.17,1.001,-0.006,53.771,36.89,87.534,57.557,44.904,-0.171,0,0.169,1,2013-07-01
1.18,1.0,-0.002,62.514,45.431,96.68,50.757,41.992,-0.198,0,0.18,1,2013-07-02
1.19,1.002,0.003,71.009,53.957,105.114,56.872,45.825,-0.242,0,0.188,1,2013-07-03
1.19,1.007,0.005,75.34,61.085,103.849,52.928,44.23,-0.086,0,0.183,1,2013-07-04
1.18,1.01,0.005,74.226,65.465,91.749,42.356,39.709,0.158,1,0.17,1,2013-07-05
1.12,1.009,0.002,57.818,62.916,47.621,30.265,33.486,0.257,1,0.111,1,2013-07-08
1.13,1.011,0.002,48.069,57.967,28.273,38.669,37.744,0.231,1,0.119,1,2013-07-09
1.15,1.016,0.004,51.094,55.676,41.929,52.428,45.373,0.208,1,0.134,1,2013-07-10
1.17,1.019,0.009,62.267,57.873,71.056,62.518,51.814,0.155,1,0.151,1,2013-07-11
1.2,1.024,0.011,67.153,60.966,79.526,58.778,50.2,0.183,1,0.176,1,2013-07-12
1.22,1.03,0.013,75.538,65.823,94.966,63.953,53.37,0.098,1,0.19,1,2013-07-15
1.23,1.036,0.017,80.183,70.61,99.329,73.816,60.267,-0.049,0,0.194,1,2013-07-16
1.25,1.034,0.017,76.262,72.494,83.799,58.461,53.377,0.19,1,0.216,1,2013-07-17
1.23,1.032,0.018,76.238,73.742,81.231,65.011,57.365,0.26,1,0.198,1,2013-07-18
1.24,1.031,0.017,74.159,73.881,74.715,61.154,55.634,0.267,1,0.209,1,2013-07-19
1.23,1.045,0.016,71.662,73.141,68.702,61.154,55.634,0.244,1,0.185,1,2013-07-22
1.26,1.08,0.021,74.441,73.574,76.174,79.052,67.355,0.245,1,0.18,1,2013-07-23
1.32,1.084,0.025,79.93,75.693,88.405,82.032,69.953,0.165,1,0.236,1,2013-07-24
1.42,1.067,0.03,77.529,76.305,79.978,86.606,74.398,0.066,1,0.353,1,2013-07-25
1.44,1.058,0.032,76.686,76.432,77.194,87.255,75.069,-0.078,0,0.382,1,2013-07-26
1.45,1.047,0.035,77.976,76.947,80.034,90.125,78.185,-0.157,0,0.403,1,2013-07-29
1.43,1.044,0.032,74.206,76.033,70.552,70.951,68.802,-0.146,0,0.386,1,2013-07-30
1.45,1.041,0.028,72.619,74.895,68.067,72.362,69.598,0.062,1,0.409,1,2013-07-31
1.45,1.043,0.023,70.635,73.475,64.954,68.377,67.713,0.0,0,0.407,1,2013-08-01
1.45,1.049,0.02,69.312,72.087,63.762,70.337,68.64,-0.086,0,0.401,1,2013-08-02
1.42,1.072,0.013,61.023,68.399,46.27,54.205,61.001,-0.074,0,0.348,1,2013-08-05
1.43,1.097,0.013,60.29,65.696,49.477,70.463,68.62,-0.123,0,0.333,1,2013-08-06
1.44,1.121,0.007,46.076,59.156,19.915,51.329,57.835,0.097,1,0.319,1,2013-08-07
1.43,1.145,0.002,34.639,50.983,1.949,49.046,56.452,0.065,1,0.285,1,2013-08-08
1.42,1.166,-0.001,31.426,44.464,5.349,51.628,57.559,0.0,0,0.254,1,2013-08-09
1.44,1.186,-0.002,37.617,42.182,28.488,56.873,59.789,-0.171,0,0.254,1,2013-08-12
1.45,1.207,-0.004,35.078,39.814,25.606,50.325,56.548,-0.195,0,0.243,1,2013-08-13
1.44,1.226,-0.006,33.385,37.671,24.814,50.325,56.548,-0.146,0,0.214,1,2013-08-14
1.44,1.254,-0.007,35.59,36.977,32.816,54.128,57.906,-0.122,0,0.186,1,2013-08-15
1.42,1.284,-0.009,27.06,33.672,13.837,42.434,52.533,-0.048,0,0.136,1,2013-08-16
1.35,1.318,-0.011,31.766,33.036,29.224,39.058,50.818,-0.164,0,0.032,1,2013-08-19
1.4,1.357,-0.011,37.844,34.639,44.254,48.827,54.088,-0.18,0,0.043,1,2013-08-20
1.41,1.382,-0.011,40.044,36.441,47.251,44.543,52.195,-0.098,0,0.028,1,2013-08-21
1.41,1.381,-0.012,39.659,37.513,43.95,40.3,50.276,-0.073,0,0.029,1,2013-08-22
1.36,1.368,-0.015,31.995,35.674,24.637,27.655,43.324,0.065,1,-0.008,0,2013-08-23
1.37,1.361,-0.014,32.441,34.596,28.131,43.586,49.084,0.098,1,0.009,1,2013-08-26
1.39,1.357,-0.013,32.738,33.977,30.261,43.586,49.084,0.216,1,0.033,1,2013-08-27
1.37,1.351,-0.013,29.233,32.396,22.908,35.98,45.422,0.254,1,0.019,1,2013-08-28
1.37,1.347,-0.012,28.748,31.18,23.884,42.048,47.556,0.197,1,0.023,1,2013-08-29
1.39,1.346,-0.009,34.852,32.404,39.747,60.169,55.201,0.048,1,0.044,1,2013-08-30
1.41,1.346,-0.006,49.901,38.236,73.231,60.169,55.201,-0.129,0,0.064,1,2013-09-02
1.43,1.346,-0.003,61.045,45.839,91.457,67.489,58.777,-0.129,0,0.084,1,2013-09-03
1.44,1.346,-0.002,63.774,51.817,87.686,60.786,56.325,0.097,1,0.094,1,2013-09-04
1.43,1.346,-0.002,61.96,55.198,75.484,54.314,53.873,0.213,1,0.084,1,2013-09-05
1.42,1.346,-0.002,57.973,56.123,61.674,48.16,51.43,0.164,1,0.074,1,2013-09-06
1.41,1.346,-0.001,60.871,57.706,67.202,59.243,55.802,-0.039,0,0.064,1,2013-09-09
1.44,1.347,-0.0,65.581,60.331,76.081,63.876,57.871,-0.187,0,0.093,1,2013-09-10
1.45,1.346,0.002,77.054,65.905,99.351,74.367,63.466,-0.257,0,0.104,1,2013-09-11
1.45,1.345,0.002,72.203,68.004,80.599,55.148,55.434,-0.239,0,0.105,1,2013-09-12
1.43,1.345,-0.0,60.635,65.548,50.809,45.7,50.762,-0.078,0,0.085,1,2013-09-13
1.4,1.354,-0.004,40.423,57.173,6.924,32.384,42.877,0.216,1,0.046,1,2013-09-16
1.38,1.351,-0.007,29.979,48.108,-6.279,29.781,41.135,0.196,1,0.029,1,2013-09-17
1.38,1.348,-0.008,26.047,40.755,-3.369,35.958,43.634,-0.085,0,0.032,1,2013-09-18
1.39,1.347,-0.007,29.486,36.998,14.461,47.123,48.412,-0.183,0,0.043,1,2013-09-23
1.42,1.354,-0.005,37.839,37.279,38.96,56.271,52.779,-0.155,0,0.066,1,2013-09-24
1.42,1.359,-0.004,37.347,37.301,37.439,46.597,48.317,0.059,1,0.061,1,2013-09-25
1.25,1.315,-0.007,42.289,38.964,48.94,30.742,39.264,0.137,1,-0.065,0,2013-09-26
1.37,1.315,-0.007,48.483,42.137,61.174,40.465,43.855,0.171,1,0.055,1,2013-09-27
1.38,1.317,-0.006,54.061,46.112,69.96,45.091,46.077,0.122,1,0.063,1,2013-09-30
1.39,1.317,-0.004,60.678,50.967,80.101,53.72,50.365,0.137,1,0.073,1,2013-10-08
1.38,1.314,-0.005,60.742,54.226,73.775,41.875,44.566,0.137,1,0.066,1,2013-10-09
1.37,1.311,-0.002,66.582,58.344,83.057,57.034,52.518,0.095,1,0.059,1,2013-10-10
1.4,1.311,-0.001,69.025,61.905,83.267,52.895,50.541,-0.065,0,0.089,1,2013-10-11
1.41,1.311,0.001,77.684,67.164,98.722,59.882,54.295,-0.161,0,0.099,1,2013-10-14
1.39,1.311,0.001,80.122,71.484,97.4,50.834,50.143,0.141,1,0.079,1,2013-10-15
1.39,1.31,0.002,72.859,71.942,74.694,58.38,53.982,0.206,1,0.08,1,2013-10-16
1.4,1.31,0.001,59.684,67.856,43.34,45.743,47.941,0.206,1,0.09,1,2013-10-17
