stock_index,dazongjiaoyi_cnt,tval_sum
002415,24,697504.42
002044,21,131731.97
000333,3,118870.53
002773,18,66763.54
300782,27,59885
300676,18,54311.48
600989,31,48996.29
688036,7,47512.7
601233,3,45087.44
601601,1,42605.78
002938,13,41086.78
688023,2,39265.2
300759,11,39078.04
688099,15,33829.17
600519,7,32785.27
601238,3,32294
601162,5,32191.05
002422,5,25440.61
002468,1,22430.92
002382,6,22088
600221,1,19873.76
002049,3,19591.37
002705,6,19045.75
000564,1,17931
002413,2,16174.42
300630,16,15094.62
002385,4,15065.4
300038,8,14810.6
002747,10,14502.23
603501,25,13754.13
603198,2,13014.16
601615,10,12894.06
300398,6,12685.13
601128,2,12429.3
300767,5,12400.9
300568,11,12155.02
002741,1,11890.4
600885,4,11470.76
300002,5,11222.64
600609,2,10483
603181,12,10197.19
600624,3,9862.5
000042,2,9734.5
002405,1,9704.5
000923,14,9509.79
688288,3,9302.35
000723,3,9170
603039,1,8273.81
300158,1,8070.57
601012,2,7909
300415,1,7795.36
600512,1,7599
000061,1,7524
603855,3,7322.94
002352,7,7199.44
000858,4,6948.64
601155,1,6820.8
601058,1,6497.5
002488,2,6410.75
300229,1,6163.96
300272,1,6029.7
603980,1,6027.26
300638,5,6000
300177,1,5994.4
688388,4,5849.8
600346,2,5755.37
300129,7,5390.61
300573,1,5362.4
688019,1,5340.91
603927,10,5287.84
600559,6,5183.12
603566,1,5049.45
601318,1,4998.39
002662,2,4855.4
600028,1,4752.01
300185,1,4558.2
300669,1,4522.47
300222,1,4438
002714,2,4346.19
600036,6,4285.62
603358,1,4272.53
603726,1,4237.2
002685,2,3864
300360,6,3837.6
002759,2,3730.52
000796,1,3715.3
688299,4,3713.01
600958,1,3659.4
002130,2,3573.64
000627,2,3571.09
002956,1,3500.2
002303,2,3471.3
300227,1,3456
603816,3,3397.08
002803,1,3334.28
300685,3,3305.52
000651,2,3206.67
002554,3,3157
002840,2,3085.9
688012,1,3000.8
002617,1,2996.4
603488,3,2984.5
300445,3,2920
601888,2,2904.22
002548,1,2850
000166,1,2817.92
300563,5,2806.68
300059,1,2775.17
603679,4,2740.38
002022,5,2700
300462,3,2669.87
601696,1,2626.54
300121,1,2575.87
300223,1,2505.3
000882,1,2504.43
300642,1,2450
600499,4,2421.6
002111,1,2404.64
300138,1,2404.05
002293,1,2392.32
603718,1,2387.7
300145,1,2379.1
300651,2,2343.5
300687,5,2303.55
002959,1,2287.2
000417,2,2272.11
300709,1,2206.8
300338,1,2189.52
300151,1,2182.68
600180,1,2100
002317,2,2097.9
603568,1,2088
300012,1,2060.86
600728,1,2045.29
002812,1,2045.19
300771,3,2024
300271,1,2008.15
300464,1,1995.95
002436,1,1995.84
002595,1,1960.46
603863,5,1905.92
002284,1,1754.69
300499,1,1746.99
300015,1,1694.25
002836,1,1672
002610,1,1668.2
002841,3,1655.14
002458,2,1637.34
002906,2,1626.03
002558,5,1593.23
601077,2,1576.08
002050,1,1548.75
600161,1,1495.81
600861,1,1476.75
300232,1,1438.33
002215,1,1338.75
300578,2,1323.31
300691,1,1312.8
000975,1,1285.56
688020,4,1239.98
603587,1,1212
300636,2,1206.33
002849,3,1159.84
002024,1,1155.89
002304,2,1143.24
001979,3,1098.36
688007,1,1060.95
002142,1,1027.76
688321,1,1000
002785,1,997.5
600570,1,994.4
300505,1,978.5
603161,2,949.73
603590,2,948.97
002829,2,948.94
000501,1,937.69
300787,2,922.58
002493,1,905.28
300041,1,902.88
601002,1,900
300737,2,893.52
688389,1,862.8
300396,2,840
000990,1,832
603355,3,813.19
600511,2,792.45
688068,1,780.4
300243,1,762.01
601866,1,738.5
002195,2,720
600754,1,703.84
603288,1,703.6
688369,1,681.8
002125,1,660
300498,2,657.18
002853,1,650.92
000861,1,637.2
300072,2,628.32
600265,3,615.02
600580,1,601.44
300486,1,601.2
600208,1,599.99
300513,1,599.97
300253,1,581.68
688333,1,533.2
603183,1,527.77
600811,1,501.35
603986,1,500.12
600167,1,498.83
600251,1,498.42
002475,1,463.44
000676,1,463.26
688005,1,459.27
603601,1,458.64
002503,1,455.4
000002,1,444.41
002294,1,444.33
601005,1,436.91
300033,1,417.75
300750,1,402.75
300065,1,397.5
603773,1,395.55
002683,1,387.09
603090,1,377.43
000971,1,373.25
002555,1,363.81
600605,1,361.34
300278,1,351.67
000561,1,344.5
300051,1,340.58
600015,1,334.17
300142,1,293.28
603882,1,289.85
000100,1,282.6
300459,1,275.84
002439,1,251.92
600547,1,218.85
000155,1,183
601326,1,82.43
600777,1,55.3
