id,stock_index,stock_name,gainian,stock_date
2,000810,创维数字,2025规划,2020_02_21
1,600583,海油工程,2025规划,2020_02_21
2,002594,比亚迪,2025规划,2020_02_21
2,000063,中兴通讯,2025规划,2020_02_21
1,600150,中国船舶,2025规划,2020_02_21
1,600458,时代新材,2025规划,2020_02_21
1,600320,振华重工,2025规划,2020_02_21
2,000039,中集集团,2025规划,2020_02_21
1,600198,大唐电信,2025规划,2020_02_21
1,600206,有研新材,2025规划,2020_02_21
1,600118,中国卫星,2025规划,2020_02_21
1,600516,方大炭素,2025规划,2020_02_21
2,000009,中国宝安,2025规划,2020_02_21
1,600699,均胜电子,2025规划,2020_02_21
2,000738,航发控制,2025规划,2020_02_21
2,300150,世纪瑞尔,2025规划,2020_02_21
2,000701,厦门信达,2025规划,2020_02_21
1,600143,金发科技,2025规划,2020_02_21
1,600495,晋西车轴,2025规划,2020_02_21
2,002030,达安基因,2025规划,2020_02_21
2,000066,中国长城,2025规划,2020_02_21
1,600337,美克家居,2025规划,2020_02_21
1,600765,中航重机,2025规划,2020_02_21
2,000559,万向钱潮,2025规划,2020_02_21
2,000400,许继电气,2025规划,2020_02_21
1,600104,上汽集团,2025规划,2020_02_21
2,300104,乐视网,2025规划,2020_02_21
2,300159,新研股份,2025规划,2020_02_21
2,002151,北斗星通,2025规划,2020_02_21
2,300229,拓尔思,2025规划,2020_02_21
1,601766,中国中车,2025规划,2020_02_21
2,002450,*ST康得,2025规划,2020_02_21
2,002550,千红制药,2025规划,2020_02_21
2,300124,汇川技术,2025规划,2020_02_21
2,002118,紫鑫药业,2025规划,2020_02_21
2,002184,海得控制,2025规划,2020_02_21
2,002197,证通电子,2025规划,2020_02_21
2,002364,中恒电气,2025规划,2020_02_21
2,002283,天润曲轴,2025规划,2020_02_21
2,002223,鱼跃医疗,2025规划,2020_02_21
2,300224,正海磁材,2025规划,2020_02_21
2,300011,鼎汉技术,2025规划,2020_02_21
1,601890,亚星锚链,2025规划,2020_02_21
1,601989,中国重工,2025规划,2020_02_21
2,300216,千山药机,2025规划,2020_02_21
2,300274,阳光电源,2025规划,2020_02_21
2,300018,中元股份,2025规划,2020_02_21
2,300022,吉峰科技,2025规划,2020_02_21
2,002610,爱康科技,2025规划,2020_02_21
2,300007,汉威科技,2025规划,2020_02_21
2,000928,中钢国际,3D打印,2020_02_21
1,600466,蓝光发展,3D打印,2020_02_21
2,000837,秦川机床,3D打印,2020_02_21
1,600114,东睦股份,3D打印,2020_02_21
1,600980,北矿科技,3D打印,2020_02_21
2,000969,安泰科技,3D打印,2020_02_21
2,000988,华工科技,3D打印,2020_02_21
1,600765,中航重机,3D打印,2020_02_21
2,002168,惠程科技,3D打印,2020_02_21
2,002526,山东矿机,3D打印,2020_02_21
2,002375,亚厦股份,3D打印,2020_02_21
2,002420,*ST毅昌,3D打印,2020_02_21
2,002450,*ST康得,3D打印,2020_02_21
2,002347,泰尔股份,3D打印,2020_02_21
2,002182,云海金属,3D打印,2020_02_21
2,300285,国瓷材料,3D打印,2020_02_21
2,300161,华中数控,3D打印,2020_02_21
2,000635,英力特,3D打印,2020_02_21
2,300054,鼎龙股份,3D打印,2020_02_21
2,002540,亚太科技,3D打印,2020_02_21
2,002529,海源复材,3D打印,2020_02_21
2,300221,银禧科技,3D打印,2020_02_21
2,002545,东方铁塔,3D打印,2020_02_21
2,300004,南风股份,3D打印,2020_02_21
2,300227,光韵达,3D打印,2020_02_21
2,002355,兴民智通,3D打印,2020_02_21
2,300034,钢研高纳,3D打印,2020_02_21
