stock_name,stock_index,gainian,gainian_list
弘高创意,2504,1,虚拟现实
招商港口,1872,1,粤港自贸
拓普集团,601689,1,无人驾驶
拉芳家化,603630,1,二胎概念
扬帆新材,300637,1,高送转
扬子新材,2652,1,纳米银
我爱我家,560,1,租售同权
慈星股份,300307,1,工业4.0
惠威科技,2888,1,无线耳机
招商蛇口,1979,1,粤港自贸
惠天热电,692,1,东北振兴
悦心健康,2162,1,迪士尼
恩华药业,2262,1,阿兹海默
恒通股份,603223,1,天然气
恒立实业,622,1,壳资源
恒源煤电,600971,1,稀缺资源
恒星科技,2132,1,太阳能
恒华科技,300365,1,基金重仓
恒信东方,300081,1,远程办公
惠伦晶体,300460,1,国家安防
恒久科技,2808,1,3D打印
振德医疗,603301,1,口罩
捷顺科技,2609,1,智慧城市
新时达,2527,1,工业4.0
新宏泰,603016,1,昨日连板
新宁物流,300013,1,北斗导航
新媒股份,300770,1,广电
新天科技,300259,1,传感器
新天然气,603393,1,天然气
新华锦,600735,1,养老概念
新华网,603888,1,知识产权
捷佳伟创,300724,1,HIT电池
新凤鸣,603225,1,养老金
新五丰,600975,1,长株潭
新乳业,2946,1,乳业
新乡化纤,949,1,机构重仓
斯莱克,300382,1,工业4.0
文科园林,2775,1,海绵城市
文投控股,600715,1,北京冬奥
摩恩电气,2451,1,债转股
掌阅科技,603533,1,知识产权
新兴装备,2933,1,无人机
新晨科技,300542,1,国产软件
怡达股份,300721,1,光刻胶
思创医惠,300078,1,创业成份
康辰药业,603590,1,单抗概念
康芝药业,300086,1,二胎概念
康拓红外,300455,1,铁路基建
广百股份,2187,1,粤港自贸
广电计量,2967,1,食品安全
广电电气,601616,1,昨日连板
广田集团,2482,1,智能家居
广生堂,300436,1,基因测序
延长化建,600248,1,油气设服
广深铁路,601333,1,铁路基建
广东骏亚,603386,1,PCB
广东明珠,600382,1,PPP模式
平煤股份,601666,1,债转股
平庄能源,780,1,稀缺资源
平安银行,1,1,深圳特区
常熟银行,601128,1,养老金
常熟汽饰,603035,1,送转预期
常山药业,300255,1,医疗美容
广州发展,600098,1,天然气
思源电气,2028,1,充电桩
建发股份,600153,1,参股360
开元股份,300338,1,在线教育
快意电梯,2774,1,粤港自贸
志邦家居,603801,1,送转预期
必创科技,300667,1,胎压监测
德邦股份,603056,1,快递概念
德赛西威,2920,1,养老金
德联集团,2666,1,胎压监测
德生科技,2908,1,数字中国
德宏股份,603701,1,稀土永磁
建新股份,300107,1,创业板综
御银股份,2177,1,区块链
彩虹股份,600707,1,OLED
张家界,430,1,长株潭
龙软科技,688078,1,工业互联
弘宇股份,2890,1,乡村振兴
弘业股份,600128,1,创投
引力传媒,603598,1,网红直播
开能健康,300272,1,免疫治疗
开山股份,300257,1,冷链物流
御家汇,300740,1,网红直播
新洋丰,902,1,生态农业
新疆交建,2941,1,昨日连板
新疆浩源,2700,1,天然气
永安行,603776,1,共享经济
永和智控,2795,1,贬值受益
永利股份,300230,1,小米概念
水井坊,600779,1,白酒
氯碱化工,600618,1,化工原料
民和股份,2234,1,生态农业
民丰特纸,600235,1,创投
武汉凡谷,2194,1,5G概念
永新光学,603297,1,超清视频
正泰电器,601877,1,石墨烯
正丹股份,300641,1,化工原料
欧派家居,603833,1,送转预期
欧普照明,603515,1,超级品牌
欣天科技,300615,1,昨日连板
森霸传感,300701,1,传感器
森源电气,2358,1,充电桩
桐昆股份,601233,1,转债标的
桂冠电力,600236,1,预盈预增
正元智慧,300645,1,高送转
株冶集团,600961,1,长株潭
永贵电器,300351,1,铁路基建
汇嘉时代,603101,1,新零售
泰和科技,300801,1,消毒剂
泰和新材,2254,1,无人机
沧州明珠,2108,1,雄安新区
沧州大化,600230,1,化工原料
沙钢股份,2075,1,大数据
沃华医药,2107,1,中药
汤臣倍健,300146,1,医疗器械
