gainian,stock_index,stock_name,list
美团概念,5,5,600755||300245||977||2439||300251
钛白粉,7,7,545||629||2386||2145||2140||2136||2601
IPv6,8,8,938||600498||63||600198||600050||2396||2268||16
人脑工程,8,8,600211||600624||600855||2362||300244||300238||300003||300030
全息技术,9,9,600363||600260||600288||50||988||300167||2308||2189||2414
3D摄像头,9,9,2036||2475||2189||2273||2456||300400||603005||603501||2962
医废处理,9,9,826||2672||601199||2483||300055||300266||603588||2973||300815
HIT电池,10,10,600546||2129||2610||601012||300118||2079||600438||603396||300724||300751
阿兹海默,10,10,766||600227||600789||756||2020||2082||2262||2513||2693||2773
食品安全,10,10,2030||530||300165||300271||300012||300260||300469||2637||2967||688068
纳米银,11,11,823||600135||300057||2149||2456||2389||300209||300331||2652||2761||300131
乳业,11,11,600419||600597||600429||600887||2570||300106||2719||2770||2732||2910||2946
超导概念,11,11,600468||600595||600203||600522||600973||600770||600105||2130||2149||2498||688122
转基因,12,12,600371||600596||600597||600755||2041||600796||713||600313||2100||300087||998||2385
在线旅游,12,12,600138||796||888||2033||600640||524||300144||601888||300005||300178||2707||600088
青蒿素,12,12,600216||600267||600422||600196||600062||600332||593||2437||2001||2821||2923||603880
京东金融,13,13,600590||600606||890||728||555||2065||2437||2301||300311||601169||300300||600919||300663
医疗美容,13,13,963||600223||908||718||2004||300015||2345||2612||300255||688366||2900||300238||688363
中超概念,13,13,600158||600606||839||600287||720||600018||652||600881||625||2395||2461||300162||600340
参股360,13,13,600606||839||917||600807||600153||2409||2445||2489||300015||2516||2555||300360||601360
Facebook,13,13,600242||2174||2241||300051||2586||300058||300052||300038||300031||2635||600804||300467||300602
油价相关,13,13,822||600029||600221||600028||600115||600688||985||554||600777||601857||601111||601808||2629
赛马概念,14,14,600158||600168||600361||821||592||600533||600692||600684||735||600398||600777||2264||600555||2596
海工装备,14,14,600583||600150||852||600320||39||600685||600072||2483||601800||601808||2445||601989||300065||300810
氟化工,14,14,600160||600277||426||732||600636||2012||2407||2326||2915||603379||601678||300037||2442||300343
超级真菌,15,15,790||600267||600613||600276||600521||600513||600789||600664||600332||597||518||2581||300267||2755||2923
消毒剂,15,15,818||819||915||600409||2002||523||635||2223||601678||2584||600141||300109||300343||300422||300801
超级电容,16,16,600110||9||600563||600237||723||600773||2091||2480||2389||300037||300068||2484||300174||603989||603993||2012
水利建设,16,16,600283||600116||600502||600068||2060||2205||601669||2457||2532||2131||2271||2266||2586||300021||603969||300490
油改概念,16,16,600175||600256||703||554||96||600339||600856||2094||637||600871||2207||601028||300121||601678||2629||2492
云游戏,16,16,600640||2174||2425||2343||2602||300264||300288||300148||600804||300043||300113||2555||300356||300472||300494||300459
WiFi,17,17,938||600050||2023||2396||2296||2369||300136||300099||300327||603118||300458||300563||300504||603083||300719||603068||688018
共享经济,17,17,17||936||600818||800||600679||600754||572||2298||601777||2285||601258||2105||2590||300198||2605||300317||603776
进口博览,17,17,600822||600826||600597||600278||600115||600648||600628||600630||2024||2183||600655||2401||2640||603777||601828||600637||603648
降解塑料,17,17,930||600486||600267||600143||2019||2408||300325||2256||2263||300221||300281||300343||2735||300586||2831||2886||300717
UWB概念,17,17,948||600501||600131||725||2298||2065||2383||601231||300184||300050||300177||300275||300322||300024||300448||300678||2869
MiniLED,17,17,600703||100||300269||2654||300303||2587||300219||2579||2449||300232||300241||300296||2429||300102||300162||300323||300389
数字孪生,17,17,2230||2410||2573||2178||300161||34||601668||300045||300020||2421||603859||300440||300556||603895||662||300466||300025
胎压监测,18,18,2593||2073||2405||300014||2666||300304||2079||603197||603023||300507||603266||300445||2766||2906||688208||300643||300667||603390
白酒,18,18,600809||799||600197||600199||600519||600702||600559||858||860||568||600779||596||2304||2646||603198||603369||603589||603919
光刻胶,19,19,300032||300031||300236||2326||2584||300331||300346||300521||300398||300537||2741||300429||300538||300623||300576||603078||300655||300721||688037
租售同权,19,19,27||600604||600606||600895||2||11||732||90||560||600848||671||600048||300295||2280||2285||2377||2305||2713||56
可燃冰,20,20,600583||852||39||600378||554||600871||300191||2207||601168||2140||2221||2278||601808||2353||300084||2554||300309||300517||603727||603699
万达概念,20,20,600187||897||600708||600073||717||600981||2024||559||600104||600845||620||631||600884||601390||2437||600705||2516||300336||2329||601968
超级品牌,21,21,600600||2594||895||600690||423||600519||600085||858||100||600305||568||600104||651||600887||2304||2216||2507||538||603288||333||603515
传感器,21,21,2011||988||300114||2241||300259||300007||300323||300112||2079||300354||603005||603197||300507||300417||300445||603986||603160||603501||300701||688208||603662
通用航空,21,21,600523||600893||768||600029||738||600990||2023||600316||99||601111||601727||2111||2146||300135||2253||2297||2542||600038||600862||600705||601021
海洋经济,21,21,600467||600097||798||600428||600320||39||600026||600798||601866||2086||300094||2483||601872||300065||2320||2069||601808||601890||601919||2447||2639
分拆预期,21,21,967||600535||600196||600739||600073||2004||630||601727||300269||2152||601777||300070||2149||2171||16||2117||300003||300043||2488||2717||603987
快递概念,21,21,600119||600125||600057||600233||2024||973||600787||2183||2468||2120||2210||300240||2352||2312||603128||300350||2800||603056||601598||2376||300771
VPN,22,22,971||2238||2467||2268||2212||300175||601789||2439||300297||600804||300311||600602||300352||300383||300369||2757||300494||603019||300768||300454||688158||688030
远程办公,22,22,600588||2230||2236||2467||2123||300051||2474||2301||300287||300081||300074||600804||300250||300352||603660||2841||603039||300578||300605||300628||688111||688369
口罩,23,23,955||600527||999||78||650||652||2614||2362||2221||2280||2223||2382||2351||2341||2503||300030||600400||2838||603601||603880||603301||688026||2950
生物疫苗,23,23,600812||600216||600572||600267||600195||600201||2038||600739||600079||2007||600332||600851||661||300318||2680||2581||300122||2688||2727||603718||300601||2880||300142
流感,23,23,600812||600572||600222||600380||600789||600557||600566||600664||999||2007||2022||2030||600332||661||300026||2422||2317||600673||2603||300147||2349||2737||300434
无线充电,23,23,32||2594||63||600690||49||600699||600330||2217||2056||2475||2138||2055||2590||300207||300136||2635||300083||2577||300327||300322||300461||2861||603595
精准医疗,23,23,2044||710||2022||2030||513||2172||2086||2550||2118||300016||2642||2390||300244||300216||600645||300009||300122||300109||300151||300300||300558||300598||300685
滨海新区,23,23,965||600488||537||600821||836||897||600751||415||600800||600082||600322||600329||600335||600787||695||652||600874||300026||2337||2129||2134||600225||300375
增强现实,24,24,836||2036||600745||600345||638||300223||2189||2273||2450||300098||2253||601231||300076||2681||300005||2632||300020||300296||300074||300148||300331||300367||2699||603005
数字中国,24,24,997||555||2093||2230||2396||2279||300096||300051||300036||2368||300075||2474||300297||300188||300047||300212||300579||603383||300465||603636||300525||300560||300605||2908
独家药品,25,25,600211||600594||756||600080||999||600976||2019||600329||601607||600867||650||300181||300158||2219||2287||300204||300039||2603||2424||300122||2675||538||300357||2728||688278
蓝宝石,25,25,600172||600468||2049||600703||859||600237||600666||969||988||600330||413||2189||2273||300285||2199||2129||2617||300032||2559||300029||2388||300323||300316||300433||603595
社保重仓,26,26,600486||600138||600426||2044||600797||600858||2614||2454||2368||2507||2343||300003||2341||600872||2701||2539||300357||300577||2301||661||600529||2626||2250||2078||300274||603599
北京冬奥,26,26,923||600158||600358||786||600258||600266||600137||802||600376||2035||601588||600008||600729||600851||600859||638||2186||300055||2105||300005||2658||300137||600086||600715||2083||2721
透明工厂,27,27,600172||600448||600352||600203||600387||600410||300165||2126||2347||2184||2335||2334||2380||300275||2658||300126||600400||300378||300270||2349||300358||300370||300466||601127||300514||300687||300735
广电,27,27,600373||810||600831||839||917||600088||600037||600640||600637||156||665||2238||601098||2519||300079||300264||300211||601929||300182||2052||600959||300555||600936||600996||603721||300710||300770
触摸屏,27,27,600360||823||600584||2045||50||12||600563||727||636||2056||2273||2119||2055||2289||2456||300282||2106||300120||300256||300088||2559||600460||300083||603160||300545||2845||600552
富士康,28,28,600207||727||2217||2600||2241||601137||2681||300227||2388||2341||2429||300400||300537||603929||2845||300567||2861||603626||300476||300632||300503||2885||603595||2903||2913||300731||2916||603890
上海自贸,29,29,600284||600895||600822||600826||600278||600119||600689||600009||600708||600639||600648||600650||600651||600663||600676||600626||600630||600018||600836||600848||2183||603128||603009||600637||603648||603329||603535||2210||603068
量子通信,29,29,600468||600260||839||600487||600120||600522||600973||988||543||555||600764||600770||600776||600105||2281||2222||2115||2126||2224||2089||2369||2335||2498||300008||300297||300112||603703||603660||603019
电子竞技,30,30,600358||58||601588||600652||600633||2024||2027||558||600880||300104||300144||2174||2143||2280||2558||2624||300052||2354||300027||2447||300315||300113||2517||2539||300336||603258||600637||300494||2356||2602
知识产权,30,30,600818||600831||600757||681||607||300229||2235||300079||300183||300182||300188||300356||300386||603999||300579||601858||936||2073||300042||300006||603000||2712||300449||603383||300364||603888||601949||603533||603607||300781
冷链物流,30,30,811||600597||39||600113||600125||600708||735||600650||600410||600981||2024||600787||529||530||2086||2158||300257||2352||2533||417||600336||2639||603006||2220||603339||2732||603882||601228||603187||688398
生态农业,30,30,930||600543||830||893||600075||601||667||505||2215||2061||2234||2170||2157||2470||2604||2588||939||2538||2569||2509||902||2513||2539||300335||300381||300387||2746||2910||603739||2582
航母概念,31,31,600372||600590||600150||600893||600435||768||600178||600184||600391||600019||600118||600685||600072||738||2013||600990||600482||600316||99||600764||600765||2167||2314||2151||300065||601890||601989||2318||300101||600456||300527
免疫治疗,32,32,600572||600196||600521||600682||2038||2019||2030||600568||600851||504||300181||300318||2191||300016||2173||300272||600645||300009||300238||300273||2675||2605||516||300147||806||300485||300601||300247||300630||688278||688068||688266
甘肃,33,33,600307||791||600543||779||600192||600108||600687||600516||600738||600354||995||600720||981||600311||552||691||672||2185||601798||2219||2145||300084||300021||929||2644||603999||601086||603169||300534||601212||2772||603919||2910
北斗导航,33,33,58||600435||600480||600118||600476||600990||2003||670||600879||2151||2446||300036||2383||2405||2413||300101||300013||2465||300177||300045||2052||300053||300456||2766||2813||2829||300581||300590||300627||2935||600775||2191||688066
无线耳机,34,34,600366||2036||2045||600083||2475||2241||2369||2681||300115||2351||300207||2655||300136||300014||2635||2577||2079||300438||300461||603986||300493||300562||2861||603626||603330||300787||603501||300661||2888||603283||603068||2938||300793||300802
黄金概念,34,34,587||600612||600531||600489||600547||600459||600490||600807||600711||600891||600988||975||600311||600766||601899||408||409||506||2155||600655||2237||600086||2345||603993||2716||2721||601069||601212||601969||600362||2167||2731||601020||2867
