东方红中证竞争力指数A,3.53,47.87,28.27,26.81,4.39,新华保险_星宇股份_五 粮 液_工商银行_顺丰控股_老板电器_贵州茅台_中国太保_宁波银行_隆基股份,601601_601336_601398_002142_002352_002508_600519_000858_601799_601012
富国中证煤炭指数分级,0.93,-14.6,11.88,10.26,0.78,中国神华_平煤股份_中煤能源_美锦能源_西山煤电_潞安环能_兖州煤业_露天煤业_阳泉煤业_陕西煤业,601225_000983_601088_000723_601898_600348_600188_601699_601666_002128
中金中证优选300指数(LOF)A,3.13,52.86,22.5,50.45,2.95,招商银行_中信证券_五 粮 液_海康威视_工商银行_兴业银行_万 科Ａ_长江电力_贵州茅台_平安银行,601398_600900_000002_600036_600519_002415_000001_601166_600030_000858
前海联合沪深300指数C,4.86,43.42,29.61,27.18,4.74,中国平安_招商银行_五 粮 液_美的集团_立讯精密_格力电器_中信证券_兴业银行_贵州茅台_恒瑞医药,600036_600519_600276_601318_000333_000651_601166_000858_600030_002475
博时沪深300指数C,5.19,54.22,30.39,27.69,5.39,招商银行_中国平安_五 粮 液_中信证券_美的集团_兴业银行_中国国旅_伊利股份_贵州茅台_恒瑞医药,601888_600887_600036_600519_600276_601318_000333_601166_600030_000858
鹏华沪深300指数增强,3.81,46.65,20.41,19.66,3.63,中国人寿_顺丰控股_中国人保_江苏银行_迈瑞医疗_广发证券_青岛啤酒_贵州茅台_华泰证券_海信电器_三七互娱_华大基因_洋河股份_华能国际_新宝股份,002555_002352_600060_600919_002705_300676_600600_300760_601319_000776_601688_601628_600519_002304_600011
信诚中证基建工程指数(LOF),0.7,11.48,11.87,8.8,-1.04,中国铁建_金 螳 螂_中国交建_葛洲坝_中国中冶_中国电建_中国化学_上海建工_中国中铁_中国建筑,601117_601668_002081_601669_601186_600170_601800_600068_601618_601390
华安创业板50指数分级,1.81,57.38,14.49,14.14,1.78,汇川技术_迈瑞医疗_沃森生物_东方财富_亿纬锂能_宁德时代_康泰生物_泰格医药_智飞生物_爱尔眼科,300014_300760_300142_300059_300347_300750_300601_300124_300122_300015
天弘沪深300指数增强C,4.24,37.07,22.41,20.39,4.21,浙富控股_牧原股份_兴业银行_顺丰控股_海螺水泥_国睿科技_贵州茅台_华泰证券_宁波银行_金域医学_京东方Ａ_中国平安_华大基因_伊利股份_一汽轿车,000800_000725_002142_002352_600887_600562_600585_601318_601166_002714_300676_603882_601688_600519_002266
富国中证全指证券公司指数分级B,1.19,66.9,18.82,17.91,0.3,中信证券_申万宏源_东方证券_海通证券_国泰君安_广发证券_东方财富_招商证券_华泰证券_兴业证券,000776_601688_300059_000166_600837_600999_600958_601211_601377_600030
富国中证煤炭指数分级A,0.93,-14.6,11.88,10.26,0.78,中国神华_平煤股份_中煤能源_美锦能源_西山煤电_潞安环能_兖州煤业_露天煤业_阳泉煤业_陕西煤业,601225_000983_601088_000723_601898_600348_600188_601699_601666_002128
富国中证移动互联网指数分级B,0.63,45.66,8.44,7.47,0.17,中兴通讯_海康威视_立讯精密_恒生电子_中国国旅_广联达_东方财富_爱尔眼科_京东方Ａ_歌尔股份,601888_002475_000725_300059_600570_000063_002241_002415_002410_300015
汇添富中证互联网医疗指数(LOF)C,1.38,43.61,10.9,10.56,1.42,东软集团_一心堂_华大基因_老百姓_鱼跃医疗_益丰药房_美年健康_泰格医药_爱尔眼科_卫宁健康,300676_002727_300253_300347_603883_603939_002044_002223_600718_300015
海富通中证500指数增强A,2.7,43.68,14.82,14.06,2.95,丽珠集团_星宇股份_塔牌集团_索菲亚_华海药业_晶盛机电_玲珑轮胎_吉比特_思源电气_扬农化工,002028_002572_601966_300316_600521_600486_603444_002233_000513_601799
中金MSCI低波动指数C,3.56,47.0,19.07,18.17,2.53,福耀玻璃_立讯精密_长江电力_民生银行_山东黄金_建设银行_伊利股份_贵州茅台_北京银行_恒瑞医药,600660_600016_600900_600887_601169_600519_600276_600547_601939_002475
前海开源MSCI中国A股消费指数C,4.71,47.7,24.15,22.5,3.81,五 粮 液_比亚迪_泸州老窖_格力电器_牧原股份_洋河股份_中国国旅_伊利股份_贵州茅台_海天味业,601888_000568_600887_002594_603288_600519_002304_000651_000858_002714
华安中国A股增强指数,3.1,43.73,19.01,17.43,3.22,招商银行_维尔利_仙琚制药_贵州茅台_华泰证券_京东方Ａ_国电南瑞_中国平安_纽威股份_华贸物流_格力电器_司太立_伊利股份_东方财富_恒瑞医药,000725_300190_300059_600887_600406_600276_603699_601318_000651_601688_603128_603520_600036_600519_002332
富荣中证500指数增强C,1.79,47.53,13.85,13.61,2.01,丽珠集团_华安证券_达安基因_绿盟科技_光迅科技_天赐材料_法拉电子_振华科技_百润股份_安琪酵母_威孚高科_中科创达_美亚柏科,000581_600298_300496_002568_600563_002281_600909_002709_000733_000513_300369_300188_002030
交银国证新能源指数分级,0.85,23.84,8.17,7.68,1.51,比亚迪_通威股份_汇川技术_阳光电源_天赐材料_欣旺达_易事特_福斯特_当升科技_隆基股份,300073_600438_002594_300376_002709_603806_300207_300124_300274_601012
嘉实中证500指数增强A,1.21,36.57,8.25,7.73,1.42,扬农化工_信达地产_金发科技_宝信软件_国睿科技_鱼跃医疗_华泰证券_金域医学_韦尔股份_健康元_杭齿前进_安琪酵母_万孚生物_博威合金_首创股份,300482_603501_600008_600298_601137_600562_600486_600143_002223_603882_600845_601688_600657_600380_601177
富国上证指数ETF联接,4.48,47.77,26.37,23.82,5.77,中国平安_招商银行_中国人寿_农业银行_中国石油_中国国旅_贵州茅台_中国银行_恒瑞医药_隆基股份,601888_601988_601857_601288_601628_600036_600519_600276_601318_601012
广发中证1000指数C,1.52,42.04,8.26,8.1,1.52,捷佳伟创_安井食品_迈克生物_赤峰黄金_东华软件_圣邦股份_华大基因_光威复材_酒鬼酒_宏大爆破,002065_002683_300724_300463_603345_600988_000799_300699_300661_300676
海富通沪深300指数增强C,5.11,46.95,29.44,26.32,5.79,中国平安_招商银行_美的集团_五 粮 液_立讯精密_中信证券_万 科Ａ_伊利股份_贵州茅台_恒瑞医药,600887_000002_600036_600519_600276_601318_000333_600030_000858_002475
信诚中证800金融指数分级A,1.46,54.26,18.69,45.85,1.92,中国平安_招商银行_中信证券_工商银行_兴业银行_海通证券_交通银行_东方财富_华泰证券_平安银行,601688_601398_300059_601328_600837_600036_601318_000001_601166_600030
富国中证医药主题指数增强(LOF),2.38,61.11,14.16,13.85,2.45,药明康德_山东药玻_华大基因_大参林_迈瑞医疗_沃森生物_鱼跃医疗_新 和 成_恒瑞医药_长春高新_博腾股份,002001_300760_000661_603233_300142_600529_600276_300363_603259_002223_300676
招商沪深300地产等权重指数分级A,1.55,29.76,15.19,11.2,0.8,中南建设_绿地控股_金科股份_新城控股_万 科Ａ_华侨城Ａ_新湖中宝_阳 光 城_金地集团_保利地产,000656_000671_000002_600383_000069_600606_000961_600048_601155_600208
新华沪深300指数增强C,5.2,44.27,26.28,23.97,4.92,美的集团_江苏银行_广发证券_贵州茅台_华泰证券_中国太保_中国平安_中远海能_泸州老窖_金雷风电_洋河股份_英科医疗_贵阳银行_建发股份_威孚高科,000568_600026_300677_601318_000333_600919_600153_000581_000776_601601_601688_600519_002304_300443_601997
信诚中证800有色指数分级B,0.38,21.4,7.13,8.18,0.39,中国铝业_北方稀土_银泰资源_赣锋锂业_天齐锂业_洛阳钼业_紫金矿业_山东黄金_中金黄金_华友钴业,601899_002460_000975_603799_601600_600111_600489_600547_603993_002466
招商中证大宗商品股票指数(LOF),0.63,30.81,6.17,6.79,0.88,三友化工_通威股份_联化科技_万华化学_西部矿业_君正集团_紫金矿业_国瓷材料_太阳纸业_天邦股份,600309_601899_601216_002078_300285_600438_002124_601168_002250_600409
前海开源MSCI中国A股指数C,4.77,50.25,27.25,24.96,5.39,中国平安_招商银行_五 粮 液_立讯精密_中国国旅_迈瑞医疗_贵州茅台_宁德时代_宁波港_恒瑞医药_海天味业,601888_300760_300750_600036_600519_600276_603288_601318_601018_000858_002475
建信MSCI中国A股指数增强A,3.74,37.62,23.99,21.56,3.78,招商银行_五 粮 液_中信证券_兴业银行_万 科Ａ_珠江啤酒_浙能电力_迈瑞医疗_贵州茅台_华泰证券_辰安科技_中国平安_立讯精密_广州发展_意华股份,000002_601318_601166_600098_000858_600030_002475_300523_300760_601688_002897_600023_600036_600519_002461
南方中证高铁产业指数分级B,0.63,28.08,8.87,9.09,-0.06,中国铁建_中国中车_内蒙一机_隧道股份_特锐德_中铁工业_中国中铁_卧龙电气_大秦铁路,600967_601766_601186_300001_600528_601006_600580_600820_601390
中金沪深300指数C,3.48,46.72,23.54,21.38,3.37,中国平安_招商银行_五 粮 液_中信证券_立讯精密_伊利股份_贵州茅台_东方财富_海天味业_隆基股份,300059_600887_600036_600519_603288_601318_600030_000858_601012_002475
嘉实基本面50指数(LOF)A,2.16,33.7,19.86,16.29,2.34,上汽集团_中国石化_中国平安_招商银行_工商银行_兴业银行_万 科Ａ_民生银行_交通银行_中国建筑,600028_600104_601668_600016_601398_601328_000002_600036_601318_601166
天弘中证证券保险指数A,1.76,65.69,22.62,20.83,3.24,新华保险_中国平安_中信证券_中国人寿_海通证券_国泰君安_东方财富_招商证券_华泰证券_中国太保,601601_601336_601688_300059_601628_600837_600999_601211_601318_600030
海富通中证100指数(LOF)A,3.7,42.92,24.29,22.08,3.43,招商银行_中国平安_五 粮 液_中信证券_立讯精密_格力电器_美的集团_伊利股份_贵州茅台_恒瑞医药,600887_600036_600519_600276_601318_000333_000651_600030_000858_002475
创金合信中证1000指数增强A,1.33,40.0,8.0,7.75,1.04,康达新材_迈克生物_三一重工_京东方Ａ_坚朗五金_新宙邦_圣邦股份_华大基因_奥康国际_光威复材_百润股份_盐津铺子_新易盛_宏大爆破_新宝股份,603001_000725_002791_002568_600031_300699_300037_002705_300661_300676_300502_002683_300463_002669_002847
富荣中证500指数增强A,1.79,47.53,13.85,13.61,2.01,丽珠集团_安琪酵母_达安基因_绿盟科技_天赐材料_光迅科技_法拉电子_振华科技_百润股份_中科创达_华安证券_美亚柏科_威孚高科,300496_000581_600298_002568_002281_600563_600909_002709_000733_000513_300369_300188_002030
汇丰晋信恒生龙头指数A,3.63,1.44,24.2,22.37,3.39,中国平安_美的集团_五 粮 液_海康威视_格力电器_万 科Ａ_长江电力_伊利股份_贵州茅台_恒瑞医药,600900_600887_000002_600519_600276_601318_002415_000333_000651_000858
银华沪深300指数分级A,3.88,51.94,23.98,21.87,3.9,招商银行_美的集团_中国平安_五 粮 液_中国国旅_伊利股份_贵州茅台_东方财富_华泰证券_长春高新,601888_000661_601688_300059_600887_600036_600519_601318_000333_000858
招商中证全指证券公司指数分级,0.83,-61.13,14.98,14.03,0.07,中信证券_东方证券_申万宏源_海通证券_国泰君安_广发证券_光大证券_东方财富_华泰证券_招商证券,000776_601688_300059_000166_600837_600958_600999_601211_601788_600030
工银中证新能源指数分级B,0.8,21.93,10.32,9.28,1.05,通威股份_赣锋锂业_欣旺达_正泰电器_金风科技_中环股份_特变电工_宁德时代_亿纬锂能_隆基股份,300014_002460_002129_600438_300750_300207_002202_601877_600089_601012
广发中证基建工程指数C,0.7,11.48,11.87,8.8,-1.04,中国铁建_金 螳 螂_中国交建_葛洲坝_中国中冶_中国电建_中国化学_上海建工_中国建筑_中国中铁,601117_002081_601669_601668_601186_600170_601800_600068_601618_601390
建信中证500指数增强C,1.38,43.88,6.98,6.51,1.33,牧原股份_金发科技_珠江啤酒_国睿科技_鱼跃医疗_中远海能_爱施德_普洛药业_赣锋锂业_中顺洁柔_深信服_蓝帆医疗_安琪酵母_昆仑万维_达安基因,000739_600298_002382_002460_600026_002511_600562_600143_002223_002416_002714_002030_300418_002461_300454
诺安沪深300指数增强A,3.59,52.01,23.22,21.41,3.09,中国平安_招商银行_美的集团_五 粮 液_格力电器_农业银行_兴业银行_伊利股份_贵州茅台_恒瑞医药,600887_601288_600036_600519_600276_601318_000333_000651_601166_000858
国泰国证房地产行业指数分级B,1.29,37.71,17.64,12.05,-0.77,中南建设_金科股份_新城控股_万 科Ａ_金地集团_雅戈尔_招商蛇口_保利地产_张江高科_华夏幸福,000656_600177_600383_000002_000961_600048_600895_601155_001979_600340
中金中证500指数A,1.07,43.72,7.48,7.18,1.06,凯莱英_大族激光_中联重科_金发科技_涪陵榨菜_鱼跃医疗_金域医学_歌尔股份_川投能源_东方明珠_华测检测_高德红外_安琪酵母_中科创达_达安基因,300496_600637_600298_002507_600143_002241_002223_002821_600674_002030_000157_603882_002414_300012_002008
招商国证生物医药指数分级,1.59,57.41,14.01,43.21,1.41,健帆生物_生物股份_华大基因_天坛生物_华兰生物_沃森生物_康泰生物_药明康德_长春高新_智飞生物,300529_000661_300142_600201_002007_600161_300601_603259_300122_300676
景顺长城沪深300指数增强,3.54,30.54,21.66,19.24,3.04,美的集团_中信证券_中联重科_国泰君安_重庆啤酒_贵州茅台_华泰证券_金域医学_华菱钢铁_中国平安_新城控股_中国中冶_伊利股份_中材科技_威孚高科,002080_000932_600887_601318_000333_600030_000157_000581_603882_601688_600519_601211_600132_601155_601618
创金合信中证红利低波动指数C,0.75,39.7,11.3,10.0,0.54,中国石化_工商银行_金科股份_塔牌集团_安徽合力_粤高速Ａ_梅花生物_旗滨集团_威孚高科_宝钢股份,600761_600028_000581_600019_601398_000656_601636_000429_002233_600873
前海开源MSCI中国A股消费指数A,4.71,47.7,24.15,22.5,3.81,比亚迪_五 粮 液_泸州老窖_格力电器_牧原股份_洋河股份_中国国旅_伊利股份_贵州茅台_海天味业,601888_000568_600887_002594_600519_603288_002304_000651_002714_000858
华宝中证医疗指数分级A,0.91,51.78,9.04,8.75,0.79,爱尔眼科_健帆生物_迈瑞医疗_乐普医疗_美年健康_通策医疗_泰格医药_金域医学_药明康德_卫宁健康,300529_603882_300760_600763_300253_300347_002044_603259_300003_300015
富国中证国有企业改革指数分级B,1.93,56.88,19.78,17.82,1.86,招商银行_中信证券_五 粮 液_海康威视_工商银行_兴业银行_万 科Ａ_海螺水泥_长江电力_中国国旅,601888_601398_600900_600585_000002_600036_002415_601166_600030_000858
申万菱信中证申万电子行业投资指数分级A,0.76,27.85,8.83,8.37,0.9,立讯精密_海康威视_TCL 集团_闻泰科技_紫光国微_兆易创新_亿纬锂能_三安光电_歌尔股份_京东方Ａ,300014_600703_000100_000725_603986_600745_002241_002415_002049_002475
国投瑞银沪深300指数量化增强C,5.02,49.83,30.18,27.65,5.14,中国平安_美的集团_五 粮 液_招商银行_国泰君安_上海银行_广发证券_伊利股份_贵州茅台_华泰证券,601229_000776_601688_600887_600036_600519_601211_601318_000333_000858
泰达宏利中证绩优指数基金C,4.06,48.36,19.84,19.22,3.07,美的集团_五 粮 液_万华化学_山西汾酒_海螺水泥_三一重工_欧普康视_迈瑞医疗_贵州茅台_海天味业_泸州老窖_立讯精密_格力电器_伊利股份_恒瑞医药,300595_000568_600031_600585_600887_600276_000333_000651_000858_002475_600809_300760_600309_603288_600519
西藏东财创业板指数C,1.2,51.47,11.03,10.78,1.18,汇川技术_温氏股份_迈瑞医疗_沃森生物_宁德时代_东方财富_亿纬锂能_康泰生物_爱尔眼科_智飞生物,300014_300760_300142_300059_300750_300601_300498_300124_300122_300015
广发沪深300指数增强C,5.17,49.43,30.05,27.45,5.12,招商银行_美的集团_中信证券_五 粮 液_立讯精密_中国平安_兴业银行_贵州茅台_恒瑞医药_隆基股份,600036_600519_600276_601318_000333_601166_600030_000858_601012_002475
信诚中证TMT产业主题指数分级A,1.48,37.52,9.18,11.75,1.31,立讯精密_圣邦股份_宝信软件_分众传媒_三环集团_紫光国微_蓝思科技_吉比特_光线传媒_歌尔股份,002475_300251_600845_300408_002241_603444_002049_300661_300433_002027
