stock_index,dt,id,key_sentence
000723,2020-02-14,000723_2020-02-14_1,公司2019年进一步延伸氢能源车产业链投资，并优化区域布局，巩固在氢能源市场的先发优势。预计公司2020年氢能板块有望延续高速扩张__产业链+区域双维布局，2019年氢能源产业蓝图初现。公司2019年继续开拓氢能源版图。控股的氢能源客车企业产量快速增长；参股的鸿基创能9月__能，产业链布局逐步完善，有望充分享受国内氢能源车市场的扩张。同时，公司在渤海湾、长三角、粤港澳大湾区以及山西省都完成了产业布局，与当地政府达成合作__意向，有望充分借助区域政策红利助力氢能源板块扩张。   __料项目，生产煤制乙二醇以及煤制氢气，打通氢能源上游产业链。   __盈利中枢以及15倍PE的估值中枢），给予氢能源板块200亿市值，加上化产品业务30亿市值，对应目标价10.25元，上调公司评级至“买入”。
600459,2020-02-16,600459_2020-02-16_1,机动车催化净化器及贵金属前驱体材料业务，氢能源催化剂业务与上汽合作开发。   __材料产线，投产后年销售额26.8亿元。在氢能源领域公司与上汽合作研发燃料电池催化剂，技术储备5年，目前在实验室阶段。   __铂：氢能源催化剂需求上升有望开启铂上行周期，2019Q2以来铂价格已经上涨22%。   __　　铂价格目前处于近十年低位，未来随着氢能源的需求增长，全球铂需求有望迎来复苏，2030年远景400万辆燃料电池乘用车+100万辆燃料电池商用车__产量的假设下燃料电池用铂量为75吨，同时氢能源在储能等更多领域的应用将提供更大的需求空间。供给端铂价格持续低迷导致全球铂供给量在2016-2019__铂分别紧缺15.2吨、5.4吨，未来随着氢能源需求爆发铂有望迎来长期上行周期。   __来将显著受益铂族金属价格的持续上涨，同时氢能源业务有望带来长期成长空间，类比成长性钴行业和贵金属黄金行业公司2020年估值显著被低估，钴行业202__风险提示：氢能源需求低预期、钯价格暴跌。
300234,2019-08-26,300234_2019-08-26_1,　　布局氢能源领域，或成为未来业绩增长点。近年来，国家大力支持氢能源的发展。据测算，至2050年，氢能源设备市场空__投资参股了舜华新能源，并于19年参股设立氢能源装备公司，氢能源产业业务有望成为公司新的盈利增长点；   __瓷应用领域，公司主营业务均明显好转，布局氢能源有望成为新利润贡献点，经过两年的业务调整，业绩拐点显现，预计公司2019-2020年EPS为0.51
002002,2019-09-02,002002_2019-09-02_1,公司立足氯碱行业的传统优势，积极拓展氢能源和土壤修复产业，随着一体化布局逐渐完善，产业链上细分业务规模扩张，盈利有望提升。首次覆盖，给予“中性__资源能源―电石―PVC/烧碱―土壤修复及氢能源利用―PVC新材料―电子交易综合业务”的一体化循环经济产业链。近年来PVC行业供需格局改善，价格中枢__氯碱产业升级，氢能源起步发展。公司针对氯碱装置富余氢气，加大氢能源利用研发力度和建设投入，与有研工研院合作研发稀土储氢技__完成8座加氢站的备案，第一座已投入使用。氢能源的发展将进一步提高公司资源利用效率，完善产业结构。   
002639,2019-02-13,002639_2019-02-13_1,加拿大HYGS，加速燃料电池战略布局。在氢能源领域公司主营燃料电池空气供应系统，目前拥有空压机、氢循环泵以及燃料电池发动机等产品，此外公司还掌握A__政策补贴推动氢能源产业，燃料电池发展空间广阔。氢能源在功率、环保方面相对于其他能源具有明显优势，在国家政策推动下氢能源__建议：公司作为国内制冷设备龙头地位稳定，氢能源产业链布局全面，随着近期地方政策催化下燃料电池板块景气度向上，公司有望实现快速发展。我们预计公司20
000723,2019-08-28,000723_2019-08-28_1,积极布局氢能源产业，未来有望贡献较大业绩增量   __公司近年来积极布局氢能源产业，并与其传统焦化产业形成较强的协同效应，而且因为在炼焦过程中释放的焦炉煤气中富含氢气（氢含量55__大规模的工业氢气。同时，公司今年上半年在氢能源领域也取得了多项进展，包括：1）与嘉兴秀洲高新技术产业开发区管理委员会签署《美锦能源氢能汽车产业园合__营规模争取合资公司将来达到上市目标、成立氢能源产业基金等。   __司未来还将依托其原有的焦化产业，大力发展氢能源业务。考虑到氢能源产业未来的成长性，我们判断该业务板块有望成为公司的主要业绩增长点，我们预计2019
002733,2019-10-23,002733_2019-10-23_1,年来得到国家重点关注和扶持。公司积极布局氢能源，先发优势明显，氢能源产业化提速将推动公司发展再上新台阶。维持盈利预测2019-2021年营收分别为__日与国家电力投资集团氢能产业推进小组签署氢能源项目战略合作框架协议，签约宜兴清洁能源（氢能）产业园项目，总投资50亿元，主要包括40MW分散式风电__发展，欲打造制氢-储氢-运氢-用氢一体化氢能源产业链，以实现经济效益和社会效益最大化。   
603045,2019-05-31,603045_2019-05-31_1,的公告，拟投资5000万人民币，设立福达氢能源材料有限公司，在公司原有合金材料的基础上，生产低成本制氢的催化剂。   __布局氢能源，拓宽业务版图，公司有望实现高速扩张：公司在既有合金材料生产的基础之上，谋划低成本制氢的催化剂，正好__针对了氢能源成本高的痛点。伴随着汽车保有量持续增长，以及氢能源汽车技术的完善和普及，氢能源汽车未来市场发展前景广
002221,2020-08-21,002221_2020-08-21_1,增3万吨。公司积极参与长三角、珠三角地区氢能源产业链的建设。报告期内，公司氢气实现销售收入4099.68万元；位于张家港的加氢站稳定运行，为张家港__25辆氢能源公交车及常熟部分氢能源公交车、氢能源物流车辆提供加氢服务。   
600028,2019-09-02,600028_2019-09-02_1,状况的更多细节，同时详细阐述了公司未来的氢能源战略。   __公司积极探索氢能源。中国石化的产氢能力达到300万吨/年，公司是国内最大的氢能源供应商，市场份额达到10%。中国石化的__来自公司的炼油与化工装置，公司正积极探索氢能源的变现新途径。   
