dt,stock_index,rzmre,rzye,rqye,rzrqye,close
2018-10-08 00,601398,130107082,2491567154,16237151.56,2507804305.56,5.05
2018-10-09 00,601398,81027083,2534422756,18461081.03,2552883837.03,5.02
2018-10-10 00,601398,108003006,2580354609,17146453.05,2597501062.05,5.04
2018-10-11 00,601398,88327055,2562291115,17443355.4,2579734470.4,4.89
2018-10-12 00,601398,40613794,2507402783,16322077.03,2523724860.03,5.02
2018-10-15 00,601398,76425750,2547590287,15390525.93,2562980812.93,4.92
2018-10-16 00,601398,34175209,2503079525,16787782.15,2519867307.15,4.94
2018-10-17 00,601398,63636132,2498314901,15010838.61,2513325739.61,4.92
2018-10-18 00,601398,58618653,2463600229,16065124.45,2479665353.45,4.84
2018-10-19 00,601398,118608317,2486275324,11045635.96,2497320959.96,4.97
2018-10-22 00,601398,177875373,2528919954,53888732.93,2582808686.93,5.12
2018-10-23 00,601398,131881074,2583639088,17719775.09,2601358863.09,4.96
2018-10-24 00,601398,100542088,2563053963,50646467.74,2613700430.74,5.11
2018-10-25 00,601398,55732372,2497424910,13232452.55,2510657362.55,5.14
2018-10-26 00,601398,84760449,2490503290,51565778.63,2542069068.63,5.18
2018-10-29 00,601398,115560195,2552482113,20492990.82,2572975103.82,5.07
2018-10-30 00,601398,41845909,2469317346,15976132.77,2485293478.77,5.12
2018-10-31 00,601398,56442492,2484002354,17430361.77,2501432715.77,5.12
2018-11-01 00,601398,131432260,2567942747,14187491.82,2582130238.82,5.06
2018-11-02 00,601398,142393788,2599247701,13745954.64,2612993655.64,5.13
2018-11-05 00,601398,110866462,2626458797,11103464.56,2637562261.56,5.05
2018-11-06 00,601398,121646802,2713361217,50448121.78,2763809338.78,5.02
2018-11-07 00,601398,59640828,2685255655,21142295.52,2706397950.52,5.01
2018-11-08 00,601398,48837514,2670490768,14951051.78,2685441819.78,5.02
2018-11-09 00,601398,193583022,2716124338,14819104.1,2730943442.1,4.84
2018-11-12 00,601398,47847523,2694528096,13814467.36,2708342563.36,4.85
2018-11-13 00,601398,118095935,2742632732,19081923.88,2761714655.88,4.87
2018-11-14 00,601398,68867098,2739553039,17821560.06,2757374599.06,4.8
2018-11-15 00,601398,60079061,2753956532,18618139.1,2772574671.1,4.84
2018-11-16 00,601398,91737099,2803111493,16154706.84,2819266199.84,4.83
2018-11-19 00,601398,65211059,2785259157,17940782.66,2803199939.66,4.9
2018-11-20 00,601398,73806492,2814454486,28212294.1,2842666780.1,4.84
2018-11-21 00,601398,31882936,2808224749,13915235.36,2822139984.36,4.85
2018-11-22 00,601398,44388891,2814223037,29390627.36,2843613664.36,4.85
2018-11-23 00,601398,56716941,2811110604,14109576,2825220180,4.82
2018-11-26 00,601398,48368247,2784916676,13382094.1,2798298770.1,4.84
2018-11-27 00,601398,75640734,2835821006,30854975.58,2866675981.58,4.82
2018-11-28 00,601398,19177040,2802564427,13014549.1,2815578976.1,4.84
2018-11-29 00,601398,22989555,2800715692,13302219.58,2814017911.58,4.82
2018-11-30 00,601398,9006096,2758176185,8554788.58,2766730973.58,4.82
2018-12-03 00,601398,51575698,2716947371,10525836.66,2727473207.66,4.9
2018-12-04 00,601398,19751598,2703081229,10940952.92,2714022181.92,4.91
2018-12-05 00,601398,25785151,2686372809,10579280.4,2696952089.4,4.89
2018-12-06 00,601398,62548820,2725433106,12199209.1,2737632315.1,4.84
2018-12-07 00,601398,7126213,2702766455,8423179.1,2711189634.1,4.84
2018-12-10 00,601398,20677938,2706441362,10894658.58,2717336020.58,4.82
2018-12-11 00,601398,34186491,2732656565,6310858.58,2738967423.58,4.82
2018-12-12 00,601398,22724581,2729117648,6419886.84,2735537534.84,4.83
2018-12-13 00,601398,31025323,2694863504,10192630.14,2705056134.14,4.88
2018-12-14 00,601398,11573582,2669976310,9220864.1,2679197174.1,4.84
2018-12-17 00,601398,80098306,2734293168,9846034.62,2744139202.62,4.86
2018-12-18 00,601398,44960009,2715015670,10257694.1,2725273364.1,4.84
2018-12-19 00,601398,8535418,2676409173,5873265.58,2682282438.58,4.82
2018-12-20 00,601398,55279608,2699532355,9539964.55,2709072319.55,4.72
2018-12-21 00,601398,49175341,2710157747,6640739.94,2716798486.94,4.68
2018-12-24 00,601398,38945116,2713708345,9558947.52,2723267292.52,4.71
2018-12-25 00,601398,47815622,2733714666,26981653.68,2760696319.68,4.72
2018-12-26 00,601398,16426260,2711122000,19001596.32,2730123596.32,4.76
2018-12-27 00,601398,28437547,2705682954,20615316.48,2726298270.48,4.77
2018-12-28 00,601398,25128501,2685054179,13899030.64,2698953209.64,4.78
2019-01-02 00,601398,31447031,2689803177,11788483.2,2701591660.2,4.69
2019-01-03 00,601398,37129318,2676537232,8301228,2684838460,4.69
2019-01-04 00,601398,23524656,2624754527,8407178.3,2633161705.3,4.76
2019-01-07 00,601398,43973938,2637897922,8748651.6,2646646573.6,4.73
2019-01-08 00,601398,57849021,2653295772,24732942,2678028714,4.69
2019-01-09 00,601398,39179709,2646028569,9201265.4,2655229834.4,4.75
2019-01-10 00,601398,17873448,2640327104,6699817.8,2647026921.8,4.71
2019-01-11 00,601398,29712056,2648160938,7212807.6,2655373745.6,4.73
2019-01-14 00,601398,53967040,2654873144,8502468,2663375612,4.69
2019-01-15 00,601398,43656145,2647040358,13221387.7,2660261745.7,4.72
2019-01-16 00,601398,21607666,2632137928,6141227.6,2638279155.6,4.73
2019-01-17 00,601398,25595300,2613536977,14129797.5,2627666774.5,4.74
2019-01-18 00,601398,85312795,2622396381,7704412.1,2630100793.1,4.88
2019-01-21 00,601398,26429300,2572784999,14795605.5,2587580604.5,4.94
2019-01-22 00,601398,32256630,2575420621,7226319.1,2582646940.1,4.88
2019-01-23 00,601398,45658079,2586133674,10545929.6,2596679603.6,4.93
2019-01-24 00,601398,13935535,2541848800,11399054.94,2553247854.94,4.95
2019-01-25 00,601398,34225059,2539883014,10366775.28,2550249789.28,5.01
2019-01-28 00,601398,52207737,2543250612,10692214.5,2553942826.5,4.99
2019-01-29 00,601398,35179803,2533674406,12220902.06,2545895308.06,5.03
2019-01-30 00,601398,41538556,2526322614,8284701.45,2534607315.45,5.04
2019-01-31 00,601398,62179071,2503375211,11012882.74,2514388093.74,5.15
2019-02-01 00,601398,16035212,2464059124,7764738.5,2471823862.5,5.14
2019-02-11 00,601398,38516972,2463091456,10991175.6,2474082631.6,5.13
2019-02-12 00,601398,19584010,2455577372,9697603.5,2465274975.5,5.14
2019-02-13 00,601398,90829716,2506741977,12991905.9,2519733882.9,5.2
2019-02-14 00,601398,74769934,2524058943,10672850,2534731793,5.14
2019-02-15 00,601398,137007280,2604276011,5356271,2609632282,5
2019-02-18 00,601398,106297052,2637255988,10998400,2648254388,5.09
2019-02-19 00,601398,123761837,2669310097,9186601,2678496698,5.06
2019-02-20 00,601398,75451668,2660134460,9558677,2669693137,5.06
2019-02-21 00,601398,89044101,2638499487,13260600,2651760087,5.05
2019-02-22 00,601398,165832369,2708696277,6298140,2714994417,5.04
2019-02-25 00,601398,440714191,2832229256,20993380,2853222636,5.39
2019-02-26 00,601398,271864658,2901266407,13533535,2914799942,5.26
2019-02-27 00,601398,382595702,3007133443,19079459,3026212902,5.3
2019-02-28 00,601398,203560904,3032702923,10245925,3042948848,5.24
2019-03-01 00,601398,247836618,3122444313,11676600,3134120913,5.34
2019-03-04 00,601398,421615188,3067724427,14198780,3081923207,5.35
2019-03-05 00,601398,313920101,3148020747,17890680,3165911427,5.31
2019-03-06 00,601398,365183867,3241593190,13353210,3254946400,5.34
2019-03-07 00,601398,313093405,3381885097,11007936,3392893033,5.25
2019-03-08 00,601398,211921957,3316709992,14550211,3331260203,5.08
2019-03-11 00,601398,119276866,3291205391,10467138,3301672529,5.1
2019-03-12 00,601398,102419042,3208889472,16783006,3225672478,5.11
2019-03-13 00,601398,218818115,3305341005,13704480,3319045485,5.07
2019-03-14 00,601398,152091722,3336862373,11348318,3348210691,5.06
2019-03-15 00,601398,218329771,3394513235,7033032,3401546267,5.07
2019-03-18 00,601398,372351865,3486476985,13911430,3500388415,5.14
2019-03-19 00,601398,169074800,3448373753,12927765,3461301518,5.14
2019-03-20 00,601398,247365483,3499709398,7439421,3507148819,5.1
2019-03-21 00,601398,231742913,3605920649,5862233,3611782882,5.08
2019-03-22 00,601398,120770439,3508391900,4901472,3513293372,5.07
2019-03-25 00,601398,170192198,3439494273,5130313,3444624586,4.96
2019-03-26 00,601398,85206539,3412667515,4718065,3417385580,4.94
2019-03-27 00,601398,189932139,3471474829,6275339,3477750168,5
2019-03-28 00,601398,117360462,3517334647,9429213.95,3526763860.95,4.94
2019-03-29 00,601398,193419077,3463943962,6391018,3470334980,5.06
2019-04-01 00,601398,342331918,3566993626,7330872,3574324498,5.13
2019-04-02 00,601398,132375686,3441244343,11672618,3452916961,5.15
2019-04-03 00,601398,97371612,3371008172,11214750,3382222922,5.19
2019-04-04 00,601398,300713946,3384970496,18690189,3403660685,5.3
2019-04-08 00,601398,231228623,3280132872,23773536,3303906408,5.31
2019-04-09 00,601398,174031392,3351889534,15452252,3367341786,5.27
2019-04-10 00,601398,183439202,3324464296,12049700,3336513996,5.24
2019-04-11 00,601398,105665208,3255615708,12025551,3267641259,5.22
