DATE,MARKET,SCODE,SECNAME,RZYE,RQYL,RZRQYE,RQYE,RQMCL,RZRQYECZ,RZMRE,SZ,RZYEZB,RZMRE3D,RZMRE5D,RZMRE10D,RZCHE,RZCHE3D,RZCHE5D,RZCHE10D,RZJME,RZJME3D,RZJME5D,RZJME10D,RQMCL3D,RQMCL5D,RQMCL10D,RQCHL,RQCHL3D,RQCHL5D,RQCHL10D,RQJMG,RQJMG3D,RQJMG5D,RQJMG10D,SPJ,ZDF,RCHANGE3DCP,RCHANGE5DCP,RCHANGE10DCP,KCB,TRADE_MARKET_CODE,TRADE_MARKET
2020-12-09 00,融资融券_深证,877.0,天山股份,988780833.0,358863.0,994257082.0,5476249.0,43600.0,983304584.0,29603434.0,13430248158.74,7.36234224,90879638.0,167778481.0,442999478.0,34835104.0,112301893.0,225458615.0,514427060.0,-5231670.0,-21422255.0,-57680134.0,-71427582.0,51500.0,85700.0,271900.0,21600.0,111300.0,375922.0,842835.0,22000.0,-59800.0,-290222.0,-570935.0,15.26,-3.2953,-6.0345,-7.7946,-11.1758,0.0,69001002001.0,深交所主板
2020-12-09 00,融资融券_沪证,512170.0,医疗ETF,59329430.0,5873000.0,71815428.0,12485998.0,0.0,46843432.0,2460163.0,,,9325405.0,21819791.0,55001388.0,7711323.0,18177171.0,30186641.0,62300559.0,-5251160.0,-8851766.0,-8366850.0,-7299171.0,0.0,720000.0,968000.0,0.0,1200000.0,1200000.0,1600000.0,0.0,-1200000.0,-480000.0,-632000.0,2.126,-1.7106,-1.2999,1.9664,5.5611,0.0,69001001.0,上海证券交易所
2020-12-09 00,融资融券_沪证,600590.0,泰豪科技,214673262.0,0.0,214673262.0,0.0,0.0,214673262.0,5786856.0,4647092230.0,4.619518,17499043.0,31072206.0,67083347.0,11064840.0,37186313.0,48948631.0,81178224.0,-5277984.0,-19687270.0,-17876425.0,-14094877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,-2.3091,-5.3356,-6.1433,-5.1724,0.0,69001001001.0,上交所主板
2020-12-09 00,融资融券_沪证,600612.0,老凤祥,106026389.0,1000.0,106074449.0,48060.0,0.0,105978329.0,2987403.0,15240288817.8,0.69569803,12934495.0,28832158.0,58217786.0,8273204.0,18985839.0,33070931.0,56158028.0,-5285801.0,-6051344.0,-4238773.0,2059758.0,0.0,1000.0,1300.0,0.0,0.0,15000.0,31600.0,0.0,0.0,-14000.0,-30300.0,48.06,-2.0982,-0.7025,-0.9481,-0.3318,0.0,69001001001.0,上交所主板
2020-12-09 00,融资融券_沪证,601138.0,工业富联,1321485724.0,574213.0,1329421347.66,7935623.66,124440.0,1313550100.34,58107868.0,40022448865.42,3.30186123,129600662.0,175108682.0,388032143.0,63410714.0,134976291.0,203228910.0,420926093.0,-5302846.0,-5375629.0,-28120228.0,-32893950.0,423840.0,682340.0,930440.0,268100.0,717400.0,914300.0,1155600.0,-143660.0,-293560.0,-231960.0,-225160.0,13.82,-2.2631,-0.1445,-1.6369999999999998,-1.9163,0.0,69001001001.0,上交所主板
2020-12-09 00,融资融券_沪证,688580.0,伟思医疗,153725010.0,1936.0,153915318.8,190308.8,0.0,153534701.2,5023702.0,1540915706.9,9.9762115,9070527.0,17418133.0,44919412.0,10356588.0,13898218.0,47380747.0,72489009.0,-5332886.0,-4827691.0,-29962614.0,-27569597.0,0.0,300.0,2236.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,1936.0,98.3,-3.0189,-6.0768,-3.3242,-4.4982,1.0,69001001006.0,上交所科创板
2020-12-09 00,融资融券_沪证,600078.0,澄星股份,281819597.0,2300.0,281829211.0,9614.0,0.0,281809983.0,5510646.0,2769554558.98,10.175628999999999,11737741.0,19702441.0,49228138.0,10861931.0,20042449.0,26457359.0,53599090.0,-5351285.0,-8304708.0,-6754918.0,-4370952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,-2.7907,-6.0674,-6.9042,-7.5221,0.0,69001001001.0,上交所主板
2020-12-09 00,融资融券_沪证,600783.0,鲁信创投,615345104.0,67100.0,616387167.0,1042063.0,0.0,614303041.0,19143666.0,11559899835.82,5.32310066,39287559.0,68642354.0,167319125.0,24500273.0,44995520.0,77479852.0,173143075.0,-5356607.0,-5707961.0,-8837498.0,-5823950.0,0.0,5200.0,20000.0,0.0,0.0,9900.0,67600.0,0.0,0.0,-4700.0,-47600.0,15.53,-4.6069,-6.6707,-8.6471,-7.006,0.0,69001001001.0,上交所主板
2020-12-09 00,融资融券_深证,300891.0,惠云钛业,132933794.0,9000.0,133119914.0,186120.0,0.0,132747674.0,14538853.0,1961433312.96,6.77738025,60548517.0,115833732.0,323073950.0,19926273.0,72843797.0,133625371.0,332626854.0,-5387420.0,-12295280.0,-17791639.0,-9552904.0,4000.0,9000.0,9000.0,0.0,0.0,0.0,0.0,0.0,4000.0,9000.0,9000.0,20.68,-3.3645,-9.0189,-12.9996,-9.1388,0.0,69001002002.0,深交所创业板
2020-12-09 00,融资融券_深证,300383.0,光环新网,1877392462.0,389281.0,1884784908.0,7392446.0,23500.0,1870000016.0,46926537.0,28524122704.26,6.58177109,110805482.0,214044110.0,466673209.0,52319800.0,119283839.0,209787412.0,455254896.0,-5393263.0,-8478357.0,4256698.0,11418313.0,70732.0,118832.0,243532.0,28700.0,149900.0,225400.0,391573.0,-5200.0,-79168.0,-106568.0,-148041.0,18.99,0.6893,-0.8873,-2.4152,-0.315,0.0,69001002002.0,深交所创业板
