stock_date,adj_close,slopes,slope_num_in,stock_index
1998-11-04,4.71,-0.0237,20,860
1998-11-05,5.18,-0.04253,20,860
1998-11-06,5.26,-0.04757,20,860
1998-11-09,5.42,-0.04847,20,860
1998-11-10,5.36,-0.046419999999999996,20,860
1998-11-11,5.37,-0.04546,20,860
1998-11-12,5.21,-0.047619999999999996,20,860
1998-11-13,5.12,-0.04829,20,860
1998-11-16,5.11,-0.04797,20,860
1998-11-17,5.31,-0.049069999999999996,20,860
1998-11-18,5.16,-0.05206,20,860
1998-11-19,5.15,-0.04752,20,860
1998-11-20,5.17,-0.038380000000000004,20,860
1998-11-23,5.2,-0.03642,20,860
1998-11-24,5.11,-0.03966,20,860
1998-11-25,4.98,-0.04158,20,860
1998-11-26,4.94,-0.041760000000000005,20,860
1998-11-27,4.81,-0.04023,20,860
1998-11-30,4.9,-0.03845,20,860
1998-12-01,4.8,-0.035930000000000004,20,860
