stock_index,stock_name,current_zhuli_ratio,avg_ratio_7_days
600519,贵州茅台,0.866,0.924
601288,农业银行,0.689,0.642
601398,工商银行,0.682,0.64
688169,石头科技,0.668,0.752
601988,中国银行,0.645,0.666
2684,ST猛狮,0.613,0.227
725,京东方Ａ,0.608,0.576
601318,中国平安,0.603,0.565
825,太钢不锈,0.598,0.377
2280,*ST联络,0.588,0.419
2620,瑞和股份,0.584,0.227
601328,交通银行,0.58,0.553
300750,宁德时代,0.57,0.566
100,TCL科技,0.565,0.54
813,德展健康,0.559,0.369
601668,中国建筑,0.558,0.55
300004,南风股份,0.553,0.232
601611,中国核建,0.547,0.324
69,华侨城Ａ,0.545,0.485
2466,天齐锂业,0.545,0.542
2366,台海核电,0.542,0.278
661,长春高新,0.541,0.512
2714,牧原股份,0.541,0.533
601169,北京银行,0.54,0.493
600016,民生银行,0.54,0.497
2554,惠博普,0.539,0.409
601939,建设银行,0.539,0.516
2836,新宏泽,0.537,0.219
688,国城矿业,0.536,0.275
600086,退市金钰,0.533,0.541
601888,中国中免,0.532,0.532
858,五 粮 液,0.531,0.545
600919,江苏银行,0.53,0.497
703,恒逸石化,0.523,0.49
300122,智飞生物,0.52,0.53
568,泸州老窖,0.518,0.533
600028,中国石化,0.516,0.49
601818,光大银行,0.514,0.464
600516,方大炭素,0.513,0.426
603779,ST威龙,0.505,0.177
2,万  科Ａ,0.505,0.539
333,美的集团,0.503,0.501
600015,华夏银行,0.503,0.466
300274,阳光电源,0.501,0.503
603996,*ST中新,0.501,0.203
2271,东方雨虹,0.499,0.433
2147,*ST新光,0.497,0.495
300146,汤臣倍健,0.497,0.382
2375,亚厦股份,0.496,0.257
903,云内动力,0.495,0.295
2109,兴化股份,0.495,0.386
600438,通威股份,0.493,0.456
601012,隆基股份,0.492,0.502
807,云铝股份,0.491,0.457
600707,彩虹股份,0.487,0.391
300059,东方财富,0.486,0.505
603799,华友钴业,0.486,0.504
603169,兰石重装,0.485,0.219
601857,中国石油,0.482,0.439
758,中色股份,0.476,0.366
600111,北方稀土,0.476,0.46
603077,和邦生物,0.475,0.547
600309,万华化学,0.473,0.461
600809,山西汾酒,0.471,0.48
600000,浦发银行,0.47,0.464
27,深圳能源,0.468,0.416
600726,华电能源,0.466,0.226
2876,三利谱,0.466,0.331
601658,邮储银行,0.466,0.47
2415,海康威视,0.464,0.498
300677,英科医疗,0.464,0.495
603098,森特股份,0.464,0.279
600900,长江电力,0.464,0.394
2145,中核钛白,0.463,0.407
300896,爱美客,0.461,0.476
300740,御家汇,0.459,0.267
601997,贵阳银行,0.459,0.426
727,*ST东科,0.459,0.416
600036,招商银行,0.459,0.506
600515,*ST基础,0.459,0.495
600328,中盐化工,0.458,0.301
603333,尚纬股份,0.458,0.163
709,河钢股份,0.457,0.422
300142,沃森生物,0.457,0.464
603778,乾景园林,0.456,0.175
601601,中国太保,0.455,0.449
2074,国轩高科,0.455,0.453
600022,山东钢铁,0.454,0.469
600795,国电电力,0.454,0.44
601166,兴业银行,0.453,0.471
601077,渝农商行,0.452,0.402
300601,康泰生物,0.452,0.439
2636,金安国纪,0.451,0.355
982,*ST 中绒,0.451,0.487
2230,科大讯飞,0.451,0.468
550,江铃汽车,0.451,0.289
2447,*ST晨鑫,0.449,0.467
2602,世纪华通,0.449,0.416
2460,赣锋锂业,0.448,0.481
600763,通策医疗,0.448,0.464
603259,药明康德,0.447,0.437
601009,南京银行,0.447,0.46
600019,宝钢股份,0.446,0.484
300226,上海钢联,0.446,0.401
2080,中材科技,0.445,0.335
603501,韦尔股份,0.444,0.445
776,广发证券,0.443,0.438
600050,中国联通,0.443,0.43
600399,ST抚钢,0.443,0.477
688185,康希诺-U,0.442,0.453
166,申万宏源,0.442,0.411
2601,龙蟒佰利,0.441,0.414
2594,比亚迪,0.441,0.488
600346,恒力石化,0.441,0.402
600777,新潮能源,0.44,0.412
601006,大秦铁路,0.44,0.428
2353,杰瑞股份,0.439,0.381
2555,三七互娱,0.439,0.399
300379,东方通,0.436,0.355
2493,荣盛石化,0.436,0.448
1,平安银行,0.436,0.481
932,华菱钢铁,0.435,0.441
2534,杭锅股份,0.434,0.227
3816,中国广核,0.433,0.437
875,吉电股份,0.433,0.341
2027,分众传媒,0.433,0.425
600875,东方电气,0.432,0.327
651,格力电器,0.431,0.48
601899,紫金矿业,0.43,0.44
2624,完美世界,0.43,0.38
988,华工科技,0.429,0.39
2142,宁波银行,0.429,0.418
600010,包钢股份,0.428,0.525
21,深科技,0.427,0.421
300613,富瀚微,0.427,0.368
601998,中信银行,0.426,0.393
600811,东方集团,0.425,0.328
601390,中国中铁,0.425,0.421
822,山东海化,0.424,0.397
600496,精工钢构,0.424,0.287
600744,华银电力,0.421,0.32
2192,*ST融捷,0.421,0.427
2274,华昌化工,0.421,0.423
600392,盛和资源,0.42,0.448
2497,雅化集团,0.42,0.374
780,*ST平能,0.42,0.385
300760,迈瑞医疗,0.42,0.429
601233,桐昆股份,0.42,0.393
2610,爱康科技,0.419,0.389
2178,延华智能,0.418,0.207
2210,*ST飞马,0.418,0.29
2475,立讯精密,0.417,0.451
601229,上海银行,0.417,0.339
2352,顺丰控股,0.415,0.43
601788,光大证券,0.415,0.346
600166,福田汽车,0.415,0.358
531,穗恒运Ａ,0.415,0.268
600837,海通证券,0.415,0.381
600030,中信证券,0.414,0.437
736,中交地产,0.414,0.326
2236,大华股份,0.414,0.413
963,华东医药,0.413,0.438
63,中兴通讯,0.412,0.404
2024,苏宁易购,0.412,0.358
2252,上海莱士,0.412,0.341
572,ST海马,0.411,0.358
723,美锦能源,0.411,0.407
688981,中芯国际-U,0.41,0.433
538,云南白药,0.41,0.403
630,铜陵有色,0.409,0.413
300551,古鳌科技,0.409,0.39
600688,上海石化,0.408,0.391
2756,永兴材料,0.408,0.34
2044,美年健康,0.408,0.423
408,*ST藏格,0.407,0.505
300014,亿纬锂能,0.407,0.453
600538,国发股份,0.407,0.413
600157,ST永泰,0.407,0.419
2062,宏润建设,0.406,0.249
898,鞍钢股份,0.406,0.391
2291,星期六,0.406,0.392
2426,*ST胜利,0.405,0.447
600499,科达制造,0.403,0.339
60,中金岭南,0.403,0.358
818,航锦科技,0.402,0.4
688111,金山办公,0.402,0.409
2129,中环股份,0.402,0.445
157,中联重科,0.401,0.427
911,南宁糖业,0.401,0.204
600025,华能水电,0.401,0.338
600352,浙江龙盛,0.401,0.386
587,*ST金洲,0.401,0.423
970,中科三环,0.4,0.41
601688,华泰证券,0.4,0.387
2378,章源钨业,0.4,0.37
600416,*ST湘电,0.4,0.388
600023,浙能电力,0.4,0.308
600198,大唐电信,0.4,0.173
933,神火股份,0.4,0.395
425,徐工机械,0.399,0.443
2384,东山精密,0.399,0.318
600276,恒瑞医药,0.397,0.418
300225,金力泰,0.397,0.382
600219,南山铝业,0.395,0.4
600208,新湖中宝,0.395,0.381
300124,汇川技术,0.395,0.403
601880,辽港股份,0.395,0.413
2191,劲嘉股份,0.394,0.4
601669,中国电建,0.394,0.393
2001,新 和 成,0.393,0.418
733,振华科技,0.393,0.352
831,五矿稀土,0.393,0.407
2076,*ST雪莱,0.392,0.365
966,长源电力,0.392,0.395
2102,ST冠福,0.391,0.346
155,川能动力,0.391,0.386
2052,*ST同洲,0.391,0.393
338,潍柴动力,0.391,0.412
600887,伊利股份,0.391,0.387
601727,上海电气,0.39,0.371
688036,传音控股,0.39,0.367
300253,卫宁健康,0.39,0.416
600221,*ST海航,0.39,0.404
2005,ST德豪,0.389,0.419
300232,洲明科技,0.388,0.289
536,*ST华映,0.387,0.305
600893,航发动力,0.386,0.398
2683,宏大爆破,0.386,0.344
300600,国瑞科技,0.386,0.322
2741,光华科技,0.385,0.381
2180,纳思达,0.385,0.292
600031,三一重工,0.384,0.396
600886,国投电力,0.384,0.334
600884,杉杉股份,0.384,0.324
601211,国泰君安,0.383,0.343
2535,*ST林重,0.383,0.433
300294,博雅生物,0.382,0.34
603828,柯利达,0.382,0.142
300005,探路者,0.382,0.356
883,湖北能源,0.381,0.334
300567,精测电子,0.381,0.376
2556,辉隆股份,0.38,0.345
2514,宝馨科技,0.379,0.278
2407,多氟多,0.379,0.417
600163,中闽能源,0.379,0.253
683,远兴能源,0.379,0.397
2735,王子新材,0.379,0.299
2429,兆驰股份,0.379,0.384
728,国元证券,0.378,0.367
2437,誉衡药业,0.377,0.257
2304,洋河股份,0.377,0.386
603126,中材节能,0.377,0.416
300083,创世纪,0.376,0.386
601600,中国铝业,0.375,0.388
600295,鄂尔多斯,0.375,0.41
600782,新钢股份,0.375,0.407
601186,中国铁建,0.374,0.372
601111,中国国航,0.374,0.384
300015,爱尔眼科,0.374,0.389
830,鲁西化工,0.373,0.329
799,酒鬼酒,0.373,0.399
603599,广信股份,0.373,0.335
48,京基智农,0.373,0.256
600226,*ST瀚叶,0.372,0.405
2223,鱼跃医疗,0.372,0.291
2470,*ST金正,0.371,0.391
600176,中国巨石,0.371,0.326
300347,泰格医药,0.371,0.36
626,远大控股,0.371,0.3
600280,*ST中商,0.371,0.199
960,锡业股份,0.37,0.418
949,新乡化纤,0.37,0.404
516,国际医学,0.37,0.353
603429,集友股份,0.37,0.31
300128,锦富技术,0.37,0.35
601011,宝泰隆,0.37,0.315
2402,和而泰,0.369,0.343
2770,ST科迪,0.368,0.38
600873,梅花生物,0.368,0.338
601336,新华保险,0.368,0.376
2340,格林美,0.367,0.453
601319,中国人保,0.367,0.336
601991,大唐发电,0.367,0.353
600999,招商证券,0.366,0.343
600436,片仔癀,0.365,0.386
300633,开立医疗,0.365,0.299
607,华媒控股,0.365,0.33
300072,三聚环保,0.365,0.332
