id,stock_index,stock_name,jzcsyl,stock_date
1,600083,博信股份,0.892,2020_02_22
2,002458,益生股份,0.8376,2020_02_22
2,002234,民和股份,0.7157,2020_02_22
1,600768,宁波富邦,0.6766,2020_02_22
1,688169,石头科技,0.5853,2020_02_22
2,000526,紫光学大,0.56,2020_02_22
1,600132,重庆啤酒,0.4757,2020_02_22
2,002161,远望谷,0.4487,2020_02_22
1,603489,八方股份,0.4265,2020_02_22
1,603195,公牛集团,0.425,2020_02_22
1,600319,ST亚星,0.4205,2020_02_22
1,600732,ST爱旭,0.4057,2020_02_22
1,600052,浙江广厦,0.3985,2020_02_22
2,300571,平治信息,0.3966,2020_02_22
2,000672,上峰水泥,0.3826,2020_02_22
2,300122,智飞生物,0.3781,2020_02_22
2,300417,南华仪器,0.3592,2020_02_22
2,002841,视源股份,0.3498,2020_02_22
2,002607,中公教育,0.3494,2020_02_22
1,603160,汇顶科技,0.3485,2020_02_22
2,000933,神火股份,0.3452,2020_02_22
2,300816,艾可蓝,0.3393,2020_02_22
1,600779,水井坊,0.3375,2020_02_22
1,600678,四川金顶,0.3355,2020_02_22
2,002869,金溢科技,0.3229,2020_02_22
2,300782,卓胜微,0.3219,2020_02_22
2,002299,圣农发展,0.3197,2020_02_22
2,000509,华塑控股,0.3107,2020_02_22
1,601918,新集能源,0.3062,2020_02_22
2,300815,玉禾田,0.2983,2020_02_22
2,000868,*ST安凯,0.2955,2020_02_22
1,688358,祥生医疗,0.2934,2020_02_22
2,300080,易成新能,0.2931,2020_02_22
2,002975,博杰股份,0.2912,2020_02_22
2,300800,力合科技,0.2848,2020_02_22
2,002190,*ST集成,0.2838,2020_02_22
2,002755,奥赛康,0.282,2020_02_22
2,002963,豪尔赛,0.2813,2020_02_22
2,000895,双汇发展,0.28,2020_02_22
2,002968,新大正,0.2773,2020_02_22
1,688357,建龙微纳,0.2751,2020_02_22
1,688298,东方生物,0.2716,2020_02_22
2,300198,纳川股份,0.2704,2020_02_22
1,688199,久日新材,0.2679,2020_02_22
2,300702,天宇股份,0.2665,2020_02_22
1,603360,百傲化学,0.2661,2020_02_22
1,603610,麒盛科技,0.2659,2020_02_22
1,600801,华新水泥,0.2653,2020_02_22
2,300776,帝尔激光,0.2653,2020_02_22
1,603288,海天味业,0.265,2020_02_22
1,600763,通策医疗,0.2624,2020_02_22
2,002016,世荣兆业,0.2615,2020_02_22
2,300628,亿联网络,0.2579,2020_02_22
1,600519,贵州茅台,0.2558,2020_02_22
1,600802,福建水泥,0.2553,2020_02_22
2,000048,康达尔,0.2552,2020_02_22
1,603658,安图生物,0.2532,2020_02_22
1,688200,华峰测控,0.2531,2020_02_22
2,000708,中信特钢,0.2529,2020_02_22
2,002182,云海金属,0.2521,2020_02_22
1,600809,山西汾酒,0.2519,2020_02_22
2,002555,三七互娱,0.249,2020_02_22
2,300761,立华股份,0.2484,2020_02_22
1,600031,三一重工,0.2482,2020_02_22
2,300577,开润股份,0.2481,2020_02_22
1,601318,中国平安,0.243,2020_02_22
2,000418,小天鹅A,0.2425,2020_02_22
1,688368,晶丰明源,0.2411,2020_02_22
2,300638,广和通,0.2407,2020_02_22
2,002746,仙坛股份,0.24,2020_02_22
2,300812,易天股份,0.239,2020_02_22
2,002512,达华智能,0.2389,2020_02_22
2,000333,美的集团,0.2351,2020_02_22
1,601888,中国国旅,0.235,2020_02_22
2,300117,嘉寓股份,0.2339,2020_02_22
2,300003,乐普医疗,0.2332,2020_02_22
1,600566,济川药业,0.2319,2020_02_22
2,002102,ST冠福,0.2303,2020_02_22
2,000651,格力电器,0.2302,2020_02_22
1,600570,恒生电子,0.2299,2020_02_22
1,603444,吉比特,0.2296,2020_02_22
2,002803,吉宏股份,0.2295,2020_02_22
1,603638,艾迪精密,0.2289,2020_02_22
1,600346,恒力石化,0.2277,2020_02_22
2,300529,健帆生物,0.2276,2020_02_22
2,002970,锐明技术,0.227,2020_02_22
2,002901,大博医疗,0.226,2020_02_22
2,300357,我武生物,0.2253,2020_02_22
2,002379,宏创控股,0.2253,2020_02_22
1,688208,道通科技,0.2252,2020_02_22
2,300760,迈瑞医疗,0.2241,2020_02_22
2,002677,浙江美大,0.224,2020_02_22
1,688036,传音控股,0.2231,2020_02_22
1,603327,福蓉科技,0.222,2020_02_22
1,600486,扬农化工,0.2217,2020_02_22
2,300682,朗新科技,0.2201,2020_02_22
1,603899,晨光文具,0.2183,2020_02_22
1,600368,五洲交通,0.2174,2020_02_22
1,688233,神工股份,0.2168,2020_02_22
1,603568,伟明环保,0.2164,2020_02_22
