id,stock_index,stock_name,jijin_num,stock_date,day,jijin_date
1,600519,贵州茅台,1250,2020_02_20,2020_02_20,2019-12-31
1,601318,中国平安,1077,2020_02_20,2020_02_20,2019-12-31
1,600036,招商银行,853,2020_02_20,2020_02_20,2019-12-31
2,000651,格力电器,749,2020_02_20,2020_02_20,2019-12-31
1,600276,恒瑞医药,705,2020_02_20,2020_02_20,2019-12-31
2,000002,万科A,654,2020_02_20,2020_02_20,2019-12-31
1,601166,兴业银行,621,2020_02_20,2020_02_20,2019-12-31
1,600887,伊利股份,616,2020_02_20,2020_02_20,2019-12-31
1,600030,中信证券,609,2020_02_20,2020_02_20,2019-12-31
2,000858,五粮液,590,2020_02_20,2020_02_20,2019-12-31
2,002475,立讯精密,558,2020_02_20,2020_02_20,2019-12-31
2,000333,美的集团,519,2020_02_20,2020_02_20,2019-12-31
1,600048,保利地产,478,2020_02_20,2020_02_20,2019-12-31
1,601398,工商银行,390,2020_02_20,2020_02_20,2019-12-31
2,000661,长春高新,353,2020_02_20,2020_02_20,2019-12-31
1,600585,海螺水泥,305,2020_02_20,2020_02_20,2019-12-31
2,300750,宁德时代,279,2020_02_20,2020_02_20,2019-12-31
2,002415,海康威视,271,2020_02_20,2020_02_20,2019-12-31
1,601688,华泰证券,269,2020_02_20,2020_02_20,2019-12-31
2,000001,平安银行,264,2020_02_20,2020_02_20,2019-12-31
1,600031,三一重工,262,2020_02_20,2020_02_20,2019-12-31
1,603259,药明康德,254,2020_02_20,2020_02_20,2019-12-31
1,601288,农业银行,226,2020_02_20,2020_02_20,2019-12-31
1,601601,中国太保,223,2020_02_20,2020_02_20,2019-12-31
2,000063,中兴通讯,212,2020_02_20,2020_02_20,2019-12-31
1,603986,兆易创新,205,2020_02_20,2020_02_20,2019-12-31
2,002142,宁波银行,203,2020_02_20,2020_02_20,2019-12-31
2,300760,迈瑞医疗,200,2020_02_20,2020_02_20,2019-12-31
1,601328,交通银行,196,2020_02_20,2020_02_20,2019-12-31
2,002624,完美世界,196,2020_02_20,2020_02_20,2019-12-31
1,600690,海尔智家,191,2020_02_20,2020_02_20,2019-12-31
1,603927,中科软,189,2020_02_20,2020_02_20,2019-9-30
1,600016,民生银行,187,2020_02_20,2020_02_20,2019-12-31
1,600309,万华化学,186,2020_02_20,2020_02_20,2019-12-31
1,601939,建设银行,185,2020_02_20,2020_02_20,2019-12-31
2,300059,东方财富,184,2020_02_20,2020_02_20,2019-12-31
2,000568,泸州老窖,179,2020_02_20,2020_02_20,2019-12-31
2,002241,歌尔股份,178,2020_02_20,2020_02_20,2019-12-31
2,000725,京东方A,171,2020_02_20,2020_02_20,2019-12-31
2,300790,宇瞳光学,171,2020_02_20,2020_02_20,2019-9-30
1,601888,中国国旅,169,2020_02_20,2020_02_20,2019-12-31
1,601012,隆基股份,165,2020_02_20,2020_02_20,2019-12-31
1,600000,浦发银行,163,2020_02_20,2020_02_20,2019-12-31
1,600837,海通证券,162,2020_02_20,2020_02_20,2019-12-31
1,603799,华友钴业,158,2020_02_20,2020_02_20,2019-12-31
2,300014,亿纬锂能,156,2020_02_20,2020_02_20,2019-12-31
2,000338,潍柴动力,151,2020_02_20,2020_02_20,2019-12-31
1,600009,上海机场,150,2020_02_20,2020_02_20,2019-12-31
1,600383,金地集团,148,2020_02_20,2020_02_20,2019-12-31
1,600104,上汽集团,145,2020_02_20,2020_02_20,2019-12-31
1,600570,恒生电子,144,2020_02_20,2020_02_20,2019-12-31
1,601818,光大银行,142,2020_02_20,2020_02_20,2019-12-31
2,300450,先导智能,140,2020_02_20,2020_02_20,2019-12-31
1,601668,中国建筑,139,2020_02_20,2020_02_20,2019-12-31
