date,us_total,us_tongbi,us_huanbi,gold_total,gold_tongbi,gold_huanbi
2020年01月份,31154.97,0.89%,0.24%,6264.00,4.50%,0.00%
2019年12月份,31079.24,1.15%,0.40%,6264.00,5.17%,0.00%
2019年11月份,30955.91,1.11%,-0.31%,6264.00,5.74%,0.00%
2019年10月份,31051.61,1.71%,0.41%,6264.00,5.74%,0.00%
2019年09月份,30924.31,0.18%,-0.47%,6264.00,5.74%,0.30%
2019年08月份,31071.76,-0.08%,0.11%,6245.00,5.42%,0.31%
2019年07月份,31036.97,-0.46%,-0.50%,6226.00,5.10%,0.52%
2019年06月份,31192.34,0.23%,0.59%,6194.00,4.56%,0.54%
2019年05月份,31010.04,-0.31%,0.20%,6161.00,4.00%,0.83%
2019年04月份,30949.53,-0.96%,-0.12%,6110.00,3.14%,0.79%
2019年03月份,30987.61,-1.40%,0.28%,6062.00,2.33%,0.60%
2019年02月份,30901.80,-1.41%,0.07%,6026.00,1.72%,0.53%
2019年01月份,30879.24,-2.33%,0.50%,5994.00,1.18%,0.64%
2018年12月份,30727.12,-2.14%,0.36%,5956.00,0.54%,0.54%
2018年11月份,30616.97,-1.85%,0.28%,5924.00,0.00%,0.00%
2018年10月份,30530.98,-1.80%,-1.10%,5924.00,0.00%,0.00%
2018年09月份,30870.25,-0.69%,-0.73%,5924.00,0.00%,0.00%
2018年08月份,31097.16,0.59%,-0.26%,5924.00,0.00%,0.00%
2018年07月份,31179.46,1.21%,0.19%,5924.00,0.00%,0.00%
2018年06月份,31121.29,1.81%,0.05%,5924.00,0.00%,0.00%
2018年05月份,31106.23,1.87%,-0.46%,5924.00,0.00%,0.00%
2018年04月份,31248.52,3.15%,-0.57%,5924.00,0.00%,0.00%
2018年03月份,31428.20,4.44%,0.27%,5924.00,0.00%,0.00%
2018年02月份,31344.82,4.30%,-0.85%,5924.00,0.00%,0.00%
2018年01月份,31614.57,5.45%,0.68%,5924.00,0.00%,0.00%
2017年12月份,31399.49,4.30%,0.66%,5924.00,0.00%,0.00%
2017年11月份,31192.77,2.22%,0.32%,5924.00,0.00%,0.00%
2017年10月份,31092.13,-0.37%,0.02%,5924.00,0.00%,0.00%
2017年09月份,31085.10,-1.83%,0.55%,5924.00,0.22%,0.00%
2017年08月份,30915.27,-2.94%,0.35%,5924.00,0.49%,0.00%
2017年07月份,30807.20,-3.76%,0.78%,5924.00,0.77%,0.00%
2017年06月份,30567.89,-4.63%,0.11%,5924.00,1.06%,0.00%
2017年05月份,30535.67,-4.33%,0.79%,5924.00,1.89%,0.00%
2017年04月份,30295.33,-5.91%,0.68%,5924.00,1.89%,0.00%
