date,before_value,now_value,report_date
2020年1月,-24.30万,-283.20万,2020-02-07
2019年12月,60.70万,-24.30万,2020-01-10
2019年11月,101.40万,60.70万,2019-12-06
2019年10月,19.30万,101.40万,2019-11-01
2019年9月,21.90万,19.30万,2019-10-04
2019年8月,16.60万,21.90万,2019-09-06
2019年7月,17.80万,16.60万,2019-08-02
2019年6月,6.20万,17.80万,2019-07-05
2019年5月,21.60万,6.20万,2019-06-07
2019年4月,15.30万,21.60万,2019-05-03
2019年3月,5.60万,15.30万,2019-04-05
2019年2月,31.20万,5.60万,2019-03-08
2019年1月,22.70万,31.20万,2019-02-01
2018年12月,19.60万,22.70万,2019-01-04
2018年11月,27.70万,19.60万,2018-12-07
2018年10月,10.80万,27.70万,2018-11-02
2018年9月,28.20万,10.80万,2018-10-05
2018年8月,17.80万,28.20万,2018-09-07
2018年7月,26.20万,17.80万,2018-08-03
2018年5月,19.60万,27.00万,2018-06-01
2018年4月,18.20万,19.60万,2018-05-04
2018年3月,33.00万,18.20万,2018-04-06
2018年2月,17.10万,33.00万,2018-03-09
2018年1月,17.40万,17.10万,2018-02-02
2017年12月,22.00万,17.40万,2018-01-05
2017年11月,26.00万,22.00万,2017-12-08
2017年10月,1.80万,26.00万,2017-11-03
2017年9月,18.70万,1.80万,2017-10-06
2017年8月,20.40万,18.70万,2017-09-01
2017年7月,22.90万,20.40万,2017-08-04
2017年6月,12.80万,22.90万,2017-07-07
2017年5月,21.30万,12.80万,2017-06-02
2017年4月,12.70万,21.30万,2017-05-05
2017年3月,14.10万,12.70万,2017-04-07
2017年2月,25.20万,14.10万,2017-03-10
2017年1月,21.50万,25.20万,2017-02-03
2016年12月,17.00万,21.50万,2017-01-06
2016年11月,12.80万,17.00万,2016-12-02
2016年9月,13.50万,27.00万,2016-10-07
2016年8月,33.60万,13.50万,2016-09-02
2016年7月,28.20万,33.60万,2016-08-05
2016年6月,1.50万,28.20万,2016-07-08
2016年5月,21.10万,1.50万,2016-06-03
2016年4月,23.40万,21.10万,2016-05-06
2016年3月,23.20万,23.40万,2016-04-01
2016年2月,9.00万,23.20万,2016-03-04
2016年1月,28.00万,9.00万,2016-02-05
2015年12月,23.50万,28.00万,2016-01-08
2015年11月,33.90万,23.50万,2015-12-04
2015年10月,13.30万,33.90万,2015-11-06
2015年9月,12.20万,13.30万,2015-10-02
2015年8月,29.30万,12.20万,2015-09-04
2015年7月,17.00万,29.30万,2015-08-07
2015年6月,31.90万,17.00万,2015-07-02
2015年5月,30.00万,31.90万,2015-06-05
2015年4月,7.70万,30.00万,2015-05-08
2015年3月,24.80万,7.70万,2015-04-03
2015年1月,26.90万,21.30万,2015-02-06
2014年12月,28.60万,26.90万,2015-01-09
2014年11月,25.80万,28.60万,2014-12-05
2014年10月,31.10万,25.80万,2014-11-07
2014年9月,18.80万,31.10万,2014-10-03
2014年8月,22.70万,18.80万,2014-09-05
2014年7月,32.40万,22.70万,2014-08-01
2014年6月,22.10万,32.40万,2014-07-03
2014年5月,32.70万,22.10万,2014-06-06
2014年4月,25.00万,32.70万,2014-05-02
2014年3月,16.80万,25.00万,2014-04-04
2014年2月,17.70万,16.80万,2014-03-10
2014年1月,6.70万,17.70万,2014-02-10
2013年12月,26.70万,6.70万,2014-01-03
2013年11月,22.50万,26.70万,2013-12-03
2013年10月,18.90万,22.50万,2013-11-03
2013年9月,24.20万,18.90万,2013-10-22
2013年8月,10.50万,24.20万,2013-09-06
2013年7月,18.10万,10.50万,2013-08-02
2013年5月,19.20万,22.40万,2013-06-07
2013年4月,13.60万,19.20万,2013-05-03
2013年3月,27.90万,13.60万,2013-04-05
2013年2月,19.50万,27.90万,2013-03-08
2013年1月,23.70万,19.50万,2013-02-01
2012年12月,15.80万,23.70万,2012-01-06
2012年11月,15.80万,15.80万,2012-12-07
2012年10月,18.90万,15.80万,2012-11-02
2012年9月,17.00万,18.90万,2012-10-05
2012年8月,15.30万,17.00万,2012-09-07
2012年7月,7.20万,15.30万,2012-08-03
2012年6月,9.90万,7.20万,2012-07-06
2012年5月,8.30万,9.90万,2012-06-01
2012年4月,23.80万,8.30万,2012-05-04
2012年3月,26.20万,23.80万,2012-04-06
2012年2月,35.50万,26.20万,2012-03-09
2012年1月,20.40万,35.50万,2012-02-03
2011年12月,13.20万,20.40万,2011-01-07
2011年11月,20.40万,13.20万,2011-12-02
2011年9月,12.20万,23.60万,2011-10-07
2011年8月,6.10万,12.20万,2011-09-02
2011年7月,23.50万,6.10万,2011-08-05
2011年6月,9.50万,23.50万,2011-07-08
2011年5月,32.10万,9.50万,2011-06-03
2011年4月,23.20万,32.10万,2011-05-06
2011年3月,21.30万,23.20万,2011-04-01
2011年2月,2.00万,21.30万,2011-04-03
2011年1月,7.40万,2.00万,2011-03-05
2010年12月,12.30万,7.40万,2010-01-08
2010年11月,26.90万,12.30万,2010-12-03
2010年10月,-6.40万,26.90万,2010-11-05
2010年9月,-0.50万,-6.40万,2010-10-08
2010年8月,-8.80万,-0.50万,2010-09-03
2010年7月,-13.60万,-8.80万,2010-08-06
2010年6月,53.40万,-13.60万,2010-07-02
2010年5月,23.70万,53.40万,2010-06-04
2010年4月,18.00万,23.70万,2010-05-07
2010年3月,-9.20万,18.00万,2010-04-03
2010年1月,-26.90万,0.30万,2010-02-05
2009年12月,1.20万,-26.90万,2009-01-09
2009年11月,-19.80万,1.20万,2009-12-04
2009年10月,-24.20万,-19.80万,2009-11-06
2009年9月,-18.40万,-24.20万,2009-10-02
2009年8月,-34.10万,-18.40万,2009-09-04
2009年7月,-46.50万,-34.10万,2009-08-07
2009年6月,-34.40万,-46.50万,2009-07-02
2009年5月,-69.40万,-34.40万,2009-06-05
2009年4月,-80.30万,-69.40万,2009-05-08
2009年3月,-74.20万,-80.30万,2009-04-03
2009年2月,-78.30万,-74.20万,2009-03-06
2009年1月,-70.40万,-78.30万,2009-02-06
2008年12月,-72.70万,-70.40万,2008-01-04
2008年11月,-48.10万,-72.70万,2008-12-05
2008年10月,-46.00万,-48.10万,2008-11-07
2008年9月,-27.90万,-46.00万,2008-10-03
2008年8月,-19.80万,-27.90万,2008-09-05
2008年7月,-16.60万,-19.80万,2008-08-01
