1,瑞士银行,UBS AG,瑞士,花旗银行,2003/5/23
2,野村证券株式会社,"Nomura Securities Co.,Ltd.",日本,农业银行,2003/5/23
3,摩根士丹利国际股份有限公司,Morgan Stanley & Co. International PLC.,英国,汇丰银行,2003/6/5
4,花旗环球金融有限公司,Citigroup Global Markets Limited,英国,德意志银行,2003/6/5
5,高盛公司,Goldman Sachs&Co. LLC,美国,汇丰银行,2003/7/4
6,德意志银行,Deutsche Bank Aktiengesellschaft,德国,花旗银行,2003/7/30
7,香港上海汇丰银行有限公司,The Hongkong and Shanghai Banking Corporation Limited,香港,建设银行,2003/8/4
8,荷兰安智银行股份有限公司,ING Bank N.V.,荷兰,渣打银行,2003/9/10
9,摩根大通银行,"JPMorgan Chase Bank, National Association",美国,汇丰银行,2003/9/30
10,瑞士信贷(香港)有限公司,Credit Suisse (Hong Kong) Limited,香港,工商银行,2003/10/24
11,渣打银行(香港)有限公司,Standard Chartered Bank (Hong Kong) Limited,香港,中国银行,2003/12/11
12,日兴资产管理有限公司,"Nikko Asset Management Co.,Ltd.",日本,交通银行,2003/12/11
13,美林国际,Merrill Lynch International,英国,汇丰银行,2004/4/30
14,恒生银行有限公司,Hang Seng Bank Limited,香港,建设银行,2004/5/10
15,大和证券株式会社,Daiwa Securities Co. Ltd.,日本,工商银行,2004/5/10
16,比尔及梅林达盖茨信托基金会,Bill & Melinda Gates Foundation Trust,美国,汇丰银行,2004/7/19
17,景顺资产管理有限公司,INVESCO Asset Management Limited,英国,中国银行,2004/8/4
18,法国兴业银行,Société Générale,法国,汇丰银行,2004/9/2
19,巴克莱银行,Barclays Bank PLC,英国,渣打银行,2004/9/15
20,德国商业银行,Commerzbank?AG,德国,工商银行,2004/9/27
21,法国巴黎银行,BNP Paribas,法国,工商银行,2004/9/29
22,加拿大鲍尔公司,Power Corporation of Canada,加拿大,建设银行,2004/10/15
23,东方汇理银行,Credit Agrigole Corporate and Investment Bank,法国,汇丰银行,2004/10/15
24,高盛国际资产管理公司,Goldman Sachs Asset Management International,英国,汇丰银行,2005/5/9
25,马丁可利投资管理有限公司,Martin Currie Investment Management Ltd,英国,花旗银行,2005/10/25
26,新加坡政府投资有限公司,GIC Private Limited,新加坡,渣打银行,2005/10/25
27,柏瑞投资有限责任公司,PineBridge Investment LLC ,美国,中国银行,2005/11/14
28,淡马锡富敦投资有限公司,Temasek Fullerton Alpha Pte Ltd,新加坡,汇丰银行,2005/11/15
29,JF资产管理有限公司,JF Asset Management Limited,香港,建设银行,2005/12/28
30,日本第一生命保险株式会社,The Dai-ichi Life Insurance Company，Limited,日本,中国银行,2005/12/28
31,星展银行有限公司,DBS Bank Ltd,新加坡,农业银行,2006/2/13
32,安保资本投资有限公司,AMP Capital Investors Limited,澳大利亚,建设银行,2006/4/10
33,加拿大丰业银行,The Bank of Nova Scotia,加拿大,中国银行,2006/4/10
34,比联金融产品英国有限公司,KBC Financial Products UK Limited,英国,花旗银行,2006/4/10
35,爱德蒙得洛希尔（法国）,Edmond de Rothschild（France）,法国,中国银行,2006/4/10
36,耶鲁大学,Yale University,美国,汇丰银行,2006/4/14
37,摩根士丹利投资管理公司,Morgan Stanley Investment Management Inc.,美国,汇丰银行,2006/7/7
38,瀚亚投资（香港）有限公司,Eastspring Investment(Hong Kong) Limited,香港,农业银行,2006/7/7
39,斯坦福大学,Stanford University,美国,汇丰银行,2006/8/5
40,大华银行有限公司,United Overseas Bank Limited,新加坡,工商银行,2006/8/5
41,施罗德投资管理有限公司,Schroder Investment Mangement Limited,英国,交通银行,2006/8/29
42,汇丰环球投资管理(香港)有限公司,HSBC Global Asset Management (Hong Kong) Limited,香港,交通银行,2006/9/5
43,瑞穗证券株式会社,"Mizuho Securities Co.,Ltd",日本,建设银行,2006/9/5
44,瑞银资产管理（新加坡）有限公司,UBS Asset Management (Singapore) Ltd,新加坡,花旗银行,2006/9/25
45,三井住友资产管理株式会社,"Sumitomo Mitsui Asset Management Company, Limited",日本,花旗银行,2006/9/25
46,挪威中央银行,Norges Bank,挪威,花旗银行,2006/10/24
47,百达资产管理有限公司,Pictet Asset Management Limited,英国,汇丰银行,2006/10/25
48,哥伦比亚大学,The Trustees of Columbia University in the City of New York,美国,汇丰银行,2008/3/12
49,荷宝基金管理公司,Robeco Institutional Asset management B.V.,荷兰,花旗银行,2008/5/5
50,道富环球投资管理亚洲有限公司,State Street Global Advisors Asia Limited,香港,渣打银行,2008/5/16
51,铂金投资管理有限公司,Platinum Investment Company Limited,澳大利亚,汇丰银行,2008/6/2
52,比利时联合资产管理有限公司,KBC Asset Management N.V.,比利时,工商银行,2008/6/2
