stock_date,index_code,index_name,index_name_en,stock_index,stock_name,stock_name_en,info,day
2019-12-16,16,上证50,SSE 50,600000,浦发银行,Shanghai Pudong Development Bank Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600009,上海机场,Shanghai International Airport Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600016,民生银行,China Minsheng Banking Corp Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600028,中国石化,China Petroleum & Chemical Corporation,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600030,中信证券,CITIC Securities Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600031,三一重工,Sany Heavy Industry Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600036,招商银行,China Merchants Bank Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600048,保利地产,"Poly Developments and Holdings Group Co., Ltd.",SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600050,中国联通,China United Network Communications Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600104,上汽集团,SAIC Motor Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600196,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600276,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600309,万华化学,"Wanhua Chemical Group Co., Ltd.",SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600340,华夏幸福,"China Fortune Land Development Co., Ltd.",SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600519,贵州茅台,Kweichow Moutai Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600547,山东黄金,Shandong Gold-Mining Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600585,海螺水泥,Anhui Conch Cement Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600690,海尔智家,"Haier Smart Home Co., Ltd.",SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600703,三安光电,"Sanan Optoelectronics Co.,Ltd",SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600837,海通证券,Haitong Securities Company Limited,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,600887,伊利股份,Inner Mongolia Yili Industrial Group Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601012,隆基股份,"Longi Green Energy Technology Co., Ltd.",SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601066,中信建投,"China Securities Co., Ltd.",SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601088,中国神华,China Shenhua Energy Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601111,中国国航,Air China Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601138,工业富联,"Foxconn Industrial Internet Co., Ltd.",SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601166,兴业银行,Industrial Bank,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601186,中国铁建,China Railway Construction Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601211,国泰君安,"Guotai Junan Securities Co., Ltd.",SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601236,红塔证券,"HONGTA SECURITIES CO., LTD.",SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601288,农业银行,Agricultural Bank of China Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601318,中国平安,Ping An Insurance (Group) Company of China Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601319,中国人保,The People's Insurance Company (Group) of China Limited,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601328,交通银行,Bank of Communications Co LTD,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601336,新华保险,New China Life Insurance Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601390,中国中铁,China Railway Group Limited,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601398,工商银行,Industrial and Commercial Bank of China Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601601,中国太保,China Pacific Insurance (Group) Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601628,中国人寿,China Life Insurance Company Limited,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601668,中国建筑,China State Construction Engineering Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601688,华泰证券,Huatai Securities Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601766,中国中车,CRRC Corporation Limited,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601818,光大银行,China Everbright Bank Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601857,中国石油,PetroChina Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601888,中国国旅,China International Travel Service Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601939,建设银行,China Construction Bank,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601988,中国银行,Bank of China Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,601989,中国重工,China Shipbuilding Industry Co Ltd,SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,603259,药明康德,"WuXi AppTec Co., Ltd.",SHH,2019-12-17
2019-12-16,16,上证50,SSE 50,603993,洛阳钼业,"China Molybdenum Co., Ltd.",SHH,2019-12-17
