price,vol,stock_index,dt
21.48,30100.0,002019,2020-12-15
21.47,85300.0,002019,2020-12-15
21.46,47500.0,002019,2020-12-15
21.45,94400.0,002019,2020-12-15
21.44,199800.0,002019,2020-12-15
21.43,55200.0,002019,2020-12-15
21.42,99500.0,002019,2020-12-15
21.41,135300.0,002019,2020-12-15
21.4,185700.0,002019,2020-12-15
21.39,206504.0,002019,2020-12-15
21.38,193900.0,002019,2020-12-15
21.37,77900.0,002019,2020-12-15
21.36,127500.0,002019,2020-12-15
21.35,115200.0,002019,2020-12-15
21.34,294671.0,002019,2020-12-15
21.33,109900.0,002019,2020-12-15
21.32,117071.0,002019,2020-12-15
21.31,134552.0,002019,2020-12-15
21.3,222800.0,002019,2020-12-15
21.29,255000.0,002019,2020-12-15
21.28,186800.0,002019,2020-12-15
21.27,103800.0,002019,2020-12-15
21.26,179960.0,002019,2020-12-15
21.25,292000.0,002019,2020-12-15
21.24,144500.0,002019,2020-12-15
21.23,148900.0,002019,2020-12-15
21.22,172615.0,002019,2020-12-15
21.21,221100.0,002019,2020-12-15
21.2,492700.0,002019,2020-12-15
21.19,264650.0,002019,2020-12-15
21.18,239700.0,002019,2020-12-15
21.17,193100.0,002019,2020-12-15
21.16,131100.0,002019,2020-12-15
21.15,237700.0,002019,2020-12-15
21.14,94800.0,002019,2020-12-15
21.13,92000.0,002019,2020-12-15
21.12,208900.0,002019,2020-12-15
21.11,261500.0,002019,2020-12-15
21.1,245000.0,002019,2020-12-15
21.09,162500.0,002019,2020-12-15
21.08,388316.0,002019,2020-12-15
21.07,164000.0,002019,2020-12-15
21.06,195700.0,002019,2020-12-15
21.05,460500.0,002019,2020-12-15
21.04,189700.0,002019,2020-12-15
21.03,180200.0,002019,2020-12-15
21.02,127700.0,002019,2020-12-15
21.01,210500.0,002019,2020-12-15
21.0,309400.0,002019,2020-12-15
20.99,165900.0,002019,2020-12-15
20.98,69000.0,002019,2020-12-15
20.97,106800.0,002019,2020-12-15
20.96,77300.0,002019,2020-12-15
20.95,103500.0,002019,2020-12-15
20.94,18400.0,002019,2020-12-15
20.93,88200.0,002019,2020-12-15
20.92,91600.0,002019,2020-12-15
20.91,20600.0,002019,2020-12-15
20.9,232800.0,002019,2020-12-15
20.89,38000.0,002019,2020-12-15
20.88,51600.0,002019,2020-12-15
20.87,38100.0,002019,2020-12-15
20.86,53400.0,002019,2020-12-15
20.85,109000.0,002019,2020-12-15
20.84,55400.0,002019,2020-12-15
20.83,47900.0,002019,2020-12-15
20.82,21800.0,002019,2020-12-15
20.81,32400.0,002019,2020-12-15
20.8,15900.0,002019,2020-12-15
20.79,10200.0,002019,2020-12-15
20.78,139700.0,002019,2020-12-15
20.77,8100.0,002019,2020-12-15
20.76,1500.0,002019,2020-12-15
20.75,43200.0,002019,2020-12-15
20.74,25500.0,002019,2020-12-15
20.73,25700.0,002019,2020-12-15
20.72,32400.0,002019,2020-12-15
20.7,215500.0,002019,2020-12-15
